标题,介绍
徐工XMZ130锚杆钻机,动力强劲：采用东风康明斯QSB6.7-C170大马力柴油发动机，具有智能化动力控制和管理系统，运行经济性高……
长河机械ZCYB系列液压打桩机,型号 参数或配置 ZCY3/40 ZCY3/50 ZCY4/60 ZCY4/70 ZCY5/80 ZCY5/90 ZCY6/100 ZCY6/115 ZCY7/130 ZCY7/1……
长河机械ZYB系列液压静力压桩机,20世纪90年代初，由中南大学，原中南工业大学液压机械研究所设计研制出采用全液压动作作用的ZYB系列液压静力压桩机，由90年代初的第一台基本型已经发展成为现在的第十代K型，可满足8……
四通重工KQ150型潜孔钻机,……
八达工程机械CFG液压步履式长螺旋钻孔机,主要技术参数:CFG液压步履式螺旋钻孔机，是我公司2003年研制的新产品。该机主要包括桩架和钻进系统两部分……
土力机械SC-100吊机,土力公司已开发出全系列多功能吊机，能力从20吨-120吨主机均为多功能设计，可以直接配置成以下设备：?打桩?液压双轮铣?深土层搅拌（喷搅工法）?液压震锤?摆管器?锤抓?液压动力头?……
徐工XTC80双轮铣,XTC80型双轮铣槽机主要应用于大型建设工程如地铁车站、建筑物基坑、高层建筑地下室、地下停车场、地下商业街、水库大坝、港口、矿山、环保工程等深基础工程中防水墙、挡土墙、承重墙的施工……
上海金泰SQ10全液压潜孔钻机,SQ10全液压潜孔钻机融合现代桩工机械的新技术和新工艺，可替代传统工程钻机和潜水钻机，是新一代人机一体化施工设备……
泰信机械卧式截桩机,性能特点：全球最先进的液压截桩方式，实现截桩高效率，作业低噪音；2、模块化设计，通过不同数量模块组合，实现截不同直径的桩头；3、性价比高，运营成本低，性能完全接近国外产品4、截桩操……
山河智能SWDP100大直径随钻跟管钻机,▲ 国内唯一可进行随钻跟管桩工法（中掘工法）施工的桩工机械。▲ 可下大直径预制管桩（外径大于80cm），大幅提高成桩质量与桩承载力……
徐工XZJ5060TQZ平板清障车,·装备一套可伸缩、可倾斜的性能先进、可自动装卸的平台系统，具备“背托、托拖”两项强大功能，可节省更多人力、物力成本；·主要部件全部采用高强度钢板，通过折弯成型，承重性能好、抗压能力……
中联重科TC5010-4塔式起重机,? TCT5010-4性能参数：性能参数及技术指标国内领先，达到当今国际先进水平a、最大臂长50m;臂长组合每5米递减，最小臂长20米;b、最大起重量4t;c、臂尖最大吊重量1.0……
山特维克圆锥破碎机,ModelFormer nameCapacity t/hMax feed size mm (inch)CSS rangemm (inch)Max permitted power k……
达刚GLR10B沥青乳化设备,沥青乳化设备不仅能够生产普通乳化沥青，同时也能够生产改性乳化沥青。本系列产品可实现沥青乳化过程连续生产，全过程实现自动控制，也可进行半自动或手动控制……
阿特拉斯·科普柯C 135液压破碎锤,阿特拉斯·科普柯的 C 系列破碎锤专为满足中国建筑市场的需求而设计。由于采用独立的设计，本款破碎锤易于操作且成为中国建筑市场中优质破碎机系列的强大的替代产品……
"威克诺森G 150, G 180移动发电机",成熟坚固的设计提供非凡价值坚固耐用的静音柴油发电机为需要安静可靠电源的较大型建筑、工业、商业、特殊活动及应急管理应用提供移动原动力……
泰安五岳TAZ5283JQJA型桥梁检测车,产品型号名称TAZ5283JQJA桥梁检测车产品商标五岳牌外形尺寸(mm)长*宽*高13250 * 2500 * 4000燃料种类-排放依据标准-排量(ml)/功率(kw)-转向型……
沈阳山河EBZ160掘进机,性能特点：EBZ-160型掘进机具有生产效率高，掘进速度快，适应性强，调动灵活等优点，目前已成为各主要产煤国家不可缺少的生产设备……
三一重工SDCY80K6C集装箱空箱堆高机,·工业化造型设计产品，造型优美，驾驶舒适。·三一专利技术的SYMC通用工程机械运动控制器。·水平可旋转吊具与双箱吊具，轮胎磨损小，工作效率高。·重叠式结构门架，操作视野好……
湖北合力斯太尔单桥泡沫消防车,专用部分由液罐、泵室、器材箱、动力输出及传动系统、管路系统、电气系统等组成……
中通汽车ZTQ5040ZZZBJF30D(7方)侧装垃圾车,车型型号ZTQ5040ZZZBJF30D(7方)底盘BJ3045D9PB5-2(福田)发动机4A1-68C40 发动机功率(kw)50 排放标准国IV 轮胎规格6.50-16 轴距……
湖北合力解放小三轴运油车-CA5250GJYPK2E3L4T3A95,解放小三轴运油车产品主要技术资料产品名称：解放小三轴运油车外型尺寸(mm)：9650×2490×3250底盘型号：CA5250GJYPK2E3L4T3A95货厢尺寸(mm)：××总……
中材建科QTY3000型液压彩砖机,实现数块制品一次成型，降低电力和人工费用;送料器自动送料，实现送料、压制自动化;整体出模，实现集中搬运码垛，提高生产效率;任意更换模具，实现一机多样化;四柱导向，加长型导向套，结构……
三一重工SE8215-31.5MW常温型机组,SE8215-3风电机组为SE7715的扩展型，是适用于III类陆上风场的1.5MW常温型机组，机组采用变速恒频双馈技术，结构上采用水平轴、三叶片、上风向布置……
久保田M系列M740R拖拉机,崭新的发动机 合理的整体布局 人性化的设计 简便的操作系统 独立的动力输出轴……
山河智能MG300/700-WD(K)采煤机,启动扭矩大，过载能力强，效率高，能频繁启动和换向。 2、机身各部件之间采用高强度液压螺栓连接。 2、截割部电机装有离合器装置和弹性扭矩轴，提高了安全性……
中联重科KSD25水平定向钻,性能特点KSD25型干湿两用水平定向钻孔机是中联重科在英国投资设立的中联保路捷股份有限公司研制的具有国际先进水平的新型非开挖管线施工设备，该设备与目前一般的水平定向钻机相比，有以下……
中海恒通HT-48L非开挖定向钻机,2012新款HT-48L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
华力重工HL512B水平定向钻,整机特点：HL512B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
华力重工HL530A水平定向钻,HL530A水平定向钻机是在充分吸收国内、外同类产品优点的基础上，结合国内市场需求特点开发出的一款新型钻机。整机性能优越、外形美观、制作精细……
德威土行孙DDW-1200水平定向钻,"该定向钻机为钢制履带底盘。钻架可滑移，使钻进角度调节范围大;双马达驱动动力头，旋转扭矩大，给进、回拖采用齿轮齿条无极调速形式,工作效率高。整机具较高的性价比……"
徐工XZ320B水平定向钻,·动力强劲：采用160kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业……
威猛D200X300水平定向钻机,"长度 640"" (1625cm) 宽度 100"" (254cm) 高度 134"" (340cm) 操作重量 76,000 lbs (34,500kg) 最大主轴扭矩 30,000f……"
威猛D80X120水平定向钻机,"长度 410"" (1040cm) 宽度 93"" (236cm) 高度 118"" (300cm) 操作重量 39,200 lbs (17,690 kg) 最大主轴扭矩 12,000f……"
凯斯588G内燃叉车,特性通过 Tier 3 认证的凯斯发动机非常可靠 在最恶劣环境中也可获得卓越的性能。可选装载控制装置 有助于实现平稳操作，将链条张力降至最低，以节约保养成本……
林德H160柴油叉车,#NAME?
丰田8FGN15-30内燃平衡重式叉车,型号8FGN158FGN208FGN258FGN30发动机型号4Y4Y4Y4Y额定负载公斤1500200025003000负载中心毫米500500500500全宽A毫米107011……
大连叉车15吨轻型内燃平衡重叉车,叉车型号：CPCD150设备代码: CD-QB CD-QFB额定起重量(Kg)：15000 最大起升高度(mm)：4000 载荷中心距(mm)：600 最大起升速度(满载)(mm/……
柳工CPC15内燃平衡重式叉车,可靠： 传动系统采用带同步器的机械变速箱：同步器能使啮合的齿轮同步转动，在换档时避免齿轮撞击，尤其在前后换向时，可使换向平稳，爬坡性能更佳……
美科斯FD10T/FD15T/FD18T型1-1.8吨柴油(汽油)内燃叉车,1. 进口国产多款发动机可选，动力强劲、经济性好;2. 简洁整齐的管路设计，软、硬管合理布局，减小了管路的压力;3. 整车采用先进的人机工程技术的设计，发动机全浮式减震装置，转向桥……
宝骊S系列CPC(D)30内燃平衡重式叉车,概要型号CPC(D)30额定载荷kg3000载荷中心距mm500尺寸起升高度 Lift heightmm3000外形尺寸总长mm2740总宽mm1225门架不起升高度mm2080门……
合力αⅡ系列8-10吨平衡重式内燃叉车, 整机采用大圆弧流线型造型，美观靓丽；部件整体喷丸油漆表面饱满光亮，附着牢固； 2、按人机工程学原理设计的操纵系统，方向机可调整角度，驾驶者视野开阔，舒适性好；  3、引进日本先进……
斗山D50S-5内燃平衡重式叉车,主要特点- 优化的操纵舒适度和安全性- 成熟且坚固耐用的组件- 动力强劲、节能和高性能的柴油 和 LPG 发动机，兼具下述特点：低排放，最低限度的振动-更好的维护能力和可维修性-几……
鲁能YN625越野内燃叉车,★采用一拖东方红柴油机，动力强劲。单级三元件变矩器，动力换挡变速箱，结构简单，可靠性高。★单泵分流工作液压系统，节能效果显著。★双密封液压管路接头，解决了渗油漏油问题……
威盛CPCD250叉车,项目单位CPCD250额定起重量kg25000自重kg34150标准货叉（长X宽X高）mm2400X310X110最小转弯半径mm5900整机外形尺寸mm8700X3000X386……
山猛CPC30抓管机,主要结构特点：强劲的动力传动 由先进的制造技术和设备生产的优质部件与高品质的发动机完美组合而成的动力、传动装置……
摩纳凯FD20/FD20T内燃平衡重式叉车,FD30/FD30T主要技术参数 特 性 型 号FD30/FD30T额定载荷Kg3000载重中心距mm500动力形式柴油操作形式座式 性 能行驶速度km/h(满载/空载)液力17/……
格瑞特CPCD80/CPCD100平衡重式内燃叉车,&mdash;&mdash;选装国产品牌或进口柴油机。&mdash;&mdash;国内最先进液力传动-动力换挡传动系统。&mdash;&mdash;超强车身及工作装置设计……
徐工XZ180水平定向钻,?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率。?橡胶履带：对道路、草坪和风景点的影响小……
徐工XZ320水平定向钻,XZ320水平定向钻技术特点：进口行走减速机，故障少。独特的浮动式动力虎钳，动力头、虎钳双浮动，可有效延长钻杆的使用寿命。可选装钻杆辅助自动装卸装置，减轻操作者劳动强度……
徐工XZ400水平定向钻,动力强劲：采用178kW柴油发动机，具有涡轮增矩特性，保证钻机能在各种复杂地质条件下，完成铺管作业……
徐工XZ500水平定向钻,?液压系统：采用了闭式节能回路、液压先导控制、电液比例控制等多项先进的控制技术。?回转：马达加减速机驱动，两档速度可调。?推拉：齿轮齿条推拉，两档调速，工作效率高……
徐工XZ680水平定向钻,XZ680水平定向钻技术特点：主泵、主阀、马达均选用国际名牌产品。减速机选用国际牌产品，承载扭矩大，安全系数高，使用寿命长。自带泥浆泵，操作简单、便捷。可选装摄像头，视野开阔……
徐工XZ3000水平定向钻,?驾驶室：垂直升降式驾驶室，视野开阔，带冷暖空调，操作舒适。?发动机：双动力系统，任一发动机均可单独完成整车全部动作……
德威土行孙DDW-4000水平定向钻,该钻机整机由钻架和动力站及控制室三部分组成，钻架安装在履带底盘上……
中海恒通HT-42LB非开挖定向钻机,2012新款HT-42LB钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
德航重工DH450/900－L水平定向钻,……
力士CTQ-D100水平定向钻,主要技术参数整机重量2.6T钻孔直径90-130mm外形尺寸4100×2030×2020钻孔深度30m行走速度2km/h一次推出长度2m爬坡能力30度工作气压0.5-0.7Mpa最……
海天路矿CZ系列冲击钻机,项目名称 技 术 参 数 CZ-5 CZ-6 CZ-8钻孔直径mm400-600600-1001000-1200400-600600-1001000-1200400-600600-……
谷登机械GD5000-LL型水平定向钻,动力源：主动力为东风康明斯392kw/2100rPm柴油机2台，根据工况需要可启动单机而不影响连续工作。如两 台发动机同时工作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
威猛V750水平定向钻机,V750 by VBM Navigator?水平导向钻机，借助179千瓦东风康明斯发动机的强大动力，以及配备优质的液压组件，75吨级V750能够在各种有同要求的项目中大显身手……
徐工XZ450水平定向钻机,采用闭式节能回路、负荷敏感控制、电液比例控制等多项先进的控制技术，进口元件，质量可靠；2、齿轮齿条推拉，保证动力头运行的稳定性和传动的可靠性……
徐工XZ6600水平定向钻,项目单位参数发动机型号沃尔沃??发动机额定功率KW565X2推拉方式齿轮齿条最大回拖 / 进给力kN6600/6600动力头最大扭矩N.m160000动力头转速r/min0-90动……
徐工XZ5000水平定向钻,·发动机标选用原装进口VOLVO电喷发动机，燃油消耗率低，双发动机功率高达788kW，保证钻机能在各种复杂地质条件下使用，完成铺管作业，单一发动机可完成整车的全部动作……
徐工XZ1500水平定向钻,·发动机为康明斯六缸水冷式涡轮增压发动机，功率储备大，保证钻机能在各种复杂地质条件下，完成铺管作业……
徐工XZ1000A水平定向钻,项目单位参数发动机型号康明斯发动机额定功率KW264推拉方式齿轮齿条最大回拖 / 进给力kN1000/1000动力头最大扭矩N.m35000动力头转速r/min0-120动力头行进……
徐工XZ400A水平定向钻,·动力强劲：采用179kW柴油发动机，具有涡轮增矩特性，保证钻机能在各种复杂地质条件下，完成铺管作业……
徐工XZ320D水平定向钻,·动力强劲：采用160/140kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业……
徐工XZ320B水平定向钻,·动力强劲：采用160kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业……
中联重科KSD25B型干湿两用水平定向钻孔机,性能参数达到国际先进水平，最大回拖力25t，最大扭矩11500N.m，最大扭矩对应的最高转速48rpm，最高转速110rpm……
北方交通ZDY3500L近水平定向钻机, 本煤层钻孔抽采;开掘瓦斯抽采巷道，穿层钻孔抽采邻近层瓦斯;直接在工作面或顶板布置走向，采用定向长钻孔技术，抽采本煤层和邻近层赋存的瓦斯……
恒天九五JVD-450水平定向钻,电路简单，故障率低；2、采用高性能合金钢齿轮齿条推拉，效率高，工作平稳；3、先进的液压系统比传统液压系统提高15-20%的工作效率，减少系统中的发热量50%，可节能15-20%；4……
钻通ZT-45型非开挖铺管钻机,……
徐工XZ160A水平定向钻,?动力头转速高：动力头转速高，可确保钻机铺管效率提高。?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率……
华力重工HL515B水平定向钻,HL515B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
德威土行孙DDW—450B水平定向钻,该钻机为橡胶履带底盘装载，移动灵活……
威猛V500水平定向钻机,实时监控  故障率低智能模块实时监控，液晶显示，提供自动诊断功能。模块控制，精确可靠，故障率极低……
威猛V400水平定向钻机,V400 BY VBM Navigator?水平导向钻机可按需配置，使客户能够根据具体使用要求自定义设备。选配组件还包括配备空调的驾驶室、电液控制的钻杆装载器以及前置地锚系统……
威猛V200水平定向钻机,V200水平导向钻机在各种地质条件下工作都能达到您期待的高水平表现。它具有5423.3牛米的旋转扭矩和20吨级的回拖能力……
威猛V1400水平定向钻机,V1400水平导向钻机，配备行业先进的功能和功率，V1400专为大型工程而设计……
威猛V6000水平定向钻机,威猛钻机采用可以同时达到最大转速和最大旋转扭矩/低转速液压马达。■直接驱动:更高的效率意味着更少的功率损失和油耗■底部虎钳威猛钻机提供两种虎钳选择，适应用户的不同需求……
威猛D16X20a水平定向钻机,"长度 188"" (478cm) 宽度 36-49"" (91-124cm) 高度 86.5"" (219.7cm) 操作重量 7,500 lbs (3,402 kg) 最大主轴扭矩 2……"
威猛D24X40a水平定向钻机,"长度 203"" (516cm) 宽度 79"" (201cm) 高度 85"" (216cm) 操作重量 16,600 lbs (7,530 kg) 最大主轴扭矩 4,000ft-lb……"
威猛D80X120水平定向钻机,"长度 410"" (1040cm) 宽度 93"" (236cm) 高度 118"" (300cm) 操作重量 39,200 lbs (17,690 kg) 最大主轴扭矩 12,000f……"
威猛D100x120水平定向钻机,"长度 410"" (1040cm) 宽度 93"" (236cm) 高度 118"" (300cm) 操作重量 39,000 lbs (17,690 kg) 最大主轴扭矩 12,000f……"
威猛D150x300水平定向钻机,"长度 53.5"" (165.2cm) 宽度 100"" (254cm) 高度 139"" (353cm) 操作重量 76,000 lbs (34,473.02kg) 最大主轴扭矩 30……"
中联重科KSD18水平定向钻,KSD18型水平定向钻机是中联重科吸收国内外先进技术结合国内实际需求开发研制的最新产品，它秉承了中联钻机的传统特点：关键零部件采用原装进口件、重要零部件选用优质国产件、按国际通用标……
中联重科KSD25水平定向钻,性能特点KSD25型干湿两用水平定向钻孔机是中联重科在英国投资设立的中联保路捷股份有限公司研制的具有国际先进水平的新型非开挖管线施工设备，该设备与目前一般的水平定向钻机相比，有以下……
中联重科KSD15水平定向钻,性能特点KSD15 型水平定向钻孔机在继承了英国保路捷公司研制的样机一体化设计、自动化程度高等优点的基础上，在元件选择、结构和系统设计等方面做了大量的改进，在掘进能力和可靠性等方面……
威猛D200X300水平定向钻机,"长度 640"" (1625cm) 宽度 100"" (254cm) 高度 134"" (340cm) 操作重量 76,000 lbs (34,500kg) 最大主轴扭矩 30,000f……"
威猛D300X500水平定向钻机,"长度 640"" (1625cm) 宽度 100"" (254cm) 高度 134"" (340cm) 操作重量 89,800 lbs (39,500kg) 最大主轴扭矩 50,000f……"
恒天九五JVD-280水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
恒天九五JVD-380水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
恒天九五JVD-200水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
恒天九五JVD-320水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
北方交通ZDY12000LF松软煤层超深孔定向钻机,为满足煤矿深部开采及松软煤层钻孔施工对钻机性能的要求，集团结合我国煤层地质条件研制成功了适合软煤层、裂隙发育地层钻进并带有自救功能的双管式超深孔定向钻机，该钻机作业性能稳定、测斜精……
北方交通ZDY4000LK煤矿用全液压坑道钻机,该钻机既可用于煤矿瓦斯的抽排放钻孔施工，也可用于井下放水、地质勘探、煤层探测、煤层注水等各类工程钻孔的施工……
华力重工HL532B水平定向钻,该装备采用全液压控制及动力驱动技术，实现钻具的回转、推进、回扩、回拖及行走装置的驱动等功能，主要用于穿越公路、铁路、建筑物、河流，以及在闹市区、文物保护区、农作物和植被保护区等不易……
华力重工HL512B水平定向钻,整机特点：HL512B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
华力重工HL530A水平定向钻,HL530A水平定向钻机是在充分吸收国内、外同类产品优点的基础上，结合国内市场需求特点开发出的一款新型钻机。整机性能优越、外形美观、制作精细……
华力重工HL515B水平定向钻,HL515B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
华力重工HL525B水平定向钻,HL525B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的半自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
中海恒通HT-58L非开挖定向钻机,2012新款HT-58L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
中海恒通HT-48L非开挖定向钻机,2012新款HT-48L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
中海恒通HT-42LB非开挖定向钻机,2012新款HT-42LB钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
中海恒通HT-42L非开挖定向钻机,2012新款HT-42L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
中海恒通HT-32L非开挖定向钻机,2012新款HT-32L钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
中海恒通HT-25L非开挖定向钻机,2012新款HT-25L钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
中海恒通HT-20C/16C非开挖定向钻机,HT-20C钻机特点&gt;&gt;1.二轮主机机动性强，在工地间转移时，由3-4人可轻松推动，远优于滑橇结构;2.滑架推进机构采用快慢速两档，提高空载作业效率;3.推进滑板为滚轮……
中海恒通HT-16L/20L非开挖定向钻机,2012新款HT-20L钻机新增特点 &gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
中海恒通HT-12C非开挖定向钻机,HT-12C钻机特点&gt;&gt;1.滑架推进机构快慢速两档，提高空载作业效率;2.回转动力头采用矿山钻机动力头，更适用于干式和湿式钻进，并提高湿式钻进使用寿命;3.双液压夹持器……
中海恒通HT-10C非开挖定向钻机,HT-10C钻机特点 &gt;&gt;1.主机结构紧凑、体积小、重量轻，可快速解体便于人工搬运;2.回转动力头采用矿山钻机动力头，更适用于干式和湿式钻进，并提高湿式钻进使用寿命;3……
德航重工DH150B-L水平定向钻,……
德航重工DH280B-L水平定向钻,……
德航重工DH320B-L水平定向钻,……
德航重工DH380B-L水平定向钻,……
德航重工DH800B－L水平定向钻,……
德航重工DH1600B-L水平定向钻,……
德航重工DH450/900－L水平定向钻,……
德航重工DH750B-L水平定向钻,……
滨州钻机BZCDF200DF车载式反循环动力头钻机,产品主要特点及用途：◎BZCDF200DF车载式反循环动力头钻机是我厂自主创新产品，是一种车载式动力头回转钻机；钻机选用6X4专用钻井车底盘，配置玉柴YC6J180-33水冷四冲程……
谷登机械GD6000-TT型水平定向钻,动力源重庆康明斯559Kw/rPm柴油机两台，根据工况需要可启动单机而不影响工程。如两台发动机同时工 作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
谷登机械GD8000-LL型水平定向钻,动力源重庆康明斯559Kw/rPm柴油机两台，根据工况需要可启动单机而不影响工程。如两台发动机同时工 作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
谷登机械GD100A-L 型水平定向钻,外形尺寸小，施工转场方便。2、推拉、夹持采用开式负载敏感变量系统，美国萨奥负载敏感变量柱塞泵。3、采用齿轮齿条推拉系统，效率高，工作平稳……
德航重工DH8000-LL水平定向钻,……
上工机械ZLD180/85-3-M2-S钻孔机,ZLD系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和软土……
振中ZLD110（650-3)/ZLD165（850-3）三轴式连续墙钻孔机,◆我公司生产的三轴式连续墙钻孔机是我公司和北京建筑机械化研究院吸收国外先进技术联合开发的SMW工法专用施工设备，它非常适合于高层建筑、地下室和地铁车站的挡土防渗墙施工及江河堤坝的防……
山河智能SWWT100步履式三轴连续墙钻机,强劲平稳的动力头动力头由两台或三台特种恒功率电动机驱动，通过高强度、结构紧凑的行星齿轮箱和专用的主转动齿轮箱传动，具有强大施工扭矩及过载能力，最大转矩及堵转转矩均超过额定的3倍，能……
上工机械ZLD180/85-3-M2-CS钻孔机, ZLD系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和软……
山河智能SWWT65步履式三轴连续墙钻机,强劲平稳的动力头动力头由两台或三台特种恒功率电动机驱动，通过高强度、结构紧凑的行星齿轮箱和专用的主转动齿轮箱传动，具有强大施工扭矩及过载能力，最大转矩及堵转转矩均超过额定的3倍，能……
上工机械ZLD180/85-3钻孔机,ZLD系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和软土……
