标题,链接,点击数,性能介绍,PageUrl
徐工SQ4SK2Q型直臂式起重机,http://zj.lmjx.net/detail_MjI45---.html,5876,目前我公司直臂随车起重机的动力完全来自于液压油的压力能，即通过高压液压油推动油缸活塞往复运动，或是带动液压马达旋转使得液压绞车与回转机构回转……,http://zj.lmjx.net/zj_class_19_60_0.html
中联重科TC5010-4塔式起重机,http://zj.lmjx.net/detail_ODgx1---.html,26059,? TCT5010-4性能参数：性能参数及技术指标国内领先，达到当今国际先进水平a、最大臂长50m;臂长组合每5米递减，最小臂长20米;b、最大起重量4t;c、臂尖最大吊重量1.0……,http://zj.lmjx.net/zj_company_19_61_0_3.html
江麓QTZ63F塔头式起重机,http://zj.lmjx.net/detail_MTAyNzY=.html,3841,? 电气控制系统关键电气元件采用行业知名品牌，如天水二一三、法国施耐德公司的低压电器，可靠性高，便于维护……,http://zj.lmjx.net/zj_company_19_61_0_132.html
三一重工SYT80(T6510-8)塔式起重机,http://zj.lmjx.net/detail_MTk2NjI=.html,1466,型号SYT80(T6510-8)最大起重力矩1136kN·m最大起重量8t最大臂长/起重量65m/1.0t塔身截面1.8m×1.8m自由高度43m起升100/50回转0~0.75变……,http://zj.lmjx.net/zj_company_19_61_0_4.html
方圆QTZ87（PT5510）塔式起重机,http://zj.lmjx.net/detail_MTIxMzg=.html,6984,PT5510塔式起重机最大工作幅度为55米，同时可以变臂50米、45米、40米等，臂长变化更方便，用户使用更多选择；安装更方便、安全、快捷；2、起升减速机为四轴，实现起升机构卷筒的……,http://zj.lmjx.net/zj_company_19_61_0_23.html
川建M2400(100t)水平臂塔式起重机,http://zj.lmjx.net/detail_NzIy3---.html,6808,SCM-M2400(100t)塔式起重机，是我公司吸收国外塔机技术，自行设计制造的大型上回转自升式塔式起重机……,http://zj.lmjx.net/zj_company_19_61_0_266.html
徐工QTZ100(6013Y-6)塔顶式塔机,http://zj.lmjx.net/detail_MTc2MTQ=.html,1844,最佳的性价比；优越的起重性能；合理的结构设计；严格的制造控制；高安全、高可靠性；人性化设计；便捷的操作性和运输性……,http://zj.lmjx.net/zj_company_19_61_0_1.html
浙江建机ZJD260塔式起重机,http://zj.lmjx.net/detail_OTg53---.html,5294,……,http://zj.lmjx.net/zj_company_19_61_0_216.html
波坦MCT370塔式起重机,http://zj.lmjx.net/detail_MTMxNDM=.html,6156,波坦公司一直在塔式起重机方面处于领先位置。迄今为止已在全球销售并竖立超过100000台塔机。 目前，该公司在法国、德国、意大利、葡萄牙和中国的工厂生产60余种型号塔式起重机……,http://zj.lmjx.net/zj_company_19_61_0_459.html
利勃海尔26 H快速架设起重机,http://zj.lmjx.net/detail_MzY03---.html,6520,液压机构使H系列起重机的装卸非常简单。塔架与副臂上的液压缸使得H系列起重机能够迅速移至工作位置。折叠塔架采用绝对密封焊接的实心壁结构……,http://zj.lmjx.net/zj_company_19_61_0_126.html
永茂QD8塔式起重机,http://zj.lmjx.net/detail_NzE22---.html,7641,随着塔式起重机科技发展，城市建筑密度逐渐加大，建筑物设计构造的复杂化，塔机的拆卸问题不断显现出来，为解决建筑施工后塔机的拆卸问题，我公司自行研发出QD8屋面式起重机……,http://zj.lmjx.net/zj_company_19_61_0_265.html
中建机械QTZ7033塔式起重机,http://zj.lmjx.net/detail_MTkwMjM=.html,2960,独立高度52m，最大附着高度238m，最大起重量16t……,http://zj.lmjx.net/zj_company_19_61_0_405.html
恒升建机QTZ3008塔机,http://zj.lmjx.net/detail_MjExMzM=.html,1518,QTZ3008的性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长30m;臂长组合每6米递减，最小臂长30米;b、最大起重量2.5t;c、臂尖最大吊重量0.8t;d……,http://zj.lmjx.net/zj_company_19_61_0_700.html
中国现代QTZ450(XD7050)尖头塔式起重机,http://zj.lmjx.net/detail_MjQyNzM=.html,655,该机为水平臂架、小车变幅、上回转自升式多用途塔机整机外形美观大方，颜色醒目；该机有基础固定和外墙附着两种工作方式；动作反映灵敏，调速性能好，回转平稳可靠，不抖动；司机室独立设置，视……,http://zj.lmjx.net/zj_company_19_61_0_196.html
虎霸H5515塔式起重机,http://zj.lmjx.net/detail_ODM24---.html,8951, 虎霸建机塔机系列20年的研发历程中，在结构设计、电控系统、安全可靠性等技术方面，始终走在行业的前列……,http://zj.lmjx.net/zj_company_19_61_0_315.html
鸿达QTZ500动臂塔式起重机,http://zj.lmjx.net/detail_Mjg44---.html,6648,铁力士牌QTZ500 (T8030/25)塔机是鸿达集团公司最新研制，采用变频调速技术，满足GB/T5031&lt;&lt;塔式起重机技术条件&gt;&gt;和GB5144&lt;……,http://zj.lmjx.net/zj_company_19_61_0_63.html
业豪QTZ160塔式起重机,http://zj.lmjx.net/detail_NTUw0---.html,3898,一、传动机构1.QTZ160（6516）塔机常规配置10t起升机构……,http://zj.lmjx.net/zj_company_19_61_0_192.html
惠山QTZ5013塔式起重机,http://zj.lmjx.net/detail_NTUx1---.html,3624,参数项目性能参数额定起重力矩(t.m)76.87最大起升高度 (m)40（固定式）140（附着式）工作幅度最大幅度(m)50最小幅度(m)2最大起重量 (t)6最大幅度处额定起重量……,http://zj.lmjx.net/zj_company_19_61_0_195.html
双丰QTZ80塔式起重机,http://zj.lmjx.net/detail_NTUy6---.html,3829,项目QTZ80参数起重力矩（KN.m）800起升高度独立式（m）45附着式(m)150塔顶高度独立式（m）48.9工作幅度m565146起升机构电动机功率（KW）30/60电机极比……,http://zj.lmjx.net/zj_company_19_61_0_197.html
聚龙QTZ系列塔式起重机,http://zj.lmjx.net/detail_NTUz3---.html,7464," 我公司QTZ系列塔式起重机是塔机与科技的完美结合.主要特点是结构紧凑,刚度大,吊臂长,可靠性能高,塔身标准节全部采用独特的异型方管整体性式结构,起重臂为三角桁架结构,其中主弦杆材……",http://zj.lmjx.net/zj_company_19_61_0_198.html
立新QTZ63塔式起重机,http://zj.lmjx.net/detail_NTU04---.html,4371,主要特点 ? 起升机构采用三速电机，能实现重载低速、轻载高速。 ? 变幅机构牵引小车在水平臂上变幅，机构采用双速制动电机，具有良好的就位性能……,http://zj.lmjx.net/zj_company_19_61_0_200.html
银锚QTZ系列自升式塔式起重机,http://zj.lmjx.net/detail_NTcw0---.html,4055,主要技术参数机型QTZ40QTZ63QTZ4708QTZ5010QTZ80项目参数额定起重力矩(KN·m)400630400500800最大起重量(t)4/0.86.3/1.34/……,http://zj.lmjx.net/zj_company_19_61_0_213.html
泰戈QTZ125 自升式塔式起重机,http://zj.lmjx.net/detail_MjgxMjk=.html,78,项目型号QTZ125(6015)QTZ100(6013) 臂长（m）6060 独立高度(m)50附着高度(m)180180最大起重量(t)108 主肢材料135×135×14/Q3……,http://zj.lmjx.net/zj_company_19_61_0_575.html
泰沃QTZ50 自升式平头塔式起重机,http://zj.lmjx.net/detail_MjgxMzA=.html,66,项目型号QTZ50(PT5010)QTZ100(6013) 臂长（m）50 独立高度(m)30附着高度(m)120180最大起重量(t)4 主肢材料L160×160×14 标准节截……,http://zj.lmjx.net/zj_company_19_61_0_868.html
沈建FL25/30动臂式塔式起重机,http://zj.lmjx.net/detail_Nzcz6---.html,4645,产品型号：FL25/30工作幅度：50m额定最大起重量：10t额定最大幅度起重量：3t产品说明：FL25/30塔式起重机是消化吸收引进国外技术结合国内经验设计制造的上回转，动臂式自……,http://zj.lmjx.net/zj_company_19_61_0_292.html
路通QTG系列塔式起重机,http://zj.lmjx.net/detail_Nzg15---.html,3639,信实经营 服务真诚●产品全部由中国平安保险公司进行质量责任保险●免费提供安装、调试、维修等现场技术指导服务●免费提供操作、维护、管理人员的技术培训●接到故障通知24小时内派技术人员……,http://zj.lmjx.net/zj_company_19_61_0_297.html
天一T5015-6T (QTZ63)塔式起重机,http://zj.lmjx.net/detail_Nzg48---.html,4699,产品型号： T5015工作幅度： 50m 额定最大起重量： 6t 额定最大幅度起重量： 1.5t 塔身截面：1.6M*1.6M*3M(片式结构）L44A1 1.6M*1.6M*2.……,http://zj.lmjx.net/zj_company_19_61_0_300.html
腾达QTZ31.5塔吊,http://zj.lmjx.net/detail_Nzkx7---.html,4442,……,http://zj.lmjx.net/zj_company_19_61_0_302.html
金源QTD260 16T动臂塔机,http://zj.lmjx.net/detail_Nzk46---.html,4236,……,http://zj.lmjx.net/zj_company_19_61_0_303.html
克瑞PT125平头系列塔式起重机,http://zj.lmjx.net/detail_ODM59---.html,4283,塔机型号最大起重量（T）最大幅度额定起重量(T)工作幅度（M）独立高度（M）最大附着高度（M）标准节尺寸（M)PT12581.356411031.837×1.837×2.8……,http://zj.lmjx.net/zj_company_19_61_0_316.html
中昇QTZ3200（ZSL3200）平臂塔式起重机,http://zj.lmjx.net/detail_MTA0NTE=.html,4517,……,http://zj.lmjx.net/zj_company_19_61_0_194.html
华夏QTZ63（5013）塔式起重机,http://zj.lmjx.net/detail_MTk1ODE=.html,542,塔机型号：QTZ630A(5013)公称起重力矩：760KN．m工作幅度：2.5-50m最大起重量/最大幅度处起重量：6/1.3t独立式起升高度：40m附着式起升高度：140m起升……,http://zj.lmjx.net/zj_company_19_61_0_475.html
大汉QTZ160(6516)塔式起重机,http://zj.lmjx.net/detail_MTMyOTg=.html,2279,……,http://zj.lmjx.net/zj_company_19_61_0_476.html
山东明龙TBR6055动臂塔机,http://zj.lmjx.net/detail_MTMzMTQ=.html,1004,性能介绍/ C a p a c i t y i n t r o d u c t i o n■ QTZ125P 平头塔机主要受力钢结构部件均采用Q345B 钢材制作，塔身标准节截面1……,http://zj.lmjx.net/zj_company_19_61_0_477.html
强力机械Q900型尖头塔式起重机,http://zj.lmjx.net/detail_MTc2ODQ=.html,552,……,http://zj.lmjx.net/zj_company_19_61_0_640.html
顶实QTZ105(TC5610)塔式起重机,http://zj.lmjx.net/detail_MTc3OTY=.html,621,……,http://zj.lmjx.net/zj_company_19_61_0_644.html
恒天九五QTZ5710平头塔式起重机,http://zj.lmjx.net/detail_MTgxNDA=.html,540,……,http://zj.lmjx.net/zj_company_19_61_0_269.html
杰牌21CJ550-24t平头塔,http://zj.lmjx.net/detail_MjIxMTI=.html,334,平头塔的设计是一种全新的设计理念被引入塔机世界，就是说，使用同一个标准化、模块化系统可用以构成不同吨位的塔机。这个智慧闪烁、熠熠生辉的理念，将塔机的适用性提升到一个前所未有的高度……,http://zj.lmjx.net/zj_company_19_61_0_702.html
力特QTZ62(5010)塔式起重机,http://zj.lmjx.net/detail_MTg2NjI=.html,525,……,http://zj.lmjx.net/zj_company_19_61_0_670.html
北方交通26米自行式高空作业车,http://zj.lmjx.net/detail_Nzcx4---.html,5552,,http://zj.lmjx.net/zj_class_19_109_0.html
中联重科SC200/200施工升降机,http://zj.lmjx.net/detail_MTQwNTI=.html,13514,? 用材考究。? 结构稳定可靠。? 配套件品牌优化。? 人性化设计无处不在……,http://zj.lmjx.net/zj_class_19_164_0.html
三一重工SLB5000-5第五代环保型沥青搅拌站,http://zj.lmjx.net/detail_MjU5MDc=.html,3043,,http://zj.lmjx.net/zj_class_11_0_0.html
徐工XZJ5060TQZ平板清障车,http://zj.lmjx.net/detail_MjE4MTA=.html,453,·装备一套可伸缩、可倾斜的性能先进、可自动装卸的平台系统，具备“背托、托拖”两项强大功能，可节省更多人力、物力成本；·主要部件全部采用高强度钢板，通过折弯成型，承重性能好、抗压能力……,http://zj.lmjx.net/zj_class_15_0_0.html
中联重科HLSE系列混凝土搅拌楼,http://zj.lmjx.net/detail_MTA4MDA=.html,8627,,http://zj.lmjx.net/zj_class_18_0_0.html
卡特彼勒313D2 GC挖掘机,http://zj.lmjx.net/detail_Mjc3NDU=.html,4510,,http://zj.lmjx.net/zj_class_6_0_0.html
徐工XR460D旋挖钻机,http://zj.lmjx.net/detail_MTM4ODU=.html,13909,,http://zj.lmjx.net/zj_class_20_0_0.html
山特维克圆锥破碎机,http://zj.lmjx.net/detail_MTE4Njc=.html,11806,ModelFormer nameCapacity t/hMax feed size mm (inch)CSS rangemm (inch)Max permitted power k……,http://zj.lmjx.net/zj_class_7_0_0.html
达刚GLR10B沥青乳化设备,http://zj.lmjx.net/detail_Mjc27---.html,4227,沥青乳化设备不仅能够生产普通乳化沥青，同时也能够生产改性乳化沥青。本系列产品可实现沥青乳化过程连续生产，全过程实现自动控制，也可进行半自动或手动控制……,http://zj.lmjx.net/zj_class_12_0_0.html
阿特拉斯·科普柯C 135液压破碎锤,http://zj.lmjx.net/detail_MTY0MjQ=.html,5753,阿特拉斯·科普柯的 C 系列破碎锤专为满足中国建筑市场的需求而设计。由于采用独立的设计，本款破碎锤易于操作且成为中国建筑市场中优质破碎机系列的强大的替代产品……,http://zj.lmjx.net/zj_class_14_0_0.html
"威克诺森G 150, G 180移动发电机",http://zj.lmjx.net/detail_MjUyMDU=.html,406,成熟坚固的设计提供非凡价值坚固耐用的静音柴油发电机为需要安静可靠电源的较大型建筑、工业、商业、特殊活动及应急管理应用提供移动原动力……,http://zj.lmjx.net/zj_class_9_0_0.html
泰安五岳TAZ5283JQJA型桥梁检测车,http://zj.lmjx.net/detail_MTMxNTE=.html,2450,产品型号名称TAZ5283JQJA桥梁检测车产品商标五岳牌外形尺寸(mm)长*宽*高13250 * 2500 * 4000燃料种类-排放依据标准-排量(ml)/功率(kw)-转向型……,http://zj.lmjx.net/zj_class_16_0_0.html
沈阳山河EBZ160掘进机,http://zj.lmjx.net/detail_NTMx2---.html,7753,性能特点：EBZ-160型掘进机具有生产效率高，掘进速度快，适应性强，调动灵活等优点，目前已成为各主要产煤国家不可缺少的生产设备……,http://zj.lmjx.net/zj_class_17_0_0.html
三一重工SDCY80K6C集装箱空箱堆高机,http://zj.lmjx.net/detail_MjUy6---.html,7295,·工业化造型设计产品，造型优美，驾驶舒适。·三一专利技术的SYMC通用工程机械运动控制器。·水平可旋转吊具与双箱吊具，轮胎磨损小，工作效率高。·重叠式结构门架，操作视野好……,http://zj.lmjx.net/zj_class_21_0_0.html
湖北合力斯太尔单桥泡沫消防车,http://zj.lmjx.net/detail_MjI0ODk=.html,377,专用部分由液罐、泵室、器材箱、动力输出及传动系统、管路系统、电气系统等组成……,http://zj.lmjx.net/zj_class_23_0_0.html
中通汽车ZTQ5040ZZZBJF30D(7方)侧装垃圾车,http://zj.lmjx.net/detail_MjQ4ODY=.html,835,车型型号ZTQ5040ZZZBJF30D(7方)底盘BJ3045D9PB5-2(福田)发动机4A1-68C40 发动机功率(kw)50 排放标准国IV 轮胎规格6.50-16 轴距……,http://zj.lmjx.net/zj_class_24_0_0.html
湖北合力解放小三轴运油车-CA5250GJYPK2E3L4T3A95,http://zj.lmjx.net/detail_MjM2NDY=.html,502,解放小三轴运油车产品主要技术资料产品名称：解放小三轴运油车外型尺寸(mm)：9650×2490×3250底盘型号：CA5250GJYPK2E3L4T3A95货厢尺寸(mm)：××总……,http://zj.lmjx.net/zj_class_25_0_0.html
中材建科QTY3000型液压彩砖机,http://zj.lmjx.net/detail_MTM2Nzk=.html,870,实现数块制品一次成型，降低电力和人工费用;送料器自动送料，实现送料、压制自动化;整体出模，实现集中搬运码垛，提高生产效率;任意更换模具，实现一机多样化;四柱导向，加长型导向套，结构……,http://zj.lmjx.net/zj_class_26_0_0.html
三一重工SE8215-31.5MW常温型机组,http://zj.lmjx.net/detail_MjAyNDE=.html,776,SE8215-3风电机组为SE7715的扩展型，是适用于III类陆上风场的1.5MW常温型机组，机组采用变速恒频双馈技术，结构上采用水平轴、三叶片、上风向布置……,http://zj.lmjx.net/zj_class_27_0_0.html
久保田M系列M740R拖拉机,http://zj.lmjx.net/detail_MTc5MzE=.html,5133,崭新的发动机 合理的整体布局 人性化的设计 简便的操作系统 独立的动力输出轴……,http://zj.lmjx.net/zj_class_28_0_0.html
山河智能MG300/700-WD(K)采煤机,http://zj.lmjx.net/detail_Mjc3MzI=.html,90,启动扭矩大，过载能力强，效率高，能频繁启动和换向。 2、机身各部件之间采用高强度液压螺栓连接。 2、截割部电机装有离合器装置和弹性扭矩轴，提高了安全性……,http://zj.lmjx.net/zj_class_29_0_0.html
江淮汽车帅铃H系载货车,http://zj.lmjx.net/detail_MjU0NTk=.html,739,,http://zj.lmjx.net/zj_class_30_0_0.html
中联重科TC5010-4塔式起重机,http://zj.lmjx.net/detail_ODgx1---.html,26059,? TCT5010-4性能参数：性能参数及技术指标国内领先，达到当今国际先进水平a、最大臂长50m;臂长组合每5米递减，最小臂长20米;b、最大起重量4t;c、臂尖最大吊重量1.0……,http://zj.lmjx.net/zj_class_19_61_0_1.html
中联重科TC5010-4塔式起重机,http://zj.lmjx.net/detail_ODgx1---.html,26059,? TCT5010-4性能参数：性能参数及技术指标国内领先，达到当今国际先进水平a、最大臂长50m;臂长组合每5米递减，最小臂长20米;b、最大起重量4t;c、臂尖最大吊重量1.0……,http://zj.lmjx.net/zj_company_19_61_0_-1.html
利勃海尔26 H快速架设起重机,http://zj.lmjx.net/detail_MzY03---.html,6520,液压机构使H系列起重机的装卸非常简单。塔架与副臂上的液压缸使得H系列起重机能够迅速移至工作位置。折叠塔架采用绝对密封焊接的实心壁结构……,http://zj.lmjx.net/zj_company_19_61_0_-2.html
中联重科T8030A-25U平头塔式起重机,http://zj.lmjx.net/detail_MjYwNjI=.html,374,T8030A-25U性能参数：性能参数及技术指标国内领先，达到国际先进水平……,http://zj.lmjx.net/zj_more_19_61_0_0_1_1.html
江麓QTZ80(JL6011-6/8)塔式起重机,http://zj.lmjx.net/detail_MTkxODQ=.html,676,? 电气控制系统采用PLC控制或智能化控制，提高了可靠性和安全性，关键电气元件采用行业知名品牌，如天水二一三、法国施耐德公司的低压电器，德国西门子的PLC可编程控制器……,http://zj.lmjx.net/zj_more_19_61_0_0_1_2.html
中联重科D2500-120塔式起重机,http://zj.lmjx.net/detail_MTQwNTQ=.html,3475,最大起重量：120t;最大臂长/对应的最大吊重量：80m/15t，塔身：5.5m×5.5m×5.7m杆式标准节;最大独立高度：103m;最大附着高度：220m;顶升安全，速度快：为……,http://zj.lmjx.net/zj_more_19_61_0_0_1_3.html
金源QTD260 16T动臂塔机,http://zj.lmjx.net/detail_Nzk46---.html,4236,……,http://zj.lmjx.net/zj_class_19_61_0_2.html
鸿达QTZ500动臂塔式起重机,http://zj.lmjx.net/detail_Mjg44---.html,6648,铁力士牌QTZ500 (T8030/25)塔机是鸿达集团公司最新研制，采用变频调速技术，满足GB/T5031&lt;&lt;塔式起重机技术条件&gt;&gt;和GB5144&lt;……,http://zj.lmjx.net/zj_class_19_61_0_3.html
波坦MC120B塔式起重机,http://zj.lmjx.net/detail_MTMxMzU=.html,4504,波坦公司一直在塔式起重机方面处于领先位置。迄今为止已在全球销售并竖立超过100000台塔机。 目前，该公司在法国、德国、意大利、葡萄牙和中国的工厂生产60余种型号塔式起重机……,http://zj.lmjx.net/zj_class_19_61_0_4.html
杰牌21CJ210-12t平头塔,http://zj.lmjx.net/detail_MjIxMDQ=.html,333,平头塔的设计是一种全新的设计理念被引入塔机世界，就是说，使用同一个标准化、模块化系统可用以构成不同吨位的塔机。这个智慧闪烁、熠熠生辉的理念，将塔机的适用性提升到一个前所未有的高度……,http://zj.lmjx.net/zj_class_19_61_0_5.html
方圆QTZ63（TC5510）塔式起重机,http://zj.lmjx.net/detail_MTIxMzA=.html,3837,QTZ63（TC5510）塔式起重机最大工作幅度为55米，同时可以变臂50米、45米、40米、37.5米、32.5米等，方便用户使用……,http://zj.lmjx.net/zj_class_19_61_0_6.html
利勃海尔MK 100 /110移动式建筑起重机,http://zj.lmjx.net/detail_ODk37---.html,5443,MK系列移动式建筑起重机集经典车载式起重机的移动性与塔式起重机的功能优势于一身。MK起重机由一人通过按钮进行装配。MK 45安装在市售4轮卡车底盘上……,http://zj.lmjx.net/zj_class_19_61_0_46.html
徐工Q7022(7022-16)塔式起重机,http://zj.lmjx.net/detail_MjE5MDM=.html,377,最佳的性价比；优越的起重性能；合理的结构设计；严格的制造控制；高安全、高可靠性；人性化设计；便捷的操作性和运输性……,http://zj.lmjx.net/zj_class_19_61_0_47.html
金源TC5513/6013  8T塔式起重机,http://zj.lmjx.net/detail_Nzk41---.html,1711,……,http://zj.lmjx.net/zj_class_19_61_0_11.html
泰沃QTZ50 自升式塔式起重机,http://zj.lmjx.net/detail_MjgxMjY=.html,97,项目型号QTZ50(5010)QTZ50(5010)QTZ50(5008)臂长（m）505050独立高度(m)29附着高度(m)120最大起重量(t)444主肢材料L160×160……,http://zj.lmjx.net/zj_class_19_61_0_10.html
金源QTZ125塔机(5025/5522/6018/6515),http://zj.lmjx.net/detail_Nzk42---.html,2962,……,http://zj.lmjx.net/zj_class_19_61_0_9.html
江麓QTZ500塔头式起重机,http://zj.lmjx.net/detail_MTAyODc=.html,2146,? 电气控制系统采用PLC控制，提高了可靠性和安全性，三大机构全部采用业界领先的变频调速技术，关键电气元件采用国际知名品牌，如法国施耐德公司的低压电器，日本三菱的PLC可编程控制器……,http://zj.lmjx.net/zj_class_19_61_0_12.html
华夏QTZ63(P5510)塔式起重机,http://zj.lmjx.net/detail_MTk1NzU=.html,424,项目单位2倍率4倍率最大起重力矩最大幅度55米Kn.m75081050米78084045米810870工作幅度m3--55最大起重量t36最大幅度起重量t1.0470.992最大起……,http://zj.lmjx.net/zj_class_19_61_0_13.html
利勃海尔81 K快速架设起重机,http://zj.lmjx.net/detail_MzY11---.html,2543,桁架结构快速架设起重机的起重能力为26 - 120公吨。这些起重机具有可变的副臂长度和吊钩高度，并且架设运动非常简单。这些起重机可以作为立即使用的整体进行运输……,http://zj.lmjx.net/zj_class_19_61_0_16.html
中联重科TC5613-6F塔式起重机,http://zj.lmjx.net/detail_ODgx5---.html,4788,? TC5613-6F性能参数：性能参数及技术指标国内领先，达到当今国际先进水平a、最大臂长56m;臂长组合每6米递减，最小臂长38米;b、最大起重量6t;c、臂尖最大吊重量1.3……,http://zj.lmjx.net/zj_class_19_61_0_8.html
华夏QTZ80(5810)塔式起重机,http://zj.lmjx.net/detail_MTk1Nzg=.html,411,名 称参 数公称起重力矩/最大起重力矩（kN.m）800/900最大起重量/最大幅度处额定起重量（t）6/1工作幅度（m）2.5--58独立式/附着式高度（m）40/140起升/回……,http://zj.lmjx.net/zj_class_19_61_0_7.html
方圆QTZ100（TC6013）塔式起重机,http://zj.lmjx.net/detail_MTIxMzQ=.html,2209,标准节尺寸1.8×1.8×3米，主肢材料为16Mn方管结构，连接套为燕尾式，连接高强螺栓规格为M36；2、起升减速机为四轴，实现起升机构卷筒的粗短型设计，减小了钢丝绳的出绳偏角，使……,http://zj.lmjx.net/zj_class_19_61_0_14.html
力特QTZ63(5211)塔式起重机,http://zj.lmjx.net/detail_MTg2Njg=.html,344,……,http://zj.lmjx.net/zj_class_19_61_0_15.html
中昇QTZ380(ZSL380)平臂塔式起重机,http://zj.lmjx.net/detail_MTA0NDM=.html,2509,……,http://zj.lmjx.net/zj_class_19_61_0_18.html
鸿达QTZ80A塔式起重机,http://zj.lmjx.net/detail_Nzky6---.html,1865,QTZ80A塔式起重机是满足GB/T5031&lt;&lt;塔式起重机&gt;&gt;和GB5144&lt;&lt;塔式起重机安全规程&gt;&gt;等标准设计的加强型塔式起重机，……,http://zj.lmjx.net/zj_class_19_61_0_17.html
方圆QTZ160（TC6020）塔式起重机,http://zj.lmjx.net/detail_MTIxMzY=.html,2058,TC6020标准节为整体式，上下塔机的爬梯为倾斜式，安全美观；主肢材料采用方管结构，高强的汽车大梁钢；标准节的直腹杆、斜腹杆超强设计，整机刚度更好；2、起升机构采用带涡流制动的双速……,http://zj.lmjx.net/zj_class_19_61_0_19.html
虎霸T7527塔式起重机,http://zj.lmjx.net/detail_ODM14---.html,2140,浙江虎霸建设机械有限公司是一家专业设计、制造、安装各类建设机械产品及配件的生产企业，公司结合多年来积累的起重机械制造经验，引进国内外先进的设计理念，研发出了具有先进技术、稳定性能的……,http://zj.lmjx.net/zj_class_19_61_0_21.html
杰牌21CJ550-24t平头塔,http://zj.lmjx.net/detail_MjIxMTI=.html,334,平头塔的设计是一种全新的设计理念被引入塔机世界，就是说，使用同一个标准化、模块化系统可用以构成不同吨位的塔机。这个智慧闪烁、熠熠生辉的理念，将塔机的适用性提升到一个前所未有的高度……,http://zj.lmjx.net/zj_class_19_61_0_20.html
华通动力SPS90R多功能沥青摊铺机,http://zj.lmjx.net/detail_MTExMDg=.html,11438,,http://zj.lmjx.net/zj_class_11_24_0.html
陕建机SUM820履带式多功能沥青摊铺机,http://zj.lmjx.net/detail_MTU3NjA=.html,8964,,http://zj.lmjx.net/zj_class_11_24_0.html
