标题,内容
广西建工SC200/200双输出变频施工升降机,1.两传动新型施工升降机双输出传动机构输出齿轮由原来的2个增加为4个，在额定载重量的情况下齿轮齿条接触应力比普通两传动施工升降机降低50%，比三传动施工升降机降低25%，大大增加了。
大方DF30/70型架桥机,1.最大起重量:70t2.适用桥梁跨径:≮30m3.适用桥梁纵坡:&plusmn;3%4.小车额定升降速度:0.9m/min5.车额定纵型速度:4.28m/min6.大车纵(横)。
曼尼通120XEL高空作业平台,120XE是紧凑型电动剪刀式升降机，可以达到12米的工作高度。这个平台是需要高安全性和生产力应用的理想选择。
浙江建机QTZ80(ZJ5710)塔式起重机,1技术性能表额定起重力矩tm80起升高度m倍率独立式附着式а=240.5121.5（160）а=440.560最大起重量t6工作幅度m最小幅度2.5最大幅度57/55/52/50/。
中联重科D125080塔式起重机,D125080性能参数：a、最大臂长110m;臂长组合每10米递减，最小臂长50米;b、最大起重量80t;c、110m臂尖最大吊重6.2t;d、公称起重力矩：12500KN.m;。
中联重科D5200240塔式起重机,D5200240性能参数：a、最大臂长40m;b、最大起重量240t;c、40m臂尖最大吊重110t;d、最大起重力矩：5316t.m;e、塔身采用6.5m×6.5m×5.7m的。
中联重科DR125063(L125063)塔式起重机,DR125063动臂式塔机是继TCR605532之后，我公司精心制造、国家建筑城建机械质量监督检验中心严格监督检验、技术性能国内领先、多项技术指标具有国际先进水平的一种新型全液。
北起多田野GT250E(自制底盘)型汽车起重机,GT250E型汽车起重机GT250E型汽车起重机是北起多田野（北京）起重机有限公司为适应国内用户而隆重推出的25吨级系列产品中的主要产品。整机外形美观、大方，设计紧凑、合理。
星邦重工GTJZ16剪叉高空作业平台,"GTJZ16柴油越野剪叉式高空作业平台使用了浮动装置及四轮驱动，具备超强的动力和越野性能;铝合金花纹钢板平台，防滑效果好,维修更换方便;平台可双面延伸，平台承载能力强。"
利勃海尔542HCL18/36Litronic俯仰臂起重机,HCL系列起重机设计用于特别高的建筑物，或者空间非常狭小的场所。这些起重机能够避免受到障碍，并且能够在有载情况下，以8米半径旋转360°。
利勃海尔3150HC70顶部回转起重机,HC系列包括8种通用起重机，起重能力为12505000吨米。HC起重机设计用于极高的吊钩高度和极长的臂架。
恒升建机HST7528塔式起重机,HST7528的性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长75m;臂长组合每10米递减，最小臂长50米;b、最大起重量18t;c、臂尖最大吊重量2.8t;d。
泰沃LH双梁桥式起重机,"LH型电动葫芦桥式起重机是电动葫芦配置成葫芦小车,桥架采用中轨箱型梁,大小车运行机构采用”三合一”传动方式,具有外型尺寸紧凑、建筑净空高度低、自重轻、体积小,结构简单等优点。"
川建P125平头式塔式起重机,P125塔式起重机是本公司自行设计研发的新型塔机。该机的起升、回转、变幅、行走、顶升机构均采用国外技术，性能先进可靠。
方圆QTZ87（PT5510）塔式起重机,PT5510塔式起重机最大工作幅度为55米，同时可以变臂50米、45米、40米等，臂长变化更方便，用户使用更多选择；安装更方便、安全、快捷；2、起升减速机为四轴，实现起升机构卷筒的。
方圆QTZ250（PT7023）塔式起重机,PT7023塔机为水平臂架、小车变幅、上回转、自升式多用途塔式起重机。机构配置先进，调速性能良好，运行平稳、可靠。三大机构均采用变频调速控制。
方圆PT7528塔式起重机,PT7528塔式起重机最大工作幅度为75米，同时可以变臂70米、60米、50米等，臂长变化更方便，用户使用更多选择；安装更方便、安全、快捷，可实现空中接臂，降低对安装设备起吊能力的。
恒升建机QTZ3008塔机,QTZ3008的性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长30m;臂长组合每6米递减，最小臂长30米;b、最大起重量2.5t;c、臂尖最大吊重量0.8t;d。
方圆QTZ63（TC5013）塔式起重机,QTZ63（TC5013）为水平臂架、小车变幅、上回转自升式塔式起重机。整机结构设计合理、外形美观，塔身标准节为整体式，主肢采用钢管加工而成，受力性能好。
方圆QTZ63（TC5510）塔式起重机,QTZ63（TC5510）塔式起重机最大工作幅度为55米，同时可以变臂50米、45米、40米、37.5米、32.5米等，方便用户使用。
沈建QUY55履带起重机,QUY55全液压履带式起重机是吸收国内外先进技术研制而成，主要配套件皆选用国内外知名产品;其结构先进、性能安全可靠、动作平稳、外形设计美观、操作环境舒适，各项性能指标均达到。
利勃海尔32TTR履带底盘塔式起重机,R系列履带式底盘获得了良好的现场与越野移动性。在要求位置快速变化和低地面接触压力的场合，需要使用履带式起重机。
利勃海尔200DR5/10Litronic塔式起重机,"R系列起重机屋面吊被设计成为拆卸高楼,桥塔,和通信塔的专业塔机.新设备每个单一零件都可以采用小型起升设备进行拆卸和利用建筑物上的吊轴移走。"
华夏SC200/200塔式起重机,"SC200/200施工升降机（施工电梯）,采用齿轮齿条啮合,外置式,三传动,额定载荷2吨,额定提升高度150米的施工升降机,稍作改动即可成2吨单吊笼施工升降机.本机配有国家专利技术。"
川建C3208水平臂塔式起重机,SCMC3208塔式起重机，是按最新国家标准设计的一种上回转，小车水平变幅、自升式塔式起重机，其性能达国内先进水平。臂长32m，最大起重量2.5t，最大起重力矩31t.m。
川建C7030(12t)水平臂塔式起重机,SCMC7030(12t)塔式起重机，是我公司自行制造的上回转自升式塔式起重机。最大起重量12t，各种机构采用本公司先进技术，性能优越，构造合理，就位准确。
川建D120动臂式塔式起重机,SCMD120动臂式塔式起重机，是我公司自行设计制造的上回转，动臂式变幅，自升式塔式起重机，最大起重量8t，各机构采用公司引进的先进技术，技术性能先进，构造合理，带载变幅，就位准。
川建M1500水平臂塔式起重机,SCMM1500塔式起重机，是我公司吸收国外塔机技术，自行设计制造的大型上回转自升式塔式起重机。该机型设计新颖，起升、回转、变幅、行走、顶升等机构均采用国外技术，性能先进可靠。
川建M600水平臂塔式起重机,SCMM600塔式起重机，是我公司吸收国外塔机技术，自行设计制造的大型上回转自升式塔式起重机。该机型设计新颖，起升、回转、变幅、行走、顶升等机构均采用国外技术，性能先进可靠。
立杰SC施工升降机,"SC施工升降机,采用齿轮齿条啮合,外置式,额定提升高度150米的施工升降机。本机配有国家专利技术的防坠安全器，坠落时能自动刹车，驱动单元置于笼顶上方，安全可靠，维修保养方便。"
沈建sc200/200型施工升降机,SC型施工升降机是一种靠齿轮齿条传动的类电梯设备，主要用于高居建筑施工及货物运输。这种设备可以非常方便的安装和拆卸。可随着建筑物增高而增高。
韶起SQ600ZB4随车起重机,"SQ600ZB4为30吨级随车吊，最大额定起升质量30吨，折臂5节直臂，2条伸缩式支腿,伸缩式附加支腿2条。"
永茂ST70/30塔式起重机,ST70/30塔头式塔式起重机是抚顺永茂建筑机械有限公司利用雄厚的科技开发能力，加强引进技术的消化吸收和移植创新，紧跟塔式起重机国际新技术、新潮流，根据国内外市场需求而自主设计开发。
永茂ST80/75塔式起重机,ST80/75塔机是根据市场需求，用户需要，由永茂集团自主研发的机型。该机额定起重力矩为QTZ900t.m，起重臂长为80m，最大起重量为50t。固定式使用时塔机自由高度为90m。
永茂STT113塔式起重机,STT113平头塔式起重机是抚顺永茂建筑机械有限公司利用雄厚的科技开发能力，加强引进技术的消化吸收和移植创新，紧跟塔式起重机国际新技术、新潮流，根据国内外市场需求而自主设计开发的高。
方圆QTZ80（TC6010）塔式起重机,TC6010塔式起重机最大工作幅度为60米，同时可以变臂55米、50米等，方便用户使用；2、起升减速机为四轴，实现起升机构卷筒的粗短型设计，减小了钢丝绳的出绳偏角，使钢丝绳在卷筒上。
中联重科TC6013A6F塔式起重机,TC6013A6F性能参数：性能参数及技术指标国内领先，达到当今国际先进水平a、最大臂长60m;臂长组合每5米递减，最小臂长30米;b、最大起重量6t;c、臂尖最大吊重量1.3t。
方圆QTZ125（TC6014A）塔式起重机,TC6014A塔式起重机基于波坦公司的F0/23B而开发，标准节为整体式，主肢材料采用角钢扣方，高强螺栓连接；该塔机变臂后可为TC5025；2、起升机构采用带涡流制动的双速绕线电机。
中联重科TC6016A8B塔式起重机,TC6016A8B性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长60m;臂长组合每5米递减，最小臂长30米;b、最大起重量8t;c、臂尖最大吊重量1.6t;d。
方圆QTZ160（TC6020）塔式起重机,TC6020标准节为整体式，上下塔机的爬梯为倾斜式，安全美观；主肢材料采用方管结构，高强的汽车大梁钢；标准节的直腹杆、斜腹杆超强设计，整机刚度更好；2、起升机构采用带涡流制动的双速。
恒升建机TC7030塔式起重机,TC7030的性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长70m;臂长组合每5米递减，最小臂长55米;b、最大起重量12t;c、臂尖最大吊重量3t;d、额定起。
方圆QTZ250（TC7030）塔式起重机,TC7030塔式起重机基于波坦公司的H3/36B而开发，标准节为鱼尾板销轴连接的片式组装结构，方便储存和运输；2、套架结构为可拆装的双U型结构，平衡臂为多节式组合式，便于国际集装箱。
利勃海尔32TT快速架设起重机,TT系列起重机适用于多种场合，价格适中，臂架+H535长度可以变化，操作员可以选择载荷转矩，吊钩高度可以调节。
柳工QUY55履带起重机,变幅机构·变幅机构由液压马达、卷扬减速机、制动器、钢丝绳过放保护装置、棘爪锁止机构及钢丝绳组成，制动器为内藏湿式常闭制动器。通过变幅卷扬改变变幅滑轮组之间的钢丝绳长度使臂架变幅。
方圆QTZ100（TC6013）塔式起重机,标准节尺寸1.8×1.8×3米，主肢材料为16Mn方管结构，连接套为燕尾式，连接高强螺栓规格为M36；2、起升减速机为四轴，实现起升机构卷筒的粗短型设计，减小了钢丝绳的出绳偏角，使。
惠山QTZ20塔式起重机,参数项目性能参数额定起重力矩(t.m)20最大起升高度(m)25（固定式）60（附着式）工作幅度最大幅度(m)25最小幅度(m)2最大起重量(t)2最大幅度处额定起重量(t)0。
运想重工20米直臂GTBZ20GTBZ22Z高空作业平台,产品描述：GTBZ20GTBZ22Z工作高度22.4m73ft23.9m78ft水平延伸19.1m63ft20.2m66ft承载能力480kg1056lbs480kg10。
山东常林沭河SH800C拖拉机,产品特点：·产品轴距加长，增加了产品的爬坡牵引力；·宽阔明亮的全玻璃封闭驾驶室，视野开阔、操控更舒适，可满足运输用户群体的需求。
方圆SC200/200变频施工升降机,"产品特点：１.SC系列施工升降机最大设计高度300米,速度为33～60m/min；２.产品应用先进的Solidworks三维绘图软件进行产品设计，已先后获得七项国家专利；３.安全。"
沈建FL25/30动臂式塔式起重机,产品型号：FL25/30工作幅度：50m额定最大起重量：10t额定最大幅度起重量：3t产品说明：FL25/30塔式起重机是消化吸收引进国外技术结合国内经验设计制造的上回转，动臂式自。
"沈建M125(100,80)/75平臂式塔式起重机","产品型号：M125(100,80)/75工作幅度：80m额定最大起重量：50t额定最大幅度起重量：7.5t产品说明：M125(100,80)/75自升式塔式起重机是消化吸收国外先进。"
沈建R70/27平头式塔式起重机,产品型号：R70/27工作幅度：70m额定最大起重量：12t额定最大幅度起重量：2.7t产品说明：R70/27自升式平头塔式起重机没有塔头及拉杆上部结构形式呈水平、均为刚性结构，销。
天一T5515（QTZ80）塔式起重机,产品型号：T5515（QTZ80）工作幅度：55m额定最大起重量：8t额定最大幅度起重量：1.5t1.6M*1.6M*3M(片式结构）1.6M*1.6M*2.5M。
天一T603612T(H3/36b)塔式起重机,产品型号：T603612T(H3/36b)工作幅度：60m额定最大起重量：12t额定最大幅度起重量：3.6t产品说明：T603612T(H3/36B)自升式。
天一T7030塔式起重机,产品型号：T7030工作幅度：70m额定最大起重量：12t额定最大幅度起重量：3t产品说明：T703012T（K30/30）自升式塔式起重机是引进消化国外技术生产。
厦金XJ96828卷钢堆高机,产品自重31吨；节能专利型潍柴175KW/h（达235马力）动力，内带多项专利、节能、稳定、更加适用于灰尘多的作业环境；前轮配装贵州“前进”三颗星26.5钢丝胎，后轮配“前进”牌2。
华中建机电动单梁桥式起重机,单梁桥式起重机其结构特点是电动葫芦或手动单轨小车沿主梁工字钢下翼缘运行，进行物料搬运作业，通常用于车间、仓库等物料搬运作业，其中手动单梁起重机用于不允许用电或无电源场合。
鸿达QTZ40A塔式起重机,底架固定式采用十字梁，通过预埋于混凝土内的螺栓固定在基础上，使安装场地大大缩小，满足施工场地范围受限制的特殊场合。其标准高度29米，塔身的组成为1节基节，1节支撑节和10节标准节。
中联重科TCR603016(L25016)塔式起重机,动臂塔机TCR603016是我公司继TCR605532、DR125063之后，成功自主研发的新型中型动臂变幅自升式塔式起重机，其整体技术性能国内领先，多项技术指标国际先进。
中建机械QTZ6018塔式起重机,独立高度53.6m，最大附着高度230.6m，最大起重量10t。臂长60m、55m、50m、45m、40m，臂端吊重1.8t、2.2t、2.6t、3.1t、3.59t。
徐工QTZ125C(601510)塔式起重机,额定起重力矩(t.m)125最大起重量(t)10臂长(m)/臂端吊重(t)60/1.5固定高度(m)60附着高度(m)200。
华夏QTZ63(5510)塔式起重机,额定起重力矩kN.m710最大起重量T6工作幅度m3～55起升高度独立式40.8附着式151起升速度二倍率m/min80.36/41.05四倍率39.37/20.11回转速度r/m。
力沅10吨4节臂随车起重机,额定最大起重量(KG)9000最大工作半径(mm)13500变幅角度范围175°液压系统工作压力MPQ20回转角度范围360°起重机质量（KG）2895邮箱容积（L）100安装空。
美国JLG450A系列II曲臂式升降平台,发动机驱动曲臂式升降平台系列450系列曲臂式升降平台曲臂式升降平台凭借其跨越配置，是捷尔杰产品中用途最广泛的臂式升降平台。
中国现代QTZ125(XD6018)尖头塔式起重机,该机为水平臂架、小车变幅、上回转自升式多用途塔机整机外形美观大方，颜色醒目；该机有基础固定和外墙附着两种工作方式；动作反映灵敏，调速性能好，回转平稳可靠，不抖动；司机室独立设置，视。
宝达SCD200(/200)系列施工升降机,该系列施工升降机是有对重的、额定载重量为2000公斤(约7000磅)的机型，包括SCD200/200V、SCD200V(高速、变频无极调速的双笼、单笼)、SCD200/200VA(。
航天新长征HTFGK140高空作业平台,规格SpecificationHTFGK140标准配置Standardequipment选装配置Options性能参数Performanceparameter●Ca。
海斯特H40.00XM~H50.00XM16CH堆高机,海斯特集装箱专用装卸机械，滑架重量轻，且免维护，使承载力最大化；CumminsQSB系列工业发动机，带重载空气滤清器和发动机保护系统，动力清洁强劲，尾气排放符合对NRMM的Tie。
合力CPCD250EC7Vo型集装箱空箱堆高机,合力CPCD250EC7Vo型集装箱空箱堆高机可应用在集装箱制造、维修企业，集装箱中转站，港口等场所，进行集装箱空箱的搬运和堆垛。
恒升建机变频无级调速施工升降机,恒升牌SC系列施工升降机为齿轮、齿条式转动，采用国内外先进技术，经自行多年消化、创新，设计新颖、结构合理、操作方便、装拆方便、外形美观，工作安全可靠。
利勃海尔120K.1快速架设起重机,桁架结构快速架设起重机的起重能力为26120公吨。这些起重机具有可变的副臂长度和吊钩高度，并且架设运动非常简单。这些起重机可以作为立即使用的整体进行运输。
中国现代XD160动臂塔式起重机,回转空间要求小，大为减轻空间限制；能充分发挥起重臂的有效高度，吊起高度高；起重臂起伏角度大，尾部回转半径小；起重臂稳定性好，安装幅度范围大；加装计算机远程控制系统，安全掌控设备使用。
三一重工SYT80(T57136)塔式起重机,回转型号HP40.100.195回转功率2×4kW回转速度0～0.8r/min变幅型号BE3358X变幅功率3.3/2.2kW变幅速度40/20m/min起升型号QTJ6.80。
方圆QTZ40（TC4708）塔式起重机,基础形式多样，可以是十字地梁固定基础、十字地梁砼块压重基础、十字地梁活基础、四支脚固定基础等；2、起升减速机为四轴，实现起升机构卷筒的粗短型设计，减小了钢丝绳的出绳偏角，使钢丝绳在。
利勃海尔MK140移动式建筑起重机,"技术数据标准EN14439钢丝绳铺设2最大起重能力8,000kg最大半径时的起重能力1,800kg最大吊钩高度37.7m高架臂架20°bis70°支撑底座8.25m。"
浙江建机QTZ500(ZJT550)塔式起重机,技术性能表额定起重力矩tm550起升高度m固定式附着式68.3248.3最大起重量t20工作幅度m最小幅度3.5最大幅度80/75/70/65/60/50/4024起升机构倍率起。
厦金XJ96825卷钢堆高机,卷钢叉装机竞争优势：自重：产品自重30吨，比其它品牌重约3—5.5吨。发动机：节能专利型潍柴175KW/h动力（达235马力）。
华夏QTZ40（4708B）塔式起重机,名称参数公称起重力矩（Kn.m）400最大起重量/最大幅度额定起重量（t）4/0.8工作幅度（m）2.547独立式/附着式高度（m）28/120起升/回转/变幅速度（二/四倍率。
华夏QTZ80(5810)塔式起重机,名称参数公称起重力矩/最大起重力矩（kN.m）800/900最大起重量/最大幅度处额定起重量（t）6/1工作幅度（m）2.558独立式/附着式高度（m）40/140起升/回。
中国现代QTZ300P(XDP7525)平头塔式起重机,平头式塔机——明显降低安装高度，减小安装场地占用，并便于臂节快速拆装，降低运输和仓储成本；*吸收国外技术——比同类塔机降低15%自重，安拆时大为降低对汽车起重机的要求；*起重能力强。
方圆QTZ80（TC5512）塔式起重机,起升减速机为四轴，实现起升机构卷筒的粗短型设计，减小了钢丝绳的出绳偏角，使钢丝绳在卷筒上的排绳整齐，改善了钢丝绳的使用寿命；2、起升机构采用带涡流制动的双速绕线电机驱动，串可变电阻。
泰安古河URV633K型随车起重机,起重机名称随车起重机全伸臂最大起升高度10000mm起重机型号URV630CNB最大起升力矩6350×2.0Kg×m最大起升重量6350Kg最大起升角度78度起重臂节数3。
方圆QTZ系列塔式起重机,始于1986年开始生产塔式起重机的方圆集团，多年来致力于各类塔式起重机的研究，现生产的TC系列、PT系列塔式起重机以安全的、先进的、人性化的设计理念，精湛的加工工艺，严格的质量管理。
华中建机电动双梁桥式起重机,双梁桥式起重机其结构特点是具有起升及运行机构的小车位于桥架上运行，金属结构为箱形双主梁形式。
常林GKS34随车起重机,四轮驱动，四轮转向功能使其具备强大灵活的机动性能；全封闭的线索设计，避免意外发生；40%爬坡能力，可以在不平坦的路面作业；操纵盒及控制面板更加坚固，大大提高防水性能；可旋转式发动机。
华夏QTZ125塔式起重机,塔机型号：QTZ125(HX6014)公称起重力矩：1250KN.m工作幅度：3.160m最大起重量/最大幅度处起重量：10/1.4t独立式起升高度：46.2(51.2)m附着式。
华夏QTZ40（4807）塔式起重机,塔机型号：QTZ40A公称起重力矩：400KN.m工作幅度：2.548m最大起重量/最大幅度处起重量：4/0.71t独立式高度：29.7m附着式高度：90m起升速度：8/34/5。
华夏QTZ80（80C）塔式起重机,塔机型号：QTZ80C公称起重力矩：800KN.m工作幅度：355m最大起重量/最大幅度处起重量：8/1.2t独立式起升高度：46m附着式起升高度：150m起升速度：20/40/。
鸿达QTZ100A(5515)塔式起重机,"铁力士系列塔式起重机为鸿达的主导产品之一,从QTZ20到QTZ315,幅度从30米到70米,工作范围大,工作方式多,适用对象广,该系列塔机为水平臂架、小车变幅、液压自升、机构新颖。"
永茂STL420动臂型塔式起重机,通过市场调研，永茂建机充分把握市场发展脉搏，不断填充动臂塔机系列，满足建筑市场对动臂式大型塔机需求量的增加需求，于2008年研制STL420动臂式自升塔机，该种塔机具有超大起重力矩。
聚龙QTZ系列塔式起重机,"我公司QTZ系列塔式起重机是塔机与科技的完美结合.主要特点是结构紧凑,刚度大,吊臂长,可靠性能高,塔身标准节全部采用独特的异型方管整体性式结构,起重臂为三角桁架结构,其中主弦杆材。"
浙江建机QTZ160(ZJ6516)塔式起重机,我公司是建设部塔式起重机在浙江省唯一定点生产企业，历史悠久，技术力量雄厚，设备优良齐全。公司生产的塔式起重机在同类规格产品中，处于国内领先水平，深受广大用户欢迎。
泰沃QTK25快速架设塔式起重机,下回转，驾驶室下置，压重式，便于地面操作，减轻上部重量;2、塔身结构为伸缩式，便于运输拆装；3、整体拖运，快速拆装，即架设即使用，底盘采用轮胎式，可以通过汽车直接拖运，到达目的地借。
双丰QTZ63塔式起重机,项目QTZ63参数起重机矩（KN.m）630起升高度独立式（m）40附着式(m)152最大起重量6000kg工作幅度最小幅度（m）3最大幅度（m）52（46）起升机构平均额定速度。
双丰QTZ80塔式起重机,项目QTZ80参数起重力矩（KN.m）800起升高度独立式（m）45附着式(m)150塔顶高度独立式（m）48.9工作幅度m565146起升机构电动机功率（KW）30/60电机极比。
华夏QTZ125(6018)塔式起重机,项目单位2倍率4倍率额定起重力矩kN.m1250最大起重量t510工作幅度m3～60最大幅度起重量t1.8031.769最大起重量幅度m27.15514.867起升高度独立式m。
华夏QTZ63(P5510)塔式起重机,项目单位2倍率4倍率最大起重力矩最大幅度55米Kn.m75081050米78084045米810870工作幅度m355最大起重量t36最大幅度起重量t1.0470.992最大起。
双丰QTZ40塔式起重机,项目单位倍率α＝2α＝4额定起重力矩KN.m400最大起重量t24工作幅度m346.8最大幅度起重量t0.79最大幅度起重量m20.7910.96起升高度独立式m30附着式120。
华夏QTZ40(5008)塔式起重机,项目单位参数额定起重力矩kN.m470最大起重量/最大幅度处额定起重量t4/0.81工作幅度m3～50高度（独立式/附着式）m30/120整机自重（无配重）独立式/附着式t2。
华夏QTZ63(5010)塔式起重机,项目单位参数额定起重力矩kN.m630最大起重量t5最大幅度处额定起重量t1.095（2倍率）/0.989（4倍率）工作幅度m3～50高度（独立式/附着式）m35/120整机。
华夏7030塔式起重机,项目单位参数值最大起重量二倍率t8四倍率16最小工作幅度m3.2最大工作幅度m70656055额定起重力矩二倍率kN.m2350240024502500四倍率21002150220。
泰沃QTZ125(6015)自升式塔机,项目型号QTZ125(6015)QTZ100(6013)臂长（m）6060独立高度(m)50附着高度(m)180最大起重量(t)108主肢材料方形135X135X14/Q345B标。
泰沃QTZ40自升式塔式起重机,项目型号QTZ40(4708)QTZ40(4808)臂长（m）46.848独立高度(m)29附着高度(m)120最大起重量(t)44主肢材料L160×160×12标准节截面尺寸1.。
泰沃QTZ50自升式塔式起重机,项目型号QTZ50(5010)QTZ50(5010)QTZ50(5008)臂长（m）505050独立高度(m)29附着高度(m)120最大起重量(t)444主肢材料L160×160。
湖南飞涛SQ6036吨直臂3节臂随车起重机,行业特点：★我公司专业生产212吨直臂式，1020吨折叠式随车吊，通过液压举升及伸缩系统来实现货物的升降、回转、吊运，装配于载货汽车。
三一重工SYT80(T60126F)塔式起重机,型号SYT80(T60126F)最大起重力矩1104kN·m最大起重量6t最大臂长/起重量60m/1.2t塔身截面1.6m×1.6m自由高度40.5m起升0~80回转0~0.8变。
双丰QTZ315塔式起重机,型号及型式/起重力矩QTZ315参数独立式附着式额定起重力矩315JKN.m最大额定起重量3000kg最大起升高度30m90m工作幅度最大幅度41.8m最小幅度3m起升机构倍率2。
双丰QTG20塔式起重机,型号及型式/起重力矩参数起重力矩200KN.m最大额定起重量2000kg有效工作幅度2.530m最大工作幅度处额定起重量650kg有效起升高度29.5m起升速度22.1/5m/m。
山东明龙QTZ100/80塔式起重机,性能介绍/Capacityintroduction■QTZ100塔机标准节截面1.833米×1.833米×2.5米，主肢材料∠1。
山东明龙QTZ80P(TC5613)平头塔式起重机,性能介绍/Capacityintroduction■QTZ80P平头塔机主要受力钢结构部件均采用Q345B钢材制作，采用1.8米×1。
利勃海尔22HM塔式起重机,液压机构使HM系列移动式快速架设起重机的装卸非常简单。通过液压架设运动学设计，HM系列起重机的架设非常容易、快速和安全，并且一人即可完成操作。
利勃海尔32H快速架设起重机,液压机构使H系列起重机的装卸非常简单。塔架与副臂上的液压缸使得H系列起重机能够迅速移至工作位置。折叠塔架采用绝对密封焊接的实心壁结构。
业豪QTZ80塔式起重机,一、传动机构1.QTZ80（5214）塔机常规配置6t起升机构。6t起升机构采用三速变极电机驱动，惯性冲击较小，控制系统简单可靠，显著提高了接触器的寿命，确保机构具有较高的可靠性。
三一重工SYTQ130两栖起重机两栖施工装备,用途：软土区域吊装作业特点：最大起重能力130t;在无水和水深2.5m以下滩涂路面行驶和工作，最大行驶速度为2.5km/h；采用桶形基础保证吊装作业时的安全性；装备GPS路线管理系。
三一重工SYTQ100H两栖起重机两栖施工装备,用途：软土区域重件吊装作业特点：额定起重性能：100t/100m；在无水和水深2.5m以下滩涂路面行驶和工作，最大行驶速度为2.0km/h；采用桶形基础保证吊装作业时的安全性；立柱。
虎霸T7527B塔式起重机,浙江虎霸建设机械有限公司是一家专业设计、制造、安装各类建设机械产品及配件的生产企业，公司结合多年来积累的起重机械制造经验，引进国内外先进的设计理念，研发出了具有先进技术、稳定性能的。
徐工SC200/200A塔式起重机,直接启制动，安全可靠；结构简单，性价比高；可选配浸锌吊笼。
山河智能SWHT28高空作业平台,主要参数整机重量17.2t爬坡能力45%车架离地间隙340mm平台载荷受限幅度340kg非受限幅度240kg最大作业高度27.7m工作平台底面最大高度26.0m最大作业幅度22.。
鼎力GTBZ18AE自行走曲臂式高空作业平台（电池款）,主要规格●工作高度：18.24m和16.00m●平台跨越高度：8.37m和7.15m●工作载荷：230kg重要特色●电池驱动，噪音小，无污染●交流驱动●转台360度连续。
立新QTZ63塔式起重机,主要特点?起升机构采用三速电机，能实现重载低速、轻载高速。?变幅机构牵引小车在水平臂上变幅，机构采用双速制动电机，具有良好的就位性能。
中联重科D2500120塔式起重机,最大起重量：120t;最大臂长/对应的最大吊重量：80m/15t，塔身：5.5m×5.5m×5.7m杆式标准节;最大独立高度：103m;最大附着高度：220m;顶升安全，速度快：为。
中联重科D80042塔式起重机,最大起重量42t最大臂长80m，臂尖最大吊重量5.8t塔身采用3m×3m×5.7m的片式标准节最大独立高度为75m，最大附着高度可到257.4m运输体积小：片式塔身、塔头式起重臂塔。
中联重科D150063塔式起重机,最大起重量63t;最大臂长80m，臂尖最大吊重量15t;塔身采用4m×4m×5.7m的片式标准节;最大独立高度为85.1m，最大附着高度可到210.5m;外置顶升方式，顶升安全，速。
徐工QTZ280(606313)塔式起重机,最佳的性价比；优越的起重性能；合理的结构设计；严格的制造控制；高安全、高可靠性；人性化设计；便捷的操作性和运输性。
三一重工SPK6500折臂随车起重机,最新、最快，领先6吨米级随车起重机新型SPK6500Performance是轻型车辆上的理想吊机，例如在市政工程中的应用。
