标题,内容
中海恒通HT-10C非开挖定向钻机,HT-10C钻机特点 &gt;&gt;1.主机结构紧凑、体积小、重量轻，可快速解体便于人工搬运;2.回转动力头采用矿山钻机动力头，更适用于干式和湿式钻进，并提高湿式钻进使用寿命;3。
中海恒通HT-12C非开挖定向钻机,HT-12C钻机特点&gt;&gt;1.滑架推进机构快慢速两档，提高空载作业效率;2.回转动力头采用矿山钻机动力头，更适用于干式和湿式钻进，并提高湿式钻进使用寿命;3.双液压夹持器。
中海恒通HT-20C/16C非开挖定向钻机,HT-20C钻机特点&gt;&gt;1.二轮主机机动性强，在工地间转移时，由3-4人可轻松推动，远优于滑橇结构;2.滑架推进机构采用快慢速两档，提高空载作业效率;3.推进滑板为滚轮。
宏大钻孔KQG138液压潜孔钻机,KQG138潜孔钻机是一种多用途内燃驱动的履带式液压自行式钻机，它装有大功率柴油发动机，强大的液压动力使您在大孔径钻凿和超深孔钻进中得心应手。
中联重科KSD18水平定向钻,KSD18型水平定向钻机是中联重科吸收国内外先进技术结合国内实际需求开发研制的最新产品，它秉承了中联钻机的传统特点：关键零部件采用原装进口件、重要零部件选用优质国产件、按国际通用标。
上海金泰SC35液压铣削搅拌钻机,SC35液压铣削搅拌钻机结合了液压铣槽机的设备技术特点和深层搅拌技术，在更为复杂的地质条件下完成地下连续墙搅拌施工。
上海金泰SC50液压铣削搅拌钻机,SC50液压铣销搅拌钻机结合了液压铣槽机的设备技术特点和深层搅拌技术，与金泰自主研发的SM桩架配套，可在复杂地质条件下可完成最深50m的搅拌成墙施工。
上海金泰SQ10全液压潜孔钻机,SQ10全液压潜孔钻机融合现代桩工机械的新技术和新工艺，可替代传统工程钻机和潜水钻机，是新一代人机一体化施工设备。
上海金泰SQ45全液压循环钻机,SQ45型钻机是一种全液压控制的新型桩工机械产品。融合了现代全液压桩工机械的新技术和新工艺，同时也吸收保留了经典的传统工艺；整机操作轻便灵活，机动性好，作业效率高。
威猛V1400水平定向钻机,V1400水平导向钻机，配备行业先进的功能和功率，V1400专为大型工程而设计。
威猛V200水平定向钻机,V200水平导向钻机在各种地质条件下工作都能达到您期待的高水平表现。它具有5423.3牛米的旋转扭矩和20吨级的回拖能力。
威猛V400水平定向钻机,V400 BY VBM Navigator?水平导向钻机可按需配置，使客户能够根据具体使用要求自定义设备。选配组件还包括配备空调的驾驶室、电液控制的钻杆装载器以及前置地锚系统。
威猛V750水平定向钻机,V750 by VBM Navigator?水平导向钻机，借助179千瓦东风康明斯发动机的强大动力，以及配备优质的液压组件，75吨级V750能够在各种有同要求的项目中大显身手。
徐工XTC80双轮铣,XTC80型双轮铣槽机主要应用于大型建设工程如地铁车站、建筑物基坑、高层建筑地下室、地下停车场、地下商业街、水库大坝、港口、矿山、环保工程等深基础工程中防水墙、挡土墙、承重墙的施工。
徐工XZ320水平定向钻,XZ320水平定向钻技术特点：进口行走减速机，故障少。独特的浮动式动力虎钳，动力头、虎钳双浮动，可有效延长钻杆的使用寿命。可选装钻杆辅助自动装卸装置，减轻操作者劳动强度。
徐工XZ680水平定向钻,XZ680水平定向钻技术特点：主泵、主阀、马达均选用国际名牌产品。减速机选用国际牌产品，承载扭矩大，安全系数高，使用寿命长。自带泥浆泵，操作简单、便捷。可选装摄像头，视野开阔。
宇通重工YTA820锚杆钻,YTA820锚杆钻机引进德国胡特技术，在产品结构形式、液压工作原理、动力头组合样式、施工工艺方法等方面都具备国内领先地位。
宇通重工YTCR200全套管钻机,YTCR全套管钻机是我公司应用最新技术和现代设计手段自主开发的一种新型钻机，整机由工作装置、液压动力站及遥控控制箱三部分组成，是一种新型环保、高效的钻进设备，在城市地铁、深基坑维护。
宇通重工YTZ26长螺旋钻机,YTZ系列长螺旋钻机是一种多功能、低成本、高效率的灌注桩成孔机械，具有全部电液驱动、步履行走、360度回转等功能。可打死角桩位，整机设计新颖，操作方便，施工高效，转场快捷。
浙江建机YZY-600静力压桩机,YZY-600全液压静力压桩机是一种大吨位、低噪音、无振动、无污染的桩基础施工机械。
上海金泰ZKD65-3A多轴钻孔机,"ZKD系列多轴钻孔机是采用国外先进技术（SMW工法），针对我国国情而开发的一种新型钻机，其特点:防水性好,施工深度大,挡土性能好,施工费用低。"
长河机械ZLB系列长螺旋钻机,ZLB系列步履式长螺旋钻孔机适用于钻孔灌注桩、挤扩桩、软地基处理等各种基础工程，广泛应用于城建、能源、交通等中高层及桥梁基础施工工法。该机采用液压步履式行走，360度回转。
上工机械ZLD110/65-3-M2三轴式连续墙钻孔机,ZLD110/65-3-M2三轴式连续墙钻孔机是应用于SMW工法的基础施工设备，该系列钻孔机是上海工程机械厂有限公司采用国外先进技术开发的。
上工机械ZLD220/85-3-M2-CS超级三轴式连续墙钻孔机,ZLD超级系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和。
上工机械ZLD180/85-3钻孔机,ZLD系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和软土。
钻通ZT-150型非开挖铺管钻机,ZT-150型定向钻进铺管钻机采用钢履带底盘，动力站和钻机一体化结构，其液压件(包括油泵、马达、液压阀、减速机等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠。
钻通ZT-25CDF型非开挖铺管钻机,ZT-25CDF型定向钻进铺管钻机回转系统采用无级调速，闭式液压系统，回转泵采用美国sauer泵，可靠性高，回转马达采用美国sauer大扭矩单马达。
钻通ZT-25型非开挖铺管钻机,ZT-25型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头等)均为进口或合资产品，柴油机为康明斯柴油机，动力强劲，性能可靠。
钻通ZT-300型非开挖铺管钻机,ZT-300型非开挖铺管钻机采用钢履带底盘，动力站和钻机一体化结构，其液压件(包括油泵、马达、液压阀、减速机等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠。
钻通ZT-40/65型非开挖铺管钻机,ZT-40/65型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头)均为原装进口产品，柴油机为世界著名品牌康明斯，动力强劲，性能可靠。
钻通ZT-60/85型非开挖铺管钻机,ZT-60/85型非开挖铺管钻机的液压件(包括油泵、压力阀、压力阀、油管、快速接头)均为原装进口产品，柴油机为康明斯牌，动力强劲，性能可靠。
钻通ZT-60D型非开挖铺管钻机,ZT-60D型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠。
重庆博山HCD38潜孔钻机,本新型钻机结构优良，配置高、性能好、效率高、灵活便捷。
徐工XZ450水平定向钻机,采用闭式节能回路、负荷敏感控制、电液比例控制等多项先进的控制技术，进口元件，质量可靠；2、齿轮齿条推拉，保证动力头运行的稳定性和传动的可靠性。
古河DCR20液压潜孔钻机,产品介绍▲卓越的工作性能游刃有余，大功率环保引擎和先进的技术。高速并强大的钻孔性能。▲舒适的操作环境更开阔的视野，更舒适安全的驾驶室。更便捷的智能化操作环境。
上海振中NV系列潜孔锤凿岩钻机,产品描述：NV潜孔锤凿岩钻机在岩石层、块石层、沙层、黏土层、沙砾层、卵石层、软石、中硬石、硬石层等硬的岩层和一般的土质都能进行桩基础施工。另外还可以适用于临时挡土的工程建设。
滨州钻机BZCDF150SDF车载式反循环动力头钻机,产品主要特点及用途：◎BZCDF150SDF是一种车载式反循环动力头钻机；钻机选用4×2专用钻井车底盘，配置玉柴YC6J180-33水冷四冲程增压中冷柴油发动机，排放标准国四；柴油。
滨州钻机BZCDF200DF车载式反循环动力头钻机,产品主要特点及用途：◎BZCDF200DF车载式反循环动力头钻机是我厂自主创新产品，是一种车载式动力头回转钻机；钻机选用6X4专用钻井车底盘，配置玉柴YC6J180-33水冷四冲程。
上海金泰GD-35全液压大口径钻机,单位GD-35钻孔最大直径/Max.drillingdiameterm3.5钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforcet。
上海金泰C6XP-C液压履带式多功能钻机,底盘/Undercarriage底盘宽度(mm)2250履带板宽度(mm)400履带长度(mm)2990行走速度(km/h)0-2.2最大爬坡能力(%)37接地比压(N/cm2)6。
恒天九五JVD-450水平定向钻,电路简单，故障率低；2、采用高性能合金钢齿轮齿条推拉，效率高，工作平稳；3、先进的液压系统比传统液压系统提高15-20%的工作效率，减少系统中的发热量50%，可节能15-20%；4。
徐工XZ400水平定向钻,动力强劲：采用178kW柴油发动机，具有涡轮增矩特性，保证钻机能在各种复杂地质条件下，完成铺管作业。
徐工XMZ130锚杆钻机,动力强劲：采用东风康明斯QSB6.7-C170大马力柴油发动机，具有智能化动力控制和管理系统，运行经济性高。
谷登机械GD5000-LL型水平定向钻,动力源：主动力为东风康明斯392kw/2100rPm柴油机2台，根据工况需要可启动单机而不影响连续工作。如两 台发动机同时工作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度。
谷登机械GD6000-TT型水平定向钻,动力源重庆康明斯559Kw/rPm柴油机两台，根据工况需要可启动单机而不影响工程。如两台发动机同时工 作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度。
中建机械QTZ7033塔式起重机,独立高度52m，最大附着高度238m，最大起重量16t。
德威土行孙DDW-2000水平定向钻,该定向钻机为钢制履带底盘，同时可选配橡胶板方便城市施工。钻架可滑移，使钻进角度调节范围大;高强度齿轮齿条机构输出效率高、可靠性强。
德威土行孙DDW-1200水平定向钻,"该定向钻机为钢制履带底盘。钻架可滑移，使钻进角度调节范围大;双马达驱动动力头，旋转扭矩大，给进、回拖采用齿轮齿条无极调速形式,工作效率高。整机具较高的性价比。"
德威土行孙DDW-110水平定向钻,该定向钻机为橡胶履带底盘，体积小，移动灵活。给进、回拖为马达-链条机构，动力头回转采用单马达驱动，配有机载泥浆泵(150L/min)和开放式控制室。
德威土行孙DDW-280水平定向钻,该定向钻机为橡胶履带底盘，移动灵活。给进、回拖为马达-链条机构;动力头回转采用双速马达驱动，效率高;配有250L/min机载泥浆泵;开放式控制室。
德威土行孙DDW-230水平定向钻,该定向钻机为自行式橡胶履带底盘，移动灵活。给进、回拖为马达-链条机构，动力头回转采用双马达驱动，扭矩大，配有机载泥浆泵(250L/min)和开放式控制室。
德威土行孙DDW-3000水平定向钻,该铺管钻机是为大型管道穿越而研发的专用设备，钻机的工作桅杆和动力源及控制室等组装在履带底盘上，工作桅杆由双齿道和钻进推盘轨道组成，输出效率高，性能可靠。
志高ZGY-100气液联动潜孔钻,该型号结构简单、操作方便、价格低廉、节约能源，同时还具有钻凿垂直及水平爆破孔的功能，特别是整机可拆性好，因此搬迁运输极为方便。
华力重工HL532B水平定向钻,该装备采用全液压控制及动力驱动技术，实现钻具的回转、推进、回扩、回拖及行走装置的驱动等功能，主要用于穿越公路、铁路、建筑物、河流，以及在闹市区、文物保护区、农作物和植被保护区等不易。
北方交通ZDY4000LK煤矿用全液压坑道钻机,该钻机既可用于煤矿瓦斯的抽排放钻孔施工，也可用于井下放水、地质勘探、煤层探测、煤层注水等各类工程钻孔的施工。
德威土行孙DDW-600A水平定向钻,该钻机为钢制履带底盘，机动力强，适合野外施工。钻架采用齿轮-齿条结构实现给进、回拖工况;液压系统采用变量系统更加节能。控制系统广泛采用电-液控制等先进的控制方式。
德威土行孙DDW-320水平定向钻,该钻机为橡胶履带底盘式整体机型，备钻迅速。给进、回拖为马达-链条机构，动力头回转采用马达驱动，配有机载泥浆泵(320L/min)和开放式控制室。
德威土行孙DDW-4000水平定向钻,该钻机整机由钻架和动力站及控制室三部分组成，钻架安装在履带底盘上。
德威土行孙DDW-100水平定向钻,该钻机主机和动力站均为轮式行走组合机型，体积小，能力大，机架可以调节倾角并能在工作坑水平两种形式施工。还可在工作坑内施工大管径短距离管道。
盾安DTR1305L全套管钻机,工作装置主要技术参数型号 DTR1305L 钻孔直径(mm) Φ600~Φ1300回转扭矩 (kN·m) 1770/1050/590 回转速度 (rpm) 1.5/2.6/4.5套。
华丰CFG26型/28型长螺旋钻孔机,名称CFG-26型CFG-28型钻孔直径（mm）400、600800400、600800钻孔深度（m）26222823动力头功率(kW)55x255x2动力头最大扭矩（kN.m）3。
山河智能SWWT65步履式三轴连续墙钻机,强劲平稳的动力头动力头由两台或三台特种恒功率电动机驱动，通过高强度、结构紧凑的行星齿轮箱和专用的主转动齿轮箱传动，具有强大施工扭矩及过载能力，最大转矩及堵转转矩均超过额定的3倍，能。
威猛V500水平定向钻机,实时监控  故障率低智能模块实时监控，液晶显示，提供自动诊断功能。模块控制，精确可靠，故障率极低。
中车TRT-200H全回转全套管钻孔机全套管钻机,是集全液压动力和传动，机、电、液联合控制于一体的新型钻机；全部采用原装进口发动机及液压件，可更好的保证设备动力及传动的可靠性2、低噪音环保:3、成桩和成孔质量高；4、可在各种复杂地。
海天路矿XZ型民用钻机,适用于民房建筑，楼房建筑基础施工。
恒天九五JVD-320水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路。
谷登机械GD100A-L 型水平定向钻,外形尺寸小，施工转场方便。2、推拉、夹持采用开式负载敏感变量系统，美国萨奥负载敏感变量柱塞泵。3、采用齿轮齿条推拉系统，效率高，工作平稳。
威猛V6000水平定向钻机,威猛钻机采用可以同时达到最大转速和最大旋转扭矩/低转速液压马达。■直接驱动:更高的效率意味着更少的功率损失和油耗■底部虎钳威猛钻机提供两种虎钳选择，适应用户的不同需求。
北方交通ZDY12000LF松软煤层超深孔定向钻机,为满足煤矿深部开采及松软煤层钻孔施工对钻机性能的要求，集团结合我国煤层地质条件研制成功了适合软煤层、裂隙发育地层钻进并带有自救功能的双管式超深孔定向钻机，该钻机作业性能稳定、测斜精。
徐工XZ200水平定向钻,项目单位参数发动机型号康明斯发动机额定功率KW110推拉方式齿轮齿条最大回拖 / 进给力kN200/200动力头最大扭矩N.m6350动力头转速r/min0-150动力头行进速度m。
徐工XZ6600水平定向钻,项目单位参数发动机型号沃尔沃??发动机额定功率KW565X2推拉方式齿轮齿条最大回拖 / 进给力kN6600/6600动力头最大扭矩N.m160000动力头转速r/min0-90动。
海天路矿CZ系列冲击钻机,项目名称 技 术 参 数 CZ-5 CZ-6 CZ-8钻孔直径mm400-600600-1001000-1200400-600600-1001000-1200400-600600-。
上海金泰GPS-15工程钻机,型号GPS-15底座通孔直径/Diameterofhole(m)1.5钻孔深度/Drillingdepth(m)50转盘最大扭矩/TorqueofRotarytable（kN.m）。
上海金泰SZ80-35液式多功能钻机,型号TypeSZ80-35主机动力系统/Powersystem电动机功率/Dieselenginepower(kW)4×110电动机转速/Max.rotationspeed(rpm。
中联重科KSD25B型干湿两用水平定向钻孔机,性能参数达到国际先进水平，最大回拖力25t，最大扭矩11500N.m，最大扭矩对应的最高转速48rpm，最高转速110rpm。
泰信机械卧式截桩机,性能特点：全球最先进的液压截桩方式，实现截桩高效率，作业低噪音；2、模块化设计，通过不同数量模块组合，实现截不同直径的桩头；3、性价比高，运营成本低，性能完全接近国外产品4、截桩操。
泰信机械KP380A截桩机,性能特点●领先的全液压式截桩设备，填补国内空白，5项独有专利技术，实现高效的桩头破除施工；●采用现金的模块化设计，变换模块组合数量，满足不同桩径施工；●可与多种工程机械自由联接，真。
泰信机械KP500S液压截桩机,性能特点●领先的全液压式截桩设备，填补国内空白，实现高效的桩头破除施工；●可与多种工程机械自由联接，真正实现产品的通用性和经济性。
中联重科KSD15水平定向钻,性能特点KSD15 型水平定向钻孔机在继承了英国保路捷公司研制的样机一体化设计、自动化程度高等优点的基础上，在元件选择、结构和系统设计等方面做了大量的改进，在掘进能力和可靠性等方面。
中联重科KSD25水平定向钻,性能特点KSD25型干湿两用水平定向钻孔机是中联重科在英国投资设立的中联保路捷股份有限公司研制的具有国际先进水平的新型非开挖管线施工设备，该设备与目前一般的水平定向钻机相比，有以下。
钻通ZT-400型非开挖铺管钻机,一、概述ZT-400型非开挖铺管钻机为分体结构，易运输;该机全液压驱动，性能可靠，操作方便，适应性强。整机分为三大块：钻架、动力站、控向室。
志高ZGYX-451一体式露天潜孔钻车,一体式钻车，配载138SCY—14.5中风压空压机，加装干式集尘装置，玉柴柴油机。
威猛D16X20a水平定向钻机,"长度 188"" (478cm) 宽度 36-49"" (91-124cm) 高度 86.5"" (219.7cm) 操作重量 7,500 lbs (3,402 kg) 最大主轴扭矩 2。"
华力重工HL512B水平定向钻,整机特点：HL512B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平。
恒特DMC150液压旋转冲击式钻机,整机重量TotalWeight15000Kg运输尺寸（长×宽×高）OverallDimensions(L×W×H)7750*2280*2780行走速度TravelSpeed2-5K。
钻通ZT-80/105型非开挖铺管钻机,主要特点：齿轮-齿条，给进-回拉机构，动力头运行平稳、可靠、免维修2、动力头主轴通径76mm，便于使用泥浆马达3、液压虎钳可全程移动，方便拧卸钻杆4、机载驾驶室集中控制带空调，操作。
上海金泰SPJT-300水文水井钻机,钻机型号/ModelofdrillingrigSPJT-300钻机形式/Type拖车钻孔深度/DrillingDepth(m)300钻孔直径/Diameterofhole(mm)4。
泰信机械DTR-2005H全回转全套管钻机,钻孔直径mm?1000~?2000回转扭距kN·m2965/1752/990瞬时3391回转速度rpm1.0/1.7/2.9套管下压力kN最大600KN+自重260KN套管起拔力k。
