标题,内容
三一重工SCP280C1平衡重式叉车,安全可靠具有智能防倾翻保护技术、货物防跌落保护技术、倒车自动刹车技术、整机防火技术、驾驶室自动锁止技术等，整机各项安全性能世界领先。
威肯CPQD30F双燃料叉车,采用人体工程学优化设计，国际潮流造型结构，操控轻便、舒适。采用双起升油缸，宽视野门架和全液压转向，机电全能制动系统。
山装SZMC3500越野叉车,参数C3500速度行驶速度25km/h起升速度300mm/s举升速度4000mm最大爬坡度20%整机重量4840Kg轮胎前轮8.25R16后轮14.17.5前。
山装SZMC5500越野叉车,参数C5500速度行驶速度25km/h起升速度300mm/s举升速度4000mm最大爬坡度20%整机重量6750Kg轮胎前轮11.00R20后轮16/702。
比亚迪CBD20电动托盘式叉车,高智能电控系统根据操作习惯和操作工况，让车辆在各种工况下灵活的发挥其性能，达到最佳的能量使用效率，更加节能和环保。
鲁宇LUYU12叉车,货叉长度（mm）1200额定起重质量（kg）2500整机质量（kg）2750发动机标定功率（kw）41/37举升高度（mm）≥3000货叉外侧最大调节度（mm）。
三菱RB系列(1.4~2.5T)多向前移式叉车,技术参数：型号产地动力形式类型重量载荷中心距RB14N欧洲AC48VReachTruck1400(kg)600(mm)RB14NH欧洲AC48VReachTruc。
三菱低位拣选车(1.0~2.0T)多向前移式叉车,技术参数：型号产地动力形式类型重量载荷中心距OPB10SF欧洲DC24VOrderPicker(Low)1000(kg)600(mm)OPB10SPF欧洲DC24VOr。
三菱OPBM10K多向前移式叉车,技术参数：型号产地动力形式类型重量载荷中心距OPBM10K欧洲DC24VOrderPicker(Medium)1000(kg)600(mm)。
上力重工CPC50SA叉车,技术参数特性额定载荷kg5000载荷中心矩mm600起升高度mm3000货叉尺寸L&times;W&times;Tmm1200&times;150&times;70门架倾角前倾/后。
福大FDM8150T越野叉车,技术性能参数概要制造福大机械型号FDM8150T动力形式柴油Diesel额定载荷Kg16000载荷中心距mm800尺寸起升高度mm3000自由起升高度mm195货叉尺寸mm160。
林德R14S/R16S/R20S电动前移式叉车,轻松的工作带来高的效率。视野宽阔的门架。智能的动力系统提供安全的动作。维护方便、低维护成本。
曼尼通MX504门架式叉车,提升能力5000kg提升高度6.00m能源Diesel电机功率95cv速度数4/4移动速度25km/h长度3.75m宽度2.10m高度2.50m重量7660kg转弯。
三一重工SCPS320C1伸缩臂叉车,为客户提供一条龙的服务，即完成装箱、掏箱作业后，可直接将集装箱转运至堆场，从而避免了另外再采用正面吊或重叉等辅助设备进行转运集装箱，大大提高了工作效率及设备利用率。
江淮重工2T电瓶牵引车其它种类叉车,型号QDD02动力形式蓄电池最大挂钩牵引力KN1.96行驶速度满载km/h8.2额定载重kg2300转弯半径mm1362车体长度mm1682车体宽度mm680。
丰田RRE160M前移式叉车,型号RRE160M额定负载公斤1600负载中心毫米600全宽A毫米1120转弯半径B毫米1649护顶架高C毫米2166至货叉垂直面的长度D不带侧移毫米1249/1314/140。
三菱RBM20/25K(2.0~2.5T)多向前移式叉车,型号产地动力形式类型重量载荷中心距RBM20K欧洲AC48VMultiwayReachTruck2000(kg)600(mm)RBM25K欧洲AC48VMultiw。
林德K(1.01.5t)人上行三向窄通道叉车,应用工况:该系列叉车可用于完成高层窄通道立体仓库中的存储，堆码和拣选等工作。司机驾驶室可以到达各层的货架高度，司机亦可选择站式或坐式操作。
一山重工CPC40Y越野叉车,越野式叉车又叫野战叉车，是在机场、码头、车站等路况条件较差的物资集散地装卸物资的设备，它具有良好的机动性、越野性相可靠性。
三一重工SCPC330船用叉车,在具备普通叉车的优势特点下，与普通叉车相比降低了门架高度等一系列措施，使得船叉能下到船舱作业，更高效的实现船舱内与码头堆场的一条龙服务，使货物的运送方便快捷，深受客户青睐。
