梅狮轻型手动搬运车,带手动缓降控制阀的油泵货叉下的推杆可调，以控制货叉最低高度货叉前端为弧形，方便装卸货物“C”结构的货叉各活动处都加上长久润滑油。
西林BFL搬运车,低架手动液压搬运车货叉与地面高度较低与特低，适用于货物离地高度较小时使用技术参数/型号BFL10BFL15额定负载 kg10001500货叉最低高度H1 mm3552货叉最高高度H。
科朗PC 4500 系列中置站驾式托盘搬运车,电动站驾式托盘搬运车适用于各种工况应用 WT3000站驾式托盘搬运车承载重量可高达2.5吨。
奥津NPG型手动搬动车,镀锌车油缸采用防漏设计，车架、手把、油缸等裸露在外部的零件全部经过镀锌处理，配置1． 不锈钢轴承，耐磨尼龙轮，抗腐能力强2． 不锈钢车除轮子、密封件以外所有零部件都采用不锈钢材料制。
西林BFG搬运车,镀锌手动液压搬运车；主要零件经热浸镀锌处理，具有一般性的防腐蚀能力，适用于潮湿环境中使用，也可在冷库中使用，但不能在腐蚀环境中使用。
西林BFH搬运车,高架手动液压搬运车搬运车货叉与地面高度较高，适用于货物离地高度较大时使用。
梅狮CBDST半电动液压托盘搬运车,高品质电控系统反应灵敏，操控自如重型设计，结构紧凑，适用于狭小空间进口液压泵站，使货物起升平稳有力低电压保护功能，保护电池，延长使用寿命大容量蓄电池，确保长时间工可选配进口手把，踏。
梅狮CBDS半电动液压托盘搬运车,高品质电控系统反应灵敏，操控自如重型设计，结构紧凑，适用于狭小空间进口液压泵站，使货物起升平稳有力低电压保护功能，保护电池，延长使用寿命大容量蓄电池，确保长时间工作可选配进口手把，。
永恒力ERE120n步行式/站驾式电动托盘搬运车,高效的驱动电机与智能的控制系统先进的驱动技术与电子控制系统（速度控制）保证了叉车能在各种工况下安全运作：在任何情况下，即时是在斜坡上也可通过行使开关保持设定的速度在坡面上发生意外下。
海斯特P2.0SD踏板式托盘车,工作效率高、加速快、10.5km/h的双速运行、助力转向，并且可以实现在转向时逐步加力  型叉车具有双货盘处理性能，适用于较大容量货车的装卸。
西林HW搬运车,户外手动液压搬运车；适合于不平整地面上使用，车架由高强度钢板制造，承载能力大；轮子为实芯胎，可靠性高。
西林BFR搬运车,护栏手动液压搬运车货叉根部设有档货架，防止货物滑移，起到保护操作者和货物的作用 尤其适用于轻质的货物，必要时可用绳子将货物与档货架固定在一起。
合力CBS08手推电起升堆垛搬运车,"简介CBS08手推电起升堆垛搬运车主要适用于一些低频率和相对低起升堆垛等小型堆垛货物的场合,同其他机动叉车种类相比,具有结构简单,使用轻便,价格相对便宜等优点.与手动托盘堆垛车相比。"
永恒力HC110手动液压搬运车,节约成本、动力强劲对于偶尔有堆垛（举升高度3000mm以内）需求的用户，HC 110比配备驱动电机的堆垛机更经济实惠。
西林BFJ搬运车,卷筒搬运车专作卷筒类货物搬运用，如纸卷、布卷、轮胎等呈园筒形货物技术参数/型号BFJ额定负载 kg1000货叉最低高度H1 mm&mdash;货叉最高高度H2 mm&mdash;无。
诺力CP系列手动搬运车,耐用液压油泵采用日本最新科技，德国进口密封件诺力自制的优质油泵指状控制手柄以三位的控制手柄来控制油泵系统的位置Conforms to EN1757-21KG=2.2LB 1INCH。
标题,内容
诺力L系列手动搬运车,尼龙进入滚子和退出滚子减轻了操作工的力，并有保护了负荷的轮子和货叉;带手动缓降控制阀的密封式油泵高性能型材钢和&ldquo;&rdquo;型结构的货叉；上升、下降、移动三种位置的调。
永恒力ERE225站驾式电动托盘车,强劲的三相交流驱动电机及智能型控制器先进驾驶技术及电控部件（速度控制）可根据作业需求灵活调节，确保安全、节能行驶：即便在斜坡上行驶，仍能保持恒速在斜坡上车轮出现意外倒转时，ERE 。
永恒力EJE220/225/235步行式电动托盘搬运车,强效的驱动电机与智能的控制系统先进的驱动技术与电子控制系统(SpeedControl)保证了叉车能在各种工况下安全运作：在任何情况下即使是在斜坡上也可通过行驶开关保持设定的速度斜坡。
力至优PLD步行式 进口电动托盘车,"适用场合：适合平整地面上的短距离的托盘水平搬运, 结构小巧紧凑，特别适于在类似货车内部这样的狭小空间内作业。"
力至优PLD站驾式 进口电动托盘车,"适用场合：适合平整地面上的中短距离的托盘水平搬运, 结构小巧紧凑，特别适于在类似货车内部这样的狭小空间内作业。"
西林BFB搬运车,手刹手动液压搬运车搬运车配有手刹车系统，专为驻车停车之用，特别是在地面呈坡度的库场尤其重要以性能可靠的普通搬运车为基础，配置手刹系统，安全可靠货叉由高强度合金钢板制造，自重轻，承载。
海斯特RP2.0N乘驾式托盘车,双承载轮设计允许叉车搬运更广范围的货物，能够适应不同的工作地面，使运搬作业更加流畅  SEM电机技术提供出色的速度控制、良好的加速性能和高启动扭矩。
西林BFQ搬运车,双速手动液压搬运车；轻载300KG时快速起升，重载时正常起升，有较高的工作效率；集成一体油泵；货叉由高强度合金钢板制造，自重轻，承载能力大。
西林BFT搬运车,双向手动液压搬运车除了保持原基础车以外，其十字行走即双向移动功能是它的主要特征，可直接作纵向与侧向移动，其侧向移动的独特结构是本公司之专利承载能力：纵向2500Kg/侧向1500K。
西林CBD20J全电动搬运车,说明: 操作性和灵巧车身的完美结合 高效微型电脑MOSFET控制系统 采用交流调频调速电机 低能耗，维护方便 制动可靠、低噪音技术参数/型号CBD20J额定负载kg2000载荷中心。
西林WA搬运车,说明: 高承载、长寿命、新外观、环保节能； 五圆弧手柄； 浮雕式顶盖和三角、高刚性货叉； 分体摇臂； 简便的手柄安装； 操作舒适和安全。
西林CBD20H全电动搬运车,说明: 外型小巧大方，造型美观 带踏板、护栏，操作方便、安全 侧拉式电瓶，便于更换 控制系统采用高效微电脑MOS管控制 低能耗，维护方便 制动可靠、噪音小。
西林BD10全电动搬运车,特点介绍: 电力驱动，零排放，无污染，低噪声  室内使用，地面平坦而坚硬，无坡度  载重量大，适合于大型模具，设备等重型物体的中转搬运。
西林CBD10A-II半电动搬运车,文字说明： 手动起升，电动行走 电机无刷，免维护 密封免维护电池，环保安全 双速度、低噪音，控制方便可靠。
永恒力EJR120n站驾式电动托盘车,新一代三相交流电技术创新的三相交流电技术在提供高校率性能的同时有效地降低运行成本：出色的高效率能量管理系统强大的加速能力行使过程中快速灵敏的转向在减速制动时能量回充系统更长的持续运。
永恒力EJE 116n/120n步行式电动托盘搬运车,新一代三相交流电技术永恒力三相交流电技术在降低运行成本的同时还为您提供更强大的工作能力。
金茂CBYA液压搬运车,液压缸体为优质钢焊接而成，柱塞杆、泵芯镀硬铬，耐磨、耐腐蚀 分油阀为整体结构，便于维修 脚踏开关板具备空载快速下降功能。
永恒力AM 22手动液压搬运车,易于操作易于操作的手柄使习惯左手或右手操作的用户都能轻松使用 采用比例液压控制技术的下降阀可精确控制托盘下降位置 只需3次压泵操作便可通过标配的快速举升功能将欧标托盘举离地面。
永恒力AM V05手动液压搬运车,应用性强标准手动托盘搬运车无法在欧标托盘上装卸小型载货车，而AM V05可轻松解决这一难题。
西林BF搬运车,油泵壳座为机械、液压集成一体化设计；密封设计防漏可靠，免维护、免拆装；千斤顶上的活塞杆导套的大口螺纹联接结构与卡式大轮轴联接结构是本公司之专利。
诺力CBG系列手动搬运车,油泵为整体密封式，关键部件采用德国进口原件，有过载保护；&ldquo;C&rdquo;结构的货叉可支撑重载，非常坚固；尼龙进入滚子和退出滚子减轻了操作工的力，并有保护了负荷的轮子和。
合力CBD25蓄电池托盘搬运车,主要配置及特点欧洲进口驱动单元；2、欧洲进口液压工作站；3、进口控制器及仪表；4、进口聚氨脂承载轮、驱动轮及转向轮；5、大容量铅酸蓄电池；6、连杆机构起升；7、快速、高效；8、站立。
合力CDD10/12蓄电池托盘堆垛车,主要配置及特点欧洲进口驱动单元；2、欧洲进口液压工作站；3、进口控制器及仪表；4、进口聚氨脂承载轮、驱动轮及转向轮；5、两级全自由门架；6、重量轻，转弯半径小，适合楼层及狭小空间作。
梅狮CBDB型半电动液压托盘搬运车,主要特点电动行走，液压起升重型设计，结构紧凑，操作方便自重轻，车架设计坚固，承载力强大容量蓄电池，确保长时间工作。
梅狮CBDA半电动托盘搬运车,主要特点电制动安全，灵活，起步平稳内置充电器，结构紧凑，操作方便电动行走，液压起升重量轻，车身矮，视野开阔。
梅狮CBD2.0AC全电动三箱交流电托盘搬运车,主要特点交流电机行走驱动，经久耐用无需维护人机同行，操作方便，视野开阔采用优质泵站，货叉起升平稳有力流线型重载设计，结构紧凑，用于狭窄通道，操纵灵活低电压保护功能，可在低电压状态下。
梅狮CBDA型半电动托盘搬运车,主要特点起升重量：1.2~2.0吨电动行走，液压起升自重轻、车身低、操作轻巧、视野开阔车架设计坚固，承载力强起步平稳，电机输出电磁制动大容量牵引电瓶，确保长时间工作。
西林CBD25Z全电动搬运车,注: ●承载能力达2500KGS ●交流驱动，性能可靠、易维护 ●变频调速，具有良好的驾控性 ●动力转向，驾驶舒适、安全 ●再生制动与电磁制动双重组合，制动安全、可靠，制动器寿命长。
西林CBD20K全电动搬运车,注: ●造型美观大方，操作方便灵活 ●采用交流调频调速电机，调速性能卓越●驱动电机采用卧式上置，维护方便●侧拉式电瓶，便于更换●货叉最低高度为75mm ●制动可靠、噪音小特征1.1。
诺力HLT(N)10/15剪式搬运车,1KG=2.2LB 1INCH=25.4MM项目/型号 HLT10HLT15HLT(N)10额定负载 Qkg100015001000货叉最低高度 hmm858585货叉最高高度 h……
诺力ACS20手动搬运车,ACS20H/ACS20L不锈钢搬运车1KG=2.2LB 1INCH=25.4MM项目/型号ACS20HACS20L额定负载 Qkg20002000货叉最低高度 hmm8575货叉……
西林CBD20M全电动搬运车,技术参数/型号CBD20M额定负载kg2000载荷中心 mm600货叉最高高度mm205货叉最低高度mm85货叉长度Lmm1100/1150/1220货叉宽度Wmm520/550/……
宝象CBDS电动托盘搬运车,型号CBDS1.0CBDS1.5CBDS2.0载重量kg100015002000载货中心mm650最大/小叉高（h2/h)mm205/85单个货叉宽度（e)mm160货叉长度mm1……
奥津WSZ型前移式电动堆高车,型号WSZ-10BWSZ-12.5BWSZ-15B载荷kg100012501500载荷中心mm400(500)400(500)400(500)起在起升高mm300030003000……
摩纳凯AC系列搬运车,主要技术参数型 号AC20AC25AC30额定载荷(kg)200025003000货叉最低高度(mm)857585758575货叉最高高度(mm)20019020019020019……
依格曼L65手动液压搬运车,主要性能参数表SPECIFICATION FOR STANDARD PRODUCT型号ModelL65-1L65-11起重重量Capacity(kg)25002500h货叉最低高度……
