标题,内容
欣融TS-2000型拖式沥青洒布机沥青洒布车,东风牌TS-2000型拖式沥青洒布机是一种沥青路面施工专用机械，本车型具有结构紧凑、拖动方便，尤其适用公路养护和狭窄路面的施工及交通半封闭的施工和养护，对于新建、整修及养护路面均能。
欣融DGA5161GLQ沥青洒布车,这款车曾经在2011年销售到国外特色Characteristics：普通控制盒，操作简便，容易掌握2、沥青泵转速、沥青温度数字显示，一目了然3、大扭矩液压马达，解决了启动困难4、液。
欣融DFA5161GLQ天锦-智能型沥青洒布车,全智能控制系统，PLC控制器，程序多次改进升级，实现洒布定量的精准控制 2、全触摸屏控制，轻松实现人机对话3、自动、手动一键切换，适用不同操作要求4、阿托斯全进口液压系统，安全、可。
欣融DFA5161GLQ沥青洒布车,特色：普通智能控制系统，PLC控制器，洒布定量手动调节2、施工工况，电脑显示，实时监控3、大扭矩液压马达，解决了启动困难4、液压油冷却系统，解决长时间施工油温升高的问题5、全新设计。
欣融DFA5100GLQ沥青洒布车,5立方-带导热油普通型洒布车型号：DFA5100GLQ 5m3特色：罐内少量沥青也能加温。
欣融DFA5080GLQ沥青洒布车,罐内少量沥青也能加温  加热主烟道沉到罐体底部，导热油加热管也铺设在罐体底部，加热付烟道在罐体中部，以致达到加热效果最好，只要罐体内有沥青，不论多少，都能加热。
天骏机械ZM5SP智能沥青洒布车,一．设备介绍ZM5SP全智能型沥青洒布车是一种能洒布乳化沥青、稀释沥青、煤油沥青、热沥青、重交沥青及高粘度改性沥青的智能化高科技产品，该产品已广泛应用在高速公路建设和公路养护工程中。
天骏机械JQLS0860沥青洒布车,一.设备简介JQLS0860沥青洒布车采用国四重汽豪沃车底盘，是一种专业洒布乳化沥青、稀释沥青、热沥青、重交沥青及高粘度改性沥青的智能化高科技产品。
思嘉特LQS10型沥青洒布车, “思嘉特”系列智能化沥青洒布车是思嘉特公司采用国外先进技术，自行研制开发的智能化沥青洒布车。
思嘉特LQP10型电子控制沥青洒布车, 该系列洒布车用于工程承包商和市政公路部门，因为其低廉的价格和可靠的性能在市场中大受欢迎，主要有两方面的用途：用在热铺料前的粘结层洒布和石屑洒布前的沥青洒布主要特点如下:沥青罐体不。
陕汽沥青洒布车,我公司智能型沥青洒布车作为专业洒布高粘度改性沥青、乳化沥青、稀释沥青、热沥青及重交沥青的智能化高科技产品，被广泛应用在全国各个省市的高速公路建设和公路养护工程中。
山推建友SDX智能沥青洒布车,路面施工专用车包括智能沥青洒布车、沥青碎石同步封层车、多功能稀浆封层车等专用沥青路面施工车辆，和长安大学进行技术合作，具备国内先进技术水平。
山河CRZ—8.0乳化沥青洒布车,一、主要功能特点 让您彻底免去柴油冲洗管道的麻烦！ （1）、专利机构——“自动保温装置”通过介质油自动循环，将外部沥青管线、阀门、沥青泵等部件与罐内沥青同步升温，防止了沥青凝固堵塞。
山东奥邦ZZ11644516D1沥青洒布车,国内外知名底盘，不锈钢外包装，整洁，美观 2、智能化喷头，雾化能力强，喷洒均匀，形成路面更抗压，抗水透 3、手喷洒系统灵活，方便，大大提高施工作业的机动性，沥青泵压力高，耐磨性强。
山东奥邦SX5165GLQ型8吨智能沥青洒布车,SX5165GLQ智能型沥青洒布车采用二类汽车底盘加装由我公司精心研制的沥青洒布装置而成 沥青罐体外包不锈钢，美观大方，采用硅酸铝保温材料隔热，保温性能良好。
森远AD5250GXL型橡胶沥青洒布车,橡胶沥青洒布车用于高等级公路沥青路面底层的透层油、防水层、粘结层的洒布 可洒布高温、高粘度的橡胶沥青、改性沥青、以及重交沥青、改性乳化沥青、乳化沥青等。
三秦力LS—1000沥青洒布车,本机适用于修建道路、广场和养护工程的热沥青喷洒作业，也可用来直接抽吸，输送各种低挥发性、高燃点的液体油类，具有拖式可移动的优点。
瑞德EAGER－RDA1360F沥青洒布车,RD系列沥青洒布车采用进口柴油燃烧器加热系统，具有自动点火和温度控制功能。
瑞德EAGER－RDA12C沥青洒布车,RD系列沥青洒布车是一种专业洒布乳化沥青、稀释沥青、热沥青的智能化高科技产品。
瑞德EAGER　沥青洒布车,本产品配备有沥青加热保温罐、高压沥青泵输出系统（含柴油机动力或采用主车取力装置）、离合器变速箱装、导热油循环预热清洗装置、液压提升伸缩装置、沥青洒布喷头装置等，整套设备结构紧凑，布。
美通LMT系列智能型沥青洒布车,LMT系列智能型沥青洒布车由汽车底盘、沥青罐、沥青泵及喷洒系统、导热油加热系统、液压系统、电气控制系统、自动控制系统、清洗系列等组成， 其主要配置采用目前国际上最先进的进口部件， 。
美通LMT系列普通型沥青洒布车,该系列车具有外形美观大方，沥青罐采用不锈钢外包层，洒布雾化均匀、管道畅通、清洗方便、具有保温加温功能、操作方便、设计富有人性化等特点。
美通LMT系列标准型沥青洒布车,● 国内名牌底盘，不锈钢外包层，利于客户整洁，美观(专利号：ZL02216280.1)，后喷洒系统(折叠式)● 智能化喷嘴，雾化效果好，喷洒极均匀，具有智能型沥青洒布车的洒布效果，。
美通LMT5251GLQ型橡胶型沥青洒布车,● 乳化沥青、稀释沥青、热沥青、重交沥青及高粘度的改性沥青 ● 该车采用PTO取力方式，并在控制系统中设置两种零起步喷洒工况 ● 在罐体内设计了双燃烧系统，加热速度快。
科筑智能型沥青洒布车,"彩色触屏全智能控制器，实时监测车速、沥青瘟度,沥青泵速、洒布量等 2、驾驶室内控制器全自动控制喷嘴和沥青泵，真正定量洒布 3、 车内显示系统可以显示记录洒布面积的总数及公里数等。"
骏强JQ5162GLQ沥青洒布车,采用工程机械专用发动机（玉柴）作为动力源、稳定可靠；加热系统采用进口柴油燃烧器，具有自动点火和温度控制功能；工业计算机可根据输入的工作参数和雷达测速仪反馈的数据自动控制喷洒量；施工。
嘉成JC08型全自动沥青洒布车,全自动沥青洒布车系列一台好的沥青洒布车，必须使用好的零部件才能得到保证，嘉成机械生产的沥青洒布车95%以上的主要零部件全部采用进口，产品可靠性高、故障率低。
华通动力ZJY5160GLQ沥青洒布车,ZJY5160GLQ型沥青洒布车配有智能自动化控制系统，其喷洒过程由计算机控制，洒布精度高、洒布均匀、操作简便。
恒端智能型沥青洒布车, 智能型沥青洒布车由汽车底盘、沥青罐、沥青泵及喷洒系统、导热油加热系统、液压系统、电气控制系统、自动控制系统、清洗系列等组成，设备主要性能特点为可洒布各种沥青如高粘度改性沥青、热沥。
恒端智能升级型沥青洒布车,智能型沥青洒布车由普通沥青洒布车升级改造而成，由普通沥青洒布车加装智能控制系统、导热油加热系统、液压系统、电气控制系统、自动控制系统改造升级。
恒端普通型沥青洒布车, 普通沥青洒布车用于修筑公路沥青路面底层的透层、防水层、粘结层的洒布 可洒布高粘度改性沥青、重交沥青、乳化沥青等。
杭州市政HZJ5160GLQ沥青洒布车,特点： 电脑控制，全智能； 液压传动，采用电子伺服变量泵控制，定量洒布精度高； 导热油保温；进口燃烧器，自动温控； 气动直喷嘴，喷洒均匀.。
杭州市政HZJ5110GLQ普通型沥青洒布车,普通型沥青洒布车的特点：全液压驱动，可靠，安全无噪音 2、最新扇形喷嘴，三重叠设计 3、驾驶室操作综合控制器，实时监测沥青温度、沥青泵速 4、带沥青泵转速手动调节旋钮。
杭州市政HZJ5100GLQ沥青洒布车,电脑控制，智能型；液压传动，采用比例阀控制，定量洒布精度高；进口燃烧器，自动温控；气动控制喷嘴，喷洒均匀；。
杭州市政HZJ5080GLQ沥青洒布车,特点 自动控制；液压传动，两种方式可选（采用手动比例阀控制或电子伺服变量泵控制），定量洒布精度高；进口燃烧器，自动温控；后喷管喷头改进布置，喷洒均匀；。
杭州市政HZJ5071GLQ沥青洒布车,特点 独立发动机；洒布实现分级定量；新型热交换器，自动温控；后喷管可升降、侧移、折叠，电子监控（可选），管路切换气动控制；。
杭州市政HZJ5050GLQ沥青洒布车,特点： 高精度铜喷嘴；新型热交换器，自动温控；后喷管可升降、侧移、折叠，电子监控（可选），管路切换气动控制；。
杭州市政6T智能沥青洒布车,普通型沥青洒布车的特点：全液压驱动，可靠，安全无噪音 2、最新扇形喷嘴，三重叠设计 3、驾驶室操作综合控制器，实时监测沥青温度、沥青泵速 4、带沥青泵转速手动调节旋钮。
杭州市政10T智能沥青洒布车,智能型沥青洒布车的优势：大尺寸彩色触屏全智能控制器，实时监测车速、沥青泵速、洒布量等 2、驾驶室内控制器自动控制喷嘴和沥青泵，真正定量洒布。
广通沥青洒布车,沥青洒布车是一种黑色路面施工机械，它是公路，城市道路，机场和港口码头建设的主要设备。
高远圣工HGY5255GLQ橡胶沥青洒布车, 我公司研制的橡胶沥青洒布车是一种专业洒布橡胶沥青的智能化高科技产品，属国内首创。
高远圣工HGY5255GLQ（全自动）沥青洒布车, HGY5255GLQ型沥青洒布车采用国Ⅳ排放重汽HOWO底盘，是一种专业洒布乳化沥青、稀释沥青、热沥青、重交沥青及高粘度改性沥青的智能化高科技产品。
高远圣工HGY5161GLQ（全自动）沥青洒布车,  HGY5161GLQ型沥青洒布车是一种专业洒布乳化沥青、稀释沥青、热沥青、重交沥青及高粘度改性沥青的智能化高科技产品。
高远圣工HGY5122GLQ（全自动）沥青洒布车,  HGY5122GLQ型全自动沥青洒布车是我公司根据多年来的工程施工和设备设计制造经验，结合当今公路的发展状况，研制开发的既操作简单又经济实用的沥青洒布机械系列化产品之一，它是一。
法亚OB-SEALER7000沥青洒布车,&middot;洒布宽度为自动变量，最宽可达3.8米，可用微处理器同步控制水平油缸&middot;采用变速喂料机可拆除的装卸系统&middot;自动控制洒布计量和速度&middot。
德润HTN5161GLQ  8方沥青洒布车,沥青洒布车是一种专业洒布乳化沥青、稀释沥青、热沥青、重交沥青及高粘度改性沥青的智能化高科技产品，该产品已广泛应用在告诉公路路面的上下封层、透层、防水层、粘结层、沥青表面处治、沥青贯。
达刚橡胶粉智能沥青洒布车,计算机控制，各种洒布要求均可在驾驶室内操作完成；降低了劳动强度，节约了人力成本；2、洒布宽度可自由调节，每个喷嘴均可单独控制，并能任意组合，根据实际需求随时调节洒布宽度，最大喷洒宽。
达刚DGL5162GLQ-G254型沥青灌缝洒布车,罐体分为加热罐和储存罐.灌缝时只对加热罐中的改性沥青或灌缝胶加热，进行沥青洒布时可对加热罐和储存罐中的沥青进行加热。
达刚DGL5130GLQ-084抗滑雾封层智能沥青洒布车,抗滑雾封层型智能沥青洒布车是在智能型沥青洒布车基础上研发出的新产品，用于高速公路沥青路面预防性养护，高等级公路沥青路面底层的透层、防水层、粘结层的洒布的修筑。
达刚8000L智能型沥青洒布车,计算机控制，各种洒布要求均可在驾驶室内操作完成；降低了劳动强度，节约了人力成本；2、洒布宽度可自由调节，每个喷嘴均可单独控制，并能任意组合，根据实际需求随时调节洒布宽度，最大喷洒宽。
达刚12000L智能型沥青洒布车,可进行三重叠喷洒；2、洒布宽度可自由调节；3、每个喷嘴可单独控制，并能任意组合；4、喷洒量不受车速影响；5、洒布精度高；6、导热油加热确保喷嘴喷洒通畅；7、控制系统模块化设计质量可。
郴筑CZL5253GLS智能型沥青洒布车,◆采用中国重汽ZZ1256M4646C 底盘，排放达到国Ⅲ标准 ◆计算机全过程自动控制，沥青洒布量控制精确 ◆洒布管向后收，洒布过程中遇障碍物不会损坏洒布管。
郴筑CZL5250GLS智能型沥青洒布车,CZL5250GLS智能型沥青洒布车，采用斯太尔ZZ1256M4346F（欧II型）底盘，是沥青洒布车类中高性能、高品质的产品。
郴筑CZL5243GLS智能型沥青洒布车,◆ 计算机全过程自动控制，沥青洒布量及洒布均匀度控制精确； ◆ 采用触摸屏控制，操作方便快捷； ◆ 全自动导热油适时加热，保温性能优良，平均温降≤3℃/h； ◆ 进口液压泵、液压马。
郴筑CZL5210GLQ智能型沥青洒布车,【性能特点】◆ 计算机全过程自动控制，沥青洒布量及洒布均匀度控制精确； ◆ 采用触摸屏控制，操作方便快捷； ◆ 全自动导热油适时加热，保温性能优良，平均温降&le;3℃/h； ◆ 。
郴筑CZL5203GLS智能型沥青洒布车,◆ 计算机全过程自动控制，沥青洒布量及洒布均匀度控制精确； ◆ 采用触摸屏控制，操作方便快捷； ◆ 全自动导热油适时加热，保温性能优良，平均温降≤3℃/h； ◆ 进口液压泵、液压马。
郴筑CZL5162GLS沥青洒布车,◆ 采用东风DFL1160BX4底盘，排放达到国四标准； ◆ 采用后置柴油发动机驱动沥青泵专利技术，主车行走与 沥青泵驱动相互独立（专利号为ZL200320114078.3）； ◆。
郴筑CZL5160GLS橡胶沥青洒布车,CZL5160GLS型橡胶沥青洒布车在沥青罐内加装两个强力搅拌装置，有效地解决了橡胶沥青极易沉淀、离析的问题；罐体加装两个燃烧器，能够快速加热，缩短了施工前的辅助时间，保证了洒布温。
郴筑CZL5154GLS沥青洒布车,【性能特点】 ◆ 采用东风EQ1141KJ底盘，排放达到欧Ⅲ标准； ◆ 采用后置柴油发动机驱动沥青泵专利技术，主车行走与沥青泵驱动相互独立（专利号为ZL200320114078.3。
郴筑CZL5153GLS智能型沥青洒布车,【性能特点】◆ 采用东风EQ1141KJ底盘，排放达到欧Ⅲ标准； ◆ 沥青罐采用不锈钢外壳，美观大方； ◆ 计算机全过程自动控制，沥青洒布量及洒布均匀度控制精确； ◆ 采用触摸屏控。
郴筑CZL5152GLS沥青洒布车,【性能特点】  ◆ 采用后置柴油发动机驱动沥青泵专利技术，主车行走与沥青泵驱动相互独立（专利号为ZL200320114078.3）； ◆ 配备大、小洒布量两套喷嘴，喷嘴雾化效果好、。
郴筑CZL5151GLS智能型沥青洒布车,【性能特点】◆ 沥青罐采用不锈钢外壳，美观大方； ◆ 计算机全过程自动控制，沥青洒布量及洒布均匀度控制精确； ◆ 采用触摸屏控制，操作方便快捷； ◆ 全自动导热油适时加热，保温性能。
郴筑CZL5095GLS沥青洒布车,◆采用江淮HFC1091KST载货底盘，发动机CY4102-C3D或YZ4DB1-30，功率80kW/95 kW，国Ⅲ排放标准  ◆该车具有很高有性价比，罐体有效容积为5m3。
郴筑CZL5081GLS沥青洒布车,【性能特点】 ◆ 外形美观，操作简单； ◆ 喷嘴可适时开关，洒布管收放自如； ◆ 沥青雾化效果好、洒布均匀 度量精确，喷嘴清洗方便； ◆ 适于喷洒乳化沥青； ◆ 整车性价比高。
郴筑CZL5070GLS沥青洒布车,◆ 采用东风EQ1070G35DJ3AC底盘，行车舒适，性能优良； ◆ 整车结构简单，经济实惠，是小型洒布车的首选设备； ◆ 适于黑色路面的保养和维护； ◆ 适于小面积路面的修筑和。
郴筑CZL5060GLS沥青洒布车,◆ 采用东风小霸王EQ1060TJ20D1底盘，行车舒适，性能优良； ◆ 整车结构简单，经济实惠，是小型洒布车的首选设备； ◆ 适于黑色路面的保养和维护； ◆ 适于小面积路面的修筑。
郴筑CZL5043GLS沥青洒布车,【性能特点】◆ 采用东风EQ3030T14DJ9底盘，行车舒适，性能优良； ◆ 整车结构简单，经济实惠，是小型洒布车的首选设备； ◆ 适于黑色路面的保养和维护； ◆ 适于小面积路面。
郴筑CZL5113GLS沥青洒布车,◆ 采用东风EQ1110GJ12D5底盘，排放达到国Ⅲ标准； ◆ 沥青罐采用不锈钢外壳，美观大方； ◆ 计算机全过程自动控制，沥青洒布量及洒布均匀度控制精确； ◆ 采用触摸屏控制，。
北方交通KFM5142GLQ 智能型沥青洒布车,整个施工过程可由一人在驾驶室内独立完成，效率高；2、设有监控系统，通过显示屏可随时观察整个操作过程；3、液压系统采用双联泵驱动，使各执行系统单独驱动，确保了洒布精度；4、沥青洒布宽。
北方交通KFM5141GLQ 普通型沥青洒布车,以柴油为加热燃料，安装超导管减少沥青加热时间；2、设备结构紧凑，价格低廉，功能可靠，操作方便；3、最大洒布宽度为5.5m，可手动调整洒布宽度；4、沥青泵清洗采用柴油内循环清洗方式，。
北方交通KFM5140GLQ 智能型沥青洒布车,整个施工过程可由一人在驾驶室内独立完成，效率高；2、设有监控系统，通过显示屏可随时观察整个操作过程；3、液压系统采用双联泵驱动，使各执行系统单独驱动，确保了洒布精度；4、沥青洒布宽。
北方交通KFM5063GLQ 普通型沥青洒布车,设备结构紧凑，价格低廉，功能可靠，操作方便；2、最大洒布宽度4.2m，可手动调整洒布宽度；3、以柴油为加热燃料，并安装超导管，以减少沥青加热时间；4、沥青泵清洗采用柴油内循环清洗，。
HZJ5162GLQ全智能型沥青洒布车,大尺寸彩色触屏全智能控制器，实时监测车速、沥青泵速、洒布量等 2、驾驶室内控制器自动控制喷嘴和沥青泵，真正定量洒布。
内蒙古北方重工3307B-W矿用洒水车,车型发动机总功率变速箱额定容积洒水宽度续洒里程外形尺寸3303B-WCummins M11-C300224 kW铁马8T-16022.0 m310~24 m2~4 km7500x3……
筑马ZM-3SP沥青洒布车,序号 名称 型号 备注 1 车辆型号 ZM-3SP / 2 整车尺寸（mm） 6553×2100×2450 / 3 底盘 HFC1071P92K1C2 江淮 4 发动机 CY410……
