标题,内容
上海振中ZZ5164XXYG5616C1牵引汽车,"该系列车型采用国内成熟中型车总成和零部件，匹配L2000新款驾驶室,产品具有较好的适应性、经济性及动力性,功率覆盖范围160PS—190PS 主要适用于城镇货物周转及中短途运输。"
沈阳山河QY65B牵引车,性能特点：QY65B牵引车是由山河开发部自主研制开发的集搬运、拖运、牵引为主的动力工具，具有牵引动力大，操作方便、转向灵活等特点，是矿山、车站、码头货物运输主要工具。
现代HBP15(07)牵引车,给您的工作效率带来革命性的提升用我们动力强劲且灵活的电动拖车，提高您的工作效率现代重工在工程机械领域有着丰富的经验，我们的产品完全能够满足客户的要求，40T（07）15P（07）。
徐工NXG4160D4ZA牵引车,T系列牵引车满足重负荷、多工况负载环境的使用需求，以高效率为开发导向，采用多种匹配布置方案和加大的动力传动速比区间，突出优越的性能，高效、可靠、安全、经济。
永恒力EZS 130牵引车,三相交流电技术的先驱者采用三相交流技术的永恒力电机，降低操作成本的同时更高效。
永恒力EZS 350牵引车,创新的三相交流电技术永恒力三相交流电机具有高效、经济的的特点，可减少叉车运营成本，其优点如下：高能效制动平稳，加速强劲转向迅速，无通常的迟滞现象无碳刷驱动电机免维护驱动电机2年保。
永恒力EZS 570牵引车,创新的交流电技术永恒力交流电机具有效率高，运营成本低及以下优点：能效更高强劲有力的加速表现最大速度高，即使是满载快速换向无迟滞无碳刷免维护驱动电机驱动电机两年质保舒适、安全的操作电。
詹阳动力JYL020H混合动力牵引机,无级变速，电子踏板2、四轮制动外加能量再生制动3、随车市电充装置4、充电模式安全保护。
中方机械电动牵引车座驾式,·整车特色 ·可靠性·先进性·可选配不同的控制系统·舒适性·可选配不同的品牌蓄电池和容量·安全性·可选配工作装置·环保性无污染三、叉车分类ZHQED30四、叉车简介ZHQED3。
中国重汽ZZ4181N361GD1Z集装箱半挂牵引车,该车为成熟产品，动力性优越，油耗低，性能稳定可靠，并具有多种个性化配置可选，驾驶室美观大方，安全舒适 适用于公路长途标载运输及中短途运输。
中国重汽ZZ4183M3611C牵引汽车,HOKA系列牵引车驾驶室，具有结构紧凑，线条威猛，内部空间超大，舒适宽敞，视野开阔，车门开启角度大，驾驶室翻转角度大，维护方便等优点。
中国重汽ZZ4183N3611D1N牵引汽车,该车为中国重汽成熟产品，结构稳定可靠，承载能力强，动力性优越，性能稳定可靠，可满足不同路况使用 驾驶室美观大方、安全舒适，适用于公路长途运输及高速公路运输。
中国重汽ZZ4184K3616C1牵引汽车,"该系列车型采用国内成熟中型车总成和零部件，匹配L2000新款驾驶室,产品具有较好的适应性、经济性及动力性,功率覆盖范围220PS—260PS 主要适用于城镇货物周转及中短途运输。"
中国重汽ZZ4185M3516C牵引汽车,豪瀚系列牵引车动力强劲，油耗低，性能稳定、可靠，自重轻，并具有多种个性化配置可选 “豪瀚”新款驾驶室豪华、大气、美观，安全舒适。
中国重汽ZZ4187M361GD1牵引车,该车采用MAN核心总成技术开发的全新一代高端中重卡产品，燃油经济性突出，自重轻，动力性优越，性能稳定可靠，并具有多种个性化配置可选，驾驶室美观大方，安全舒适。
中国重汽ZZ4201M25C1C1牵引汽车,金王子系列牵引车采用德国MAN技术L2000驾驶室，四点悬浮驾驶室悬置，具有结构紧凑，线条大方，舒适宽敞，视野开阔，车门开启角度大，驾驶室翻转角度大，维护方便等优点。
中国重汽ZZ4203N25C1C1牵引汽车,系列牵引车驾驶室，具有结构紧凑，线条威猛，内部空间超大，舒适宽敞，视野开阔，车门开启角度大，驾驶室翻转角度大，维护方便等优点。
中国重汽ZZ4257N3237CZ牵引车,该车为成熟产品，结构稳定可靠，承载能力强，动力性优越，性能稳定可靠，可满足不同路况使用 驾驶室美观大方、安全舒适，适用于公路长途运输及高速公路运输。
中国重汽ZZ4257N3247N1B牵引车,全新一代公路牵引车，自重轻，外观美观，内饰豪华，驾乘舒适 适用于公路长途标载运输及中短途运输 尤其适用于集装箱运输。
大运CGC4180牵引车,CGC4180主要技术参数（DYX4180PB35WPD3AA2）整备质量（kg）6608总质量（kg）18000鞍载质量（kg）10435准拖挂车总质量（kg）31835最高车……
大连叉车S0210蓄电池牵引车,叉车型号：S0210 设备代码:最大牵引力(N)：3000 拖挂高度(mm)：320570 最大行驶速度(Kmh)：13 最小转弯半径(mm)：2000 最小离地间隙(mm)……
合力QY2025系列内燃牵引车,技术参数型号QYC20JQYC20J1QYCD20JQYCD20J1QYCD25JQYCD25J1QYQ20RQYQ20R1QYQD20RQYQD20R1QY……
合力QY60系列牵引车,技术参数型号QYCD60WX最大牵引力（N）60000空载最大行驶速度 前进后退（kmh）2626爬坡度（%）30最小转弯半径（mm）4800整车质量（含油水，kg）90……
美科斯QD2QD10型蓄电池牵引车,型 号单 位QD2QD10动力形式电动电动额定牵引重量T2.310蓄电池容量AH330520最小离地间隙mm10590最小转弯半径mm13201900轴距mm9701150制动距离……
梅狮QD30电动牵引车,型号单位QD30最大牵引重量Kg3000最小离地高度mm100轴距mm1040后悬距mm360后轮距mm745最小转弯半径mm1180牵引杆中心距离地高度mm340牵杆板宽mm80……
徐工祺龙系列6×2牵引车,整车型号NXG4250D3KB驱动形式6×2性能参数最高车速(kmh)95最大爬坡度(%)20最大驻坡度(%)20最小转弯直径(m)24油箱容积(L)240最小离地距离[满载](……
大运CGC4255D4YCA(N9)牵引车,整车整备质量（kg）8500总质量（kg）25000外形尺寸（mm）6955×2496×3650最大爬坡度（%）30马力（ps）430发动机型号WP12.430E40发动机厂家潍柴……
