标题,内容
海斯特JXNT电动平衡重式叉车,J30-40XNT轮配置提供了无与伦比的机动性，使得此类叉车可以在有限的空间和拥挤的装卸地点内实现更小的转弯半径，复式方向盘可以使骑行更加流畅、更加稳定。
海斯特N 双伸位货叉前移式叉车,站驾操作，可方便地上下叉车，便于巷道内的拣货作业，可以选择不同的站立位置（前/后或侧向站立）以及不同的控制手柄配置。
海斯特REX站驾式前移叉车,交流驱动电机，提供优异的行驶性能，再生中位制动，降低能耗，降低了保养成本(无碳刷)。
海斯特R座驾式前移叉车,加固型的车体和门架结构使得我们即便是在处理较重货物时，也能够确保顺畅、稳定，较高的行驶速度和加速能力，方向切换流畅，从而缩短工作周期、加快循环速度。
杭叉A系列三支点电动平衡重式叉车,0.75-0.9t Mini迷你电叉-尺寸最小、最具效率的物流解决方案HANGCHA A系列0.75/0.9T迷你电叉，是杭叉乃至国内最小的电动平衡重式叉车。
杭叉A系列四支点电动平衡重式叉车,A系列1-3.5吨是杭叉在原有产品基础上，自主研发的全新系列蓄电池平衡重式叉车，通过全新设计是外观造型、安全性、舒适性以及可靠性得到全面改进，整车性能较原有产品有大幅度提高。
杭叉J系列四支点电动平衡重式叉车,外 形采用国际流行的大圆弧、流线型、曲面造型、外型美观、流线型更强。稳定性驱动电机纵置改为横置，蓄电池沉到车架底部，稳定性极好。
杭叉J系列三支点电动平衡重式叉车,稳定性采用后轮电机驱动，蓄电池布置于车架底部，稳定性极好。
合力1.6-2.0吨坐式前移蓄电池叉车,● 行走和起升控制系统采用MOSFET电控，压降小，效率高， 发热和功率损耗低，可靠性高；● EPS电子动力转向，为整车提供了轻便灵活高效静音的操作；● 液压转向，采用单泵分流优先。
合力1-3.5吨C/F型平衡重式蓄电池叉车,● 操作顺序保护功能；● 进口的密封元件性能更可靠；● 主回路及控制回路紧急断电功能；● 新型的液压动态负荷传感技术；● 电控自我保护功能，电磁兼容性达到国际标准；● 集成式负荷传。
合力1-3.5吨交流平衡重式蓄电池叉车,● 性能可靠的交流行走电机和交流泵电机，无碳刷、免维护；● 性能可靠的交流行走电控和交流泵电控，自保护、免维护；● 界面友好的交互式多功能液晶仪表，外观美观，显示信息量大，密码设定。
合力4-5吨交流平衡重式蓄电池叉车,"● 集成式交流电桥具有优越的加速、行驶和爬坡性能； ● 集成式负荷传感转向器与低噪音泵配合使用，整车噪音更低； ● 行驶速度选择功能； ● 标准配置直流电压变换器均衡使用蓄电池,延。"
合力G系列1.5吨交流站式前移蓄电池叉车,● 采用交流驱动电机、油泵电机及转向电机，免维护，性能可靠；● 采用进口交流电机控制器，自保护，免维护，性能可靠；● 采用交流电子转向系统，转向轻便，实时显示转向轮位置；● 采用C。
合力G系列1-2.5吨交流电动托盘搬运车,● 进口驱动单元，性能卓越，质量稳定可靠； ● 进口液压工作站，工作平稳可靠、节能、降噪； ● 进口电控，具有无级调速及完善的保护功能； ● 进口多功能组合仪表，具有电量显示、作业。
合力G系列1-2吨交流三支点蓄电池叉车,交流叉车特点：操纵性能好；行驶速度快、微动平稳、加速迅速，爬坡力强，工作效率高；2、安全性强。
虎力CPD20四支点电动叉车,"&bull;驱动系统选用德国ZF公司生产的全套配置(含电机)&bull;电控系统选用意大利ZAPI公司MOSFET,DAVL SEM48x700,HP48x350控制器&bull;。"
江淮重工CPD30H电动叉车,型号CPD30H动力形式蓄电池额定载荷kg3000载荷中心距mm500标准起升高度mm3000车体长度(无货叉）mm2515车体宽度mm1225总高mm2160。
靖江1.5-1.8吨 E系列蓄电池叉车,产品特点：■外观采用大圆弧流线造型，豪华大方，具有时代美感。■整车重心低、稳定性好、转弯半径小，■选用大功率的工作电机、牵引电机和大容量蓄电池，具有良好的机动性能，工作效率更高。
靖江2-2.5吨M系列蓄电池叉车,产品特点：■ 整车重心低、稳定性好、转弯半径小，■ 选用大功率的工作电机、牵引电机和大容量蓄电池，具有良好的机动性能，工作效率更高。
科朗RR前移式叉车,Crown-科朗的RR 5700 系列是专为满足最高期望而设计的，保证了前移式叉车的性能、可靠性和最低的拥有总成本。
科朗SC三轮平衡重式叉车,坐驾式和站驾式平衡重叉车在整体设计及性能方面的优势是十分明显的，操作员在短时间操作叉车后即可体会到其与众不同之处，特别是在高空处理货物时。
科朗TSP特窄通道三向叉车,Crown-新款VNA三向叉车提升您的期望Crown-创新的重工况型VNA叉车通过其最快的门架提升和叉车行驶速度，节能的能源再生门架下降系统和制动系统，以及可将您提升至17米高度的。
力至优FB10/15/18/20/25/30平衡重电瓶叉车,适用场合：适用于对环境要求较高，且需长距离及长时间作业的中型工况，真正解决了电瓶叉车无法在雨中作业的难题。
力至优FB35/40/45/50/60/70平衡重电瓶叉车,适用场合：适用于户外及长距离作业的重型工况，产品特点：100%原装进口叉车，拥有安全坚固的设计和稳定性，毋庸置疑地成为重型工况用户的最佳选择。
力至优FB5平衡重电瓶叉车,适用场合：同时适用于户外与室内进行长距离轻型工况的搬运与堆垛，产品特点：完美的轻型系列电瓶叉车100%原装进口。
力至优FBR9/10/13/15/18/20/25/30站驾式前移式电瓶叉车,适用场合：适用于在室内及货架之间进行需要频繁上下车堆垛的作业现场，产品特点：采用AC交流动力系统优化微动控制功能，即使在狭窄潮湿的地面也可操作自如。
力至优FBRF14/16/20座驾式前移式电瓶叉车,适用场合：适用于在狭窄空间内进行高货架堆垛作业，且操作舒适，产品特点：采用AC交流动力系统优化微动控制功能，门架最高可提升至10米，配合惊人转弯半径实现仓库内的高货位堆垛。
力至优FBRO10/13/14/15/18/20/25多向式前移式电瓶叉车,适用场合：适用于多通道，多货架，室内仓储面积狭窄的用户，进行物料搬运与堆垛作业，产品特点：采用AC交流动力系统优化微动控制功能。
力至优FBS10/15/20/25侧叉式前移式电瓶叉车,适用场合：适用于家居业、建筑、钢材业等需要进行大型或长型物料搬运的工况，产品特点：采用AC交流动力系统，侧叉式设计，使操作人员可以轻松进行超长超大物料的出入库搬运。
力至优FBT13/15/17.5平衡重电瓶叉车,适用场合：适用于作业空间相对狭小并需长距离及长时间作业的轻中型工况。
力至优NTF200P/360P四轮座驾式电动牵引车,适用场合：对重型工况的物料进行长时间的搬运，产品特点：可长时间牵引大量货物，为大吨位搬运与牵引最理想之选。
力至优NTT50/75/100三轮座驾式电动牵引车,适用场合：适用于在轻中型工况内进行运送、装配、实现高效的点对点物料搬运，产品特点：紧凑型牵引车，交流控制，转弯半径小，操作平稳简便，动力强大。
力至优NTT90三轮站驾式电动牵引车,适用场合：对各种物料进行运送、装配，实现高效的点对点运输，同时站驾式也便于上下车进行拣选。
力至优RB10/15标准型拣选电瓶叉车,适用场合：适用于仓储类进行低中位拣选作业，产品特点：可在各种工况进行繁重的拣选作业，且完全可以根据操作人员的驾驶习惯选择不同类型的驾驶室。
力至优RBC7/9/10紧凑型拣选电瓶叉车,适用场合：适用于室内进行低中位拣选作业，产品特点：可在各种工况进行室内仓储的拣选作业，且完全可以根据操作人员的驾驶习惯选择不同类型的驾驶室。
力至优RFT10/12/15标准型高架电瓶叉车,适用场合：适用于在室内仓储进行高货位的堆垛作业，产品特点：人下型次高架叉车秉承了力至优电瓶叉车的优良性能，能在极窄的通道中高效灵活作业。
力至优RFTL10/12/15次高架型高架电瓶叉车,适用场合：适用于在室内进行次高位的堆垛作业。
力至优RFTL5T/7T/10T/12T/15T次高架T型高架电瓶叉车,适用场合：适用于室内仓储进行次高位的堆垛作业，产品特点：人下型次高架叉车秉承了力至优电瓶叉车的优良性能，能在极窄的通道中高效灵活作业，拥有先进的AC马达，采用多用途操作控制杆。
力至优RFTP10/12/13高架拣选型高架电瓶叉车,适用场合：适用于仓库内进行高位堆垛＋拣选作业，产品特点：人上型的高位拣货式叉车同时具备堆垛与拣选双重功能，门架最大提升高度至10米。
利得2吨电动平衡重电动叉车,叉车简介Leede平衡重式叉车产品秉承世界最先进设计开发理论。
林德E16C/E16P/E20P电动叉车,创新的林德指尖控制手柄（LLC），控制精确、运作高效，- 独特的倾翻式驾驶室设计，方便电瓶更换和叉车保养，- 林德数字控制结合48伏双电机驱动，操作灵活性更好，加速性能更高。
林德E25S/E30S电动叉车,",-双交流电机驱动，功率分别为9千瓦，无论满载还是空载，最大行驶速度均能达到20公里/小时；林德交流数字控制器使该款叉车也具备类似林德静压传动系统的驱动特性，运行平稳，控制精确，按需。"
柳工CLG2015AS电动平衡重式叉车,"气密湿式制动： 在多种工作条件下可提供可靠的制动控制，确保其安全性及低成本运行，全液压动力转向系统： 全液压动力转向装置提供了操纵舒适的小方向盘,可以轻松完成稳定的转向。"
柳工CPD15电动平衡重式叉车,·由柳工自主研发设计制造，具有能量转换效率高、噪声小、无废气排放、控制方便等优点，特别适用于车间、仓库、食品、制药、微电子及仪器仪表等对环境条件要求较高的场合，成为室内物料装卸、堆。
龙工CDD10J仓储叉车,?低重心设计，稳定性佳；?独特的转向机构，操作更加灵活、稳定可靠；?低电压保护系统，延长电瓶的使用寿命；?采用德国进口门架和进口电机；?交流电机，无需更换碳刷，具有良好的坡道起动性。
龙工E10-15GL全电动平衡重堆高车,“一车两用”的最新设计理念。日常当成是站驾平衡重式叉车在使用，选配可折叠货叉或拆除货叉后，又可当成牵引车使用，大大方便了用户，节省了用车成本。? “双驾驶模式”的创新设计。
龙工E10-15GS全电动平衡重堆高车,全系标配电子助力转向系统，助力反应非常敏锐，方向盘操控舒适自如，大大降低了操作者的劳动强度，转向低速时轻、高速时稳，转向更加智能、操控更加精准，驾驶感受更加顺畅。
龙工FB20蓄电池叉车,整车关键部位，从电控系统、仪表等，都采用进口，重要部件经过严格可靠性试验，保证了整机性能的稳定性? 噪音低、无污染、安全性好、工作平稳? 整车结构简洁、紧凑，使得维修更为方便。
龙工LG10DR前移式叉车,操作手柄设置紧急反向开关，大大提升行驶过程中的安全性。?系统中加装安全防爆阀，可以在液压软管失效情况下使货物不会快速下落，确保操作人员人身安全。
龙工LG16B蓄电池叉车,采用进口电控系统、仪表，重要部件经过严格可靠性试验，保证了整机性能的稳定性? 宽视野的门架设计，优化了门架结构，使操作者的视野开阔? 各操作系统合理布局，充分体现人机工程原理，提高。
龙工LG18BE蓄电池叉车,先进的AC（交流）双驱动电机，能产生强大的牵引力和动力? 电机的释放制动、再生制动，使整车制动更平稳? 坡道防滑功能，在坡道可平稳自动滑行? 强劲的AC油泵电机提供更大的扭矩。
龙工LG20DR前移式叉车,整机设计以人机工程为主导思想，融合先进的设计理念和技术；具有良好的安全性、操纵性和舒适性；?流线型的外观设计，具有无污染、低噪音等特点；?采用EPS电转向系统，具有开机自动回正功。
龙工LG30B蓄电池叉车,整车采用进口电控系统、仪表，重要部件经过严格可靠性试验，保证了整机性能的稳定性? 配置先进的转弯速度减速系统，无需转弯时使用脚制动减速? 合理化车身结构，电瓶下沉设计，大大降低。
美科斯FB10/FB15/FB18型1-1.8吨电动叉车,采用意大利ZAPI电控系统，电控系统成熟可靠，电控安装采用全封闭式结构，保证电控和液压元件免受污染和水溅;2. 整车电控、仪表、安全开关等关键部件均采用进口知名品牌，重要部件。
美科斯FB13S/FB16S/FB18S/FB20S型1.3-2吨三支点电动叉车,"1. 采用意大利ZAPI(或美国DANAHER)，成熟可靠;2. AC交流无碳刷免维护电机,节省维护保养的时间和成本;3. 采用MOSFET行走起升控制器，使叉车行走起升控制精确平。"
厦工CPD25(XG525B-D1)电动叉车,· 采用双泵合一的液压系统，低噪音齿轮泵，克服了传统的电瓶叉车转向电机噪音大、电能损耗大、寿命短等问题；· 独立式液压油箱，精密回油过滤，保证液压系统清洁度· 采用萨牌ZAPI他励。
厦工XG515L-W01TB仓储叉车,⑴美国CURTIS控制系统，各种车况下充分展现灵活性能，达到最佳的能量使用效率，⑵交流驱动电机电机的高效输出，节能约30%。
厦工XG516B-A1电动叉车,●采用厦工液压节能技术，低噪音齿轮泵，克服了传统的电瓶叉车转向电机噪音大，电能损耗大，寿命短等问题；●转向轮采用行业通用的5.0-8-10Pr型承载能力强的小直径轮胎，故整机小巧。
厦工XG520B-A5电动叉车,一、真正的换代产品 先进的外观设计理念采用全新的外形设计理念，车架、配重及覆盖件通过曲面和线条有机地协调，整车外观新颖、线条流畅，造型简洁明快、灵动十足，鲜明的色彩给人以轻松、愉悦。
山河智能SWFD100内燃平衡重式叉车,· 节能环保—液化气燃料使叉车使用更清洁、无污染—强劲可靠的动力匹配，保证叉车工作更加高效—排放符合国际标准· 更科学的人机工程设计—符合现代工业产品设计现代感和流畅感的独特外观造。
山河智能SWFE10AC-4F1(四支点)蓄电池平衡重式叉车,▲ 四轮支点，灵巧机身，稳定性和机动性更好▲ 采用全新的自主研发交流驱动系统，具有强大的牵引性能▲ 能量再生系统与再生制动，有效节约能量消耗，提高工作效率▲ 采用新型交流驱动电机，。
山河智能SWFE15AC-3F2(三支点)蓄电池平衡重式叉车,▲ 新颖的外观造型，美观大方的整体式仪表▲ 三轮支点，转弯半径小，灵巧的机身能在空间较小的场地顺畅作业▲ 采用全新的自主研发交流驱动系统，具有强劲的动力性能及优越的牵引性能▲ 能量。
山河智能SWFR20前移式叉车,◆ 采用先进的全交流双电控控制系统，行驶和载荷的提升都可实现无级调速◆ 门架能够前后移动和前后倾斜，可实现全方位作业◆ 选配LED灯，节约电能，延长蓄电池工作时间◆ 特有的前后轮双。
双力CSCD25伸缩臂叉车,伸缩臂叉车st1:*{behavior:url(#ieooui) }叉车 参 数 表系列型号 主要性能参数CSCD25 额定起重量（千克Kg）2500载荷中心距（毫米mm）500最。
台励福FB15/18电动叉车,四轮电动堆高机兼具自走式堆高机快速灵活的机动特性， 而且在窄小的仓储巷道间可以回旋自如。
台励福FB15C/18C电动叉车,符合人体工学的冷峻外在， 配合研究创新的优越性能 体现稳健自若， 从容不迫的个性特征 台励福在全体员工的努力下， 不断提升研发与制造的技术层次与水准， 在国际间深获好评。
台励福FB20/30电动叉车,四轮电动堆高机兼具自走式堆高机快速灵活的机动特性， 而且在窄小的仓储巷道间可以回旋自如。
台励福FBT15/18电动叉车,三轮电动堆高机兼具自走式堆高机快速灵活的机动特性，回转半径比一般堆高机更小，在窄小的仓储巷道间可以回旋自如。
台励福FGC15~35电动叉车,符合人体工学的冷峻外在， 配合研究创新的优越性能 体现稳健自若， 从容不迫的个性特征 台励福在全体员工的努力下， 不断提升研发与制造的技术层次与水准， 在国际间深获好评。
台励福NA2.0窄道式电动叉车,台励福与英国合作研发出 NA2.0 窄道式电动叉车，这是结合坐式电动叉车与自走式仓储电动叉车之优点，而产生的革命性产品，在欧、美市场造成很大的回响。
万力1 吨电动叉车,CPD10 型蓄电池平衡重式叉车是我公司集国内外最新技术而设计制造的新系列高性能、高质量产品，除了具有同等蓄电池叉车所共有的无污染、低噪音、震动小等优点外，还具有以下特点：采用双起。
威肯1.5吨电动平衡重式叉车,采用人体工程学优化设计，国际潮流造型结构，操控轻便、舒适。采用双起升油缸，宽视野门架和全液压转向，机电全能制动系统。
西林CPD10AC/CPD10BC/CPD10BZ电动平衡重式叉车,注: ●CPDAC/CPDBC是带移动式货叉 ●PDBZ为全自由提升门架型号CPD10ACCPD10BCCPD10BZ驱动方式：电动电动电动电动额定载荷Q(kg)100010001。
西林CPD10SA-10/CPD20SA-20三支点蓄电池平衡重式叉车,注: ●变频调速，液压动力转向，驾驶轻便 ●再生制动与机械刹车的双重组合，制动可靠 ●交流电机，易于维护 ●油缸外置，宽视野门架，起升平稳，使用安全 ●低重心设计，稳定性特佳 ●组。
西林CPD15Ex/CPD20Ex电动防爆叉车,CPD15Ex和CPD20Ex系列防爆平衡重式蓄电池叉车主要适用于石油、化工、纺织、造纸、造漆、制药、军工厂、弹药仓库和危险品仓库等存在爆炸性物品的危险场所的货物装卸、搬运、堆垛作。
西林CQD10A/CQD10B/CQD10C/CQD15A电动前移式叉车,摄像头和LCD显示屏为可选装置，可以使操作者在高点操作时更加准确到位。
西林FB20A电动叉车,型号FB20A驱动方式电动（蓄电池）额定载荷Q(kg)2000载荷中心距c(mm)500自重kg3280门架/货叉-前/后倾角Grad6&deg;～12&deg;门架缩回时高度h1。
西林FB系列电动叉车,人机功能学的设计理念  司机有一个舒适的驾驶空间可调整的转向装置  操作时可以很容易调整到舒适的驾驶位置防水防振仪表 液晶数字显示，故障代码显示紧急断电装置轮胎选用 可选用不同轮胎。
小松FB15-12电瓶四轮平衡重叉车,确保高生产率的杰出性能● 双AC驱动马达双AC驱动马达使动力更强劲。不需更换马达电刷及收缩器，● 气密湿盘式制动系统与传统的鼓式制动系统不同，除换油外，无需广泛的定期保养。
永恒力DFG/TFG316/320电动叉车,人体工程学驾驶室舒适驾驶室最大限度提高驾驶员工作能力，提高工效：宽大醒目登车踏板，轻松安全上下车防震传动组建衬垫减少振动，降低噪音驾驶员座椅3重调节无极可调驾驶杆宽大舒适搁脚空间，。
永恒力ECE118平面式电动拣选叉车,永恒力交流驱动电机永恒力交流驱动电机，高生产效率，低运行成本。
永恒力ECE 310平面式电动拣选叉车,独创三相交流电技术永恒力三相交流电发动机，提高作业效率，降低作业成本。
永恒力EFG110/113/115三轮电动平衡重叉车,高生产力舒适的座舱，出色的性能及较低的寿命周期成本保证了其高效的生产力。
永恒力EFG216kn三轮电动平衡重叉车,舒适的座舱人体工学设计的驾驶空间保证了驾驶员即使是长时间作业也同样舒适安全：台阶更低，方便登入。
永恒力EFG425/425k/430/430k/S30四轮电动平衡重叉车,多种选项组合多种选项组合适应任何工况的叉车。
永恒力EFG540k/540/545k/545/550/S40/S50电动叉车,舒适的座舱人体工学设计的驾驶空间使得驾驶员即使是长时间作业也同样舒适安全：台阶更低，方便登入。
永恒力ETV114n/116n电动叉车,高性能的门架永恒力叉车所配备的门架可达到很高的提升高度，并且保证 安全可靠。
永恒力ETVC16/C20电动前移式叉车C系列,高性能门架高性能门架永恒力门架空间布局合理，适合高架作业，具有极高的安全性。
永恒力ETV/ETM318/320/325电动前移式叉车,高性能的门架永恒力叉车所配备的门架可达到很高的提升高度，空间利用率高并且安全可靠。
永恒力ETX三向堆垛叉车,80V 三相交流电技术三相交流电技术在行驶、液压和操控驱动上应用是ETX 513–515的主要特色。
远东CPDS平衡重蓄电池叉车,CPDS平衡重电瓶叉车，体积小，重量轻，操作灵活简易，不污染环境，并能适应通道狭隘，进入电梯及楼面使用。适用于各类车间、仓库、码头、商店、宾馆等货物的堆垛及搬运、装卸。
远东CXD1.0旋转门架式蓄电池叉车,CXD1.0 旋转门架式蓄电池叉车特别适用于超长物件进出小库房门的搬运作业，也可用于超长物件拆码垛、搬运、装卸卡车等作业。
中方机械1.5t电动叉车,·整车特色 ·可靠性·先进性·可选配不同的控制系统·舒适性·可选配不同的品牌蓄电池和容量·安全性·可选配工作装置·环保性主要特点清洁环保--具有现代工业产品设计感和流畅感的独特外观。
中联重科DB电动堆高车,安全高效手柄断电刹车功能可在坡上刹住车，防止自由滑行，减少事故的发生，手柄还设有紧急 反向开关，使整车操作更具安全性；五支点结构可使行驶中的车辆更具安全性；视野宽阔，操作安全。
中联重科FB蓄电池平衡重式叉车,"节能高效装有美国CURTIS品牌电控,具有无级变速功能及完善的保护功能,反应灵敏、操作自如，全交流电机无碳刷，免维护，成本低。"
中联重科FE三支点叉车,安全高效手柄及座椅符台人体工程学，操作舒适便捷；配备镀锁紧式卷收器安全带安全性更高；加宽门架视野更开阔操作更安全；流线型曲面造型，美观动感；整车采用负荷传感转向器实现单泵分流、交流。
中联重科QB电动牵引车,安全耐用 手柄断电刹车功能：在坡道上可有效防止自由滑行，减少事故的发生，安全可靠；特殊工艺的高弹性聚氨酯轮有效延长使用寿命；高容量电池：具有持久的电力和超强的牵引力；无级变速功能装。
中联重科TB电动托盘车,安全高效手柄断电刹车功能可在坡上刹住车，防止自由滑行，减少事故的发生，手柄还设有紧急反向开关使整车操作更具安全性；五支点结构可使行驶中的车辆更其安全性。
中联重科YB前移式叉车,安全高效起升高位限速功能，避免操作失误导致倾翻危险；货叉下降缓冲系统，有助于减轻碰撞更安全；转弯限速功能，可有效避免转弯过快导致侧翻及货物甩出危险；门架前移缓冲系统，可有效防止货物。
海斯特R1.4H座驾式前移叉车,14吨叉车st1:*{behavior:url(#ieooui) }叉车 参数 表系列型号 主要性能参数CPCD115CPCD120CPCD135CPCD140CPCD150额定起……
莱工NYC20（双门架）电动叉车,叉 车 参 数 表  系列型号主要性能参数CPCD50CCPCD60CCPCD70C额定起重量 （千克 Kg）500060007000载荷中心距 （毫米 mm）600最大起升高度 ……
力至优NTT50/75/100三轮座驾式电动牵引车,额定起重量（kg）1000-1500载荷中心距（mm）340/500最大起升高度（mm）1500-3000门架倾角前/后（°）6/12最小转弯半径（mm）2200主电机4500外型……
力至优RFTL5T/7T/10T/12T/15T次高架T型高架电瓶叉车,概要型号CPD10CPD15额定载荷kg1500载荷中心距mm500尺寸起升高度mm3000外形尺寸总长mm2056总宽mm1090门架不起升高mm1995安全架高度mm2162最……
台励福FB20/30电动叉车,型号3FB73FB9额定负载公斤700900负载中心毫米400400全宽A毫米900900转弯半径（外侧）B毫米15501600护顶架高C毫米19951995至货叉垂直面的长度D毫……
西林CPD10AC/CPD10BC/CPD10BZ电动平衡重式叉车,型号CPD15H动力形式蓄电池额定载荷kg1500载荷中心距mm500标准起升高度mm3000车体长度(无货叉）mm2010车体宽度mm1086总高mm2090……
远东CXD1.0旋转门架式蓄电池叉车,总长（无货叉）mm2158宽度mm1072高度mm2076轴距mm1370自由起升高度mm120自重Kg2980……
