标题,内容
阿特拉斯·科普柯DynapacPL2000铣刨机,DynapacPL2000是一款液压驱动的大型紧凑冷铣刨机，功能强大，配有四履带转向装置、前加料系统和机械式皮带驱动铣刨鼓。
阿特拉斯·科普柯DynapacPL2100S铣刨机,DynapacPL2100S是一款功能强大的液压驱动的紧凑的大型冷铣刨机，配有四履带转向装置、前卸料系统和机械式皮带驱动铣刨鼓。
阿特拉斯·科普柯DynapacPL350铣刨机,DynapacPL350是一款三轮式小型铣刨机，特别适用于局部铣刨沥青和混凝土路面及建筑物内部地面。其出色的操作性可在井盖和路缘周围实现精确铣刨。
阿特拉斯·科普柯DynapacPL500铣刨机,DynapacPL500是一款功能强大、操控灵活的小型铣刨机，配有机械驱动铣刨鼓。
峰源机械FY1A手持式单头凿毛机,FY1A手持式单头凿毛机主要适用于高速公路、铁路桥面及箱梁混凝土面层剔凿，建筑物墙体、地面，及市政工程混凝土面层剔除修补翻新加固等领域，在使用过程中不仅提高了工作效率和质量并且使。
峰源机械FY2A手持式凿毛机,FY2A手持式单双三头凿毛机主要适用于高速公路、铁路桥面及箱梁混凝土面层剔凿，建筑物墙体、地面，及市政工程混凝土面层剔除修补翻新加固等领域，在使用过程中不仅提高了工作效率和质。
峰源机械FY300混凝土路面铣刨机,FY300铣刨机可选电动、本田（进口）汽油机两种动力，机型适中，可广泛适用于路面、桥梁、大面积混凝土地面的铣刨。动力大，操作灵活，用途广泛。
峰源机械FY3A手持式三头混凝土凿毛机,FY3A手持式三头凿毛机主要适用于高速公路、铁路桥面及箱梁混凝土面层剔凿，建筑物墙体、地面，及市政工程混凝土面层剔除修补翻新加固等领域，在使用过程中不仅提高了工作效率和质量并且使。
峰源机械FY400高强度混凝土路面铣刨机,FY400高强度混凝土路面铣刨机，分别采用电动、柴油机动力，采用进口轴承（轴承决定寿命）+硬质钨钢合金铣刀。自动散热系统，可使机器长时间持续作业，工作时间不间断。
峰源机械FY400进口型铣刨机,FY400进口型铣刨机采用原装进口配置，全液压无级变速驱动，工作深浅调节灵活自如，操作稳定灵活。此铣刨机主要用于桥面、厂房、广场、港口、机场、高铁和市政养护等路面的铣刨工作。
峰源机械FYZ300重型铣刨机,FYZ300重型铣刨机广泛应用于各种高强度混凝土沥青等超高部分的去除而量身打造，该机器动力足自动行走，铣刨深度和宽度适中，机身稳，铣面均匀。
宏大HD1000M铣刨机,HD1000M型路面铣刨机，是适用城市道路养护和高等级公路小规模养护作业的专用养护设备；该机为四轮驱动式行走系统，具有良好的机动性和通过性产品特点动力系统采用结构紧凑的整体式动力。
华通动力HM2100A路面铣刨机,HM2100A型路面铣刨机是一种大型高效的路面机械化养护设备。
华通动力HM500铣刨机,HM500型路面铣刨机是一种小型的道路机械化养护设备。
万里JX窨井铣刨机,JX窨井铣刨机是新式的专用道路养护施工机械，可以高效、低噪、节能的修复道路井口坍塌或臃起的缺陷。窨井和周边的井圈经常发生破碎和沉陷。
恒升LX1000A铣刨机,LX1000沥青路面冷铣刨机是集除尘、转子快速更换、电开关自动找平、分动变速箱、遥控操作等多项技术为一体的沥青路面养护设备，其主要零部件（发动机、液压泵、马达、驱动桥、控制手柄及液。
华通动力LXH1300D(电控)型沥青路面铣刨机,LXH1300D（电控）型沥青路面铣刨机主要性能特点：强劲可靠的动力上海柴油机股份有限公司生产的水冷增压发动机，功率大，启动性能好，性能稳定可靠，为工况恶劣的铣刨作业提供了充足。
路德克RX冷铣刨机,Roadtec（路得克）公司生产的铣刨机可铣刨从用户所需尺寸到整车道的任意宽度。主要优势及特点：·冷铣刨机具有最佳的功率分配及灵活性，配备双向操作，使其可在反向行走时铣刨。
陕建机SCM1001J路面铣刨机,SCM1001J路面铣刨机是陕西建设机械股份有限公司在大型路面铣刨机制造技术具有丰富经验并且在国内具有领先地位同时借鉴国外最先进的铣刨机技术，研发出的新一代1米铣刨机。
厦工XG121004G铣刨机,XG121004G型自行式滚切路面铣刨机是在充分消化吸收国外先进技术基础上，对国内同类产品进行了认真研究，广泛听取了国内铣刨机用户的意见，经过精心设计、具有国内先进水平的路面铣刨机。
徐工XM101E路面铣刨机,XM101E路面冷铣刨机采用前桥驱动、机械驱动铣刨鼓的结构形式，具有结构简单、驱动能力强、铣刨效率高、价廉物美等显著特点。
徐工XM35K路面铣刨机,XM35K铣刨机采用三轮全驱、前轮转向、液压驱动铣刨鼓的结构形式，具有结构简单、机动灵活、铣刨效率高、多功能、性价比高等显著特点。
徐工XM50K路面铣刨机,"XM50K路面冷铣刨机采用三轮全驱，液压机械驱动铣刨鼓，可选配废料回收装置,具有操作简单、机动灵活、驱动能力强、施工效率高、多功能、价廉物美等显著特点。"
徐工XM130K路面铣刨机,XM系列路面铣刨机是沥青混凝土路面养护施工的主要设备之一，主要用于公路、城镇道路、机场、货场等沥青混凝土面层的开挖翻新，也可以用于清除路面拥包、油浪、网纹、车辙等缺陷，还可用来开挖。
中交西筑RX2000铣刨机,XRMC·ROADTECROADTEC作为美国ASTECindustries旗下一家移动式沥青设备生产商，公司生产和销售全规格的铣刨机和再生机，转料车和沥青摊铺机。
佰锐泰克BMP335路面、层间铣刨机,佰锐泰克的BMP335是采用液压驱动的路面、层间铣刨机，可以装配各种功能刀片的刀鼓沿基面平行方向高速旋转，刀片不断敲击基面而工作。刀片可以选配TCT刀片、刮削刀片等。
宝马格BM200060铣刨机,"宝马格全新2米铣刨机,灵活高效,动力强劲.满足高速公路,市政道路养护工作要求。"
北方交通KFX1200铣刨机,本机行走部分为4×2液压独立驱动形式，是我公司专利技术；2、动力匹配得当，与机械桥式铣刨机相比，效率更高且使用成本较低；3、在铣刨中路面产生错台时，仍能保证正常铣刨，而机械桥式铣刨。
卡特彼勒PM102履带式铣刨机,采用ACERT技术的CatC7发动机Cat柴油发动机该发动机通过将行业领先的电子功能、性能和可靠性与最佳的燃油经济性相结合，从而创造卓越价值。
卡特彼勒PM2002.0M冷铣刨机,采用ACERT?技术的C18发动机最佳功率C18发动机在1900rpm时运行的全额总功率（SAEJ1995）为429kW（575hp）。
北方交通KFX2000E铣刨机,采用欧Ⅲ电喷发动机，完全符合国际环保标准，并配备故障自修复系统；2、设备配有国外进口原装自动找平系统，充分保证铣刨平整度；3、履带驱动形式，发动机功率强劲，牵引力大，且符合欧Ⅲ排放。
北方交通KFX1000铣刨机,采用四轮驱动，发动机功率强劲，牵引力大；2、行走系统配有液压差速锁，保证直行不打滑，适应各种艰难路况；3、有可靠的行车制动和驻车制动功能，保证坡上行驶、驻车安全；4、水箱容积大，能。
天骏机械200型电动铣刨机,参数名称参数数据净重(kg)132单次铣刨深度（mm）35工作效率（㎡h）100深度控制可调节铣刨宽度(mm)200最大输出功率（kW）8。
天骏机械300型电动铣刨机,参数名称参数数据净重(kg)300单次铣刨深度（mm）10工作效率（㎡h）160深度控制可调节铣刨宽度(mm)300最大输出功率（kW）18。
思拓瑞克STSM250E铣刨机,产品简介：混凝土铣刨机：去除混凝土、沥青道路、环氧树脂、耐磨地面的高出部位或对地面进行深度铣刨，轻度拉毛，去除地面涂层、油漆、各种道路标线地面受损、积污需要翻新时，去除旧地坪表。
信德XD250电机铣刨机,产品特点：该机适用于桥面铺设沥青或混凝土地面上，重新排铺混凝土前，清除水泥浮浆或者铣平拉毛，也可用于清除公路的标志线，建筑施工遗留的灰渣。
圣岳SDZXB250铣刨机,产品详情用于桥面铺设沥青或车间旧的混凝土地面重新摊铺混凝土之前，清除水泥浮浆以及铲平拉毛，也用于清除建筑施工中遗留的坚硬灰渣。
维特根W100F冷铣刨机,大面积路面维修或全深度沥青路面铣刨的、强劲铣刨机。铣刨材料通过两级前输料皮带输送。液压摆动式右后轮为标准配置。该机可以装备成轮式或履带式。
北方交通1000QDB铣刨机,动力匹配得当，与机械桥式铣刨机相比效率更高，且使用成本较低；2、本机行走部分为4×2液压独立驱动形式，是我公司专利技术；3、废料前输送，驾驶员在操作设备的同时，仍可观察运料车，人性。
酒井ER551铣刨机,动力强劲的作业·动力强大的发动机544匹马力的发动机提供强劲的力量。因此，工作的时间和费用能大大降低。·最大切割深度可达到230mmER551F在单槽工作时深度可以达到230mm。
峰源机械FY300路面铣刨机,对高速铁路的梁面找平施工、桥梁防水层的基面清理。对混凝土、沥青道路、环氧树脂、耐磨地面进行轻度拉毛。去除地面涂层、油漆、各种道路标线。地面受损、积污需要翻新时，去除旧地坪表面。
峰源机械FY280E电动铣刨机,对高速铁路的桥梁防水层的基面清理、高铁梁面找平施工；对混凝土、沥青道路、环氧树脂、耐磨地面进行轻度拉毛；去除地面涂层、油漆、各种道路标线；地面受损、积污需要翻新时，去除旧地坪表面；。
筑邦ZM50铣刨机,多功能半米铣刨机ZM50为湖南筑邦建设机械有限公司2012专利产品，融合多项专利技术与人机工程学，工业美学于一身。
山联重科SLXBAB铣刨机,该机适用于桥面铺设沥青或混凝土地面上，重新排铺混凝土前，清除水泥浮浆或者铣平拉毛，也可用于清除公路的标志线，建筑施工遗留的灰渣。
信德XD300型小型铣刨机,概述：用于桥面铺设沥青或者旧的混凝土地面上重新摊铺混凝土之前，清除水泥浮浆或者铣平拉毛，也可用于清除建筑施工中遗留的坚硬灰渣。
三一重工SCM2003铣刨机,高效率采用机械式皮带传动，施工效率是采用液压传动的1.3倍以上，是链条传动的2倍左右；四轮全液压驱动技术，理论爬坡能力达75%，最大牵引力达9吨；具有液压差速锁，有效抑制滑转。
宝马格BM120030铣刨机,工作重量:19500kg铣刨宽度:1200mm铣刨深度:0320mm发动机功率:205kW。
宝马格BM130030铣刨机,工作重量:19650kg铣刨宽度:1300mm铣刨深度:0320mm。
宝马格BM50015铣刨机,工作重量:7600kg工作宽度:500mm铣刨深度:0210mm发动机功率:92kW。
华通动力HM1000铣刨机,华通动力重工HM1000在借鉴国内外先进设计理念和技术的基础上自主研发的路面铣刨机产品，产品重点在提高产品的工作效率、提高产品的可靠性、安全性以及智能化等方面进行了全新设计，整机采。
维特根W50H冷铣刨机,"机器亮点1,LEVELPRO高精度自动找平系统2,优异的操作视线设计3,操作简单轻松4,最佳的机动性5,强大的牵引力和完美的地形适应能力6,新型铣刨转子总成，确保最。"
维特根W35DC铣刨机,"机器亮点1,多种用途下的理想机型2,小机型大产量3,顶级的铣刨性能4,结构分明的转子5,收料皮带特别有用的选择件6,轻松的操纵，提高了产量7,承载力受到限制。"
维特根W130H铣刨机,"机器亮点1,极具竞争力的价格、无人匹敌的维特根品质2,简单的操纵理念3,LEVELPRO:成熟的高精度找平系统4,机动性更高、转弯半径更小5,根据需要选择不同的铣刨宽。"
维特根W1900冷铣刨机,"机器亮点1,经济效率的保证多用途W19002,巨大的产量,是其当然标志3,易于操纵,产量高4,LEVELPRO自动找平系统,满足所有需要5,通用铣刨转子总成,。"
维特根W2000冷铣刨机,"机器亮点1,始终位于高端高性能的W2000冷铣刨机2,具有高性能储备的紧凑型2m档铣刨机3,控制铣刨过程，不费吹灰之力4,LEVELPRO自动找平系统,确保了。"
三一重工SCM6003铣刨机,可靠输料皮带加宽至850mm，输料能力提高25%；动力系统采用双向隔振技术，振动水平降低50%，元件可靠性和操作舒适性大大提升；采用世界一流的传动皮带，强力层采用防弹衣材料，耐高。
三一重工SCM5003铣刨机,可靠关键部位采用高强钢板或耐磨钢板，极大提升整机寿命；采用世界一流的传动皮带，强力层采用防弹衣材料，耐高温，耐冲击；动力系统采用双向隔振技术，振动水平降低50%，元器件可靠性和操作。
三一重工SCM6003B铣刨机,可靠输料皮带加宽至850mm，输料能力提高25%，避免输料不及时导致皮带磨损；动力系统采用双向隔振技术，振动水平降低50%，元件可靠性和操作舒适性大大提升；采用世界一流的传动皮带，。
中交西筑LXD120沥青路面铣刨机,沥青路面铣刨机系列LXD120概述LXD120沥青路面铣刨机是我公司在吸收国内外同类产品先进技术的基础上，自行设计开发的高等级公路养护设备，具有完全自主知识产权。
鼎盛天工LXL1000LXL1000A路面铣刨机,配有132KW东风康明斯水冷发动机，动力强劲。前桥驱动选用两套马达+减速机驱动，铰接摆动式安装，后轮为独立悬挂支撑轮，液压油缸控制升降。右后轮可摆至铣刨鼓前方，以便铣刨道路边缘。
福瑞得FYCB250铣刨机,品牌：福瑞得型号：FYCB250路面机械类型：铣刨机发动机型号：本田额定功率：7.5（kw）辊轴直径：200（mm）额定转速：2.0（rpm）摊铺厚度：10（mm）摊铺宽度：25。
峰源机械手持式凿毛机,桥面表面防水处理凿毛。2、高速铁路箱梁（预制梁）的梁面防水处理凿毛。3、桥侧、桥端面、梁侧、梁端面的混凝土凿毛。4、去除地面涂层、油漆、各种交通标线。
陕建机CM1000路面铣刨机,陕西建设机械股份有限公司生产的CM1000型路面铣刨机，主要是为城市道路的沥青混凝土或水泥混凝土路面的养护作业工程而开发的高效专用机械设备；主要用于清除面层的龟裂、车辙和痈包等病害。
中联重科BG2000G路面冷铣刨机,特殊技术优势1.全新升级换代，整机性能更优异，铣刨效率更高，维护操作更简便;2.国际顶尖品牌卡特彼勒原装进口发动机，动力强劲、欧Ⅲ排放标准、节能环保;3.新型铣刨系统，集、排料能力。
北方交通KFX2000铣刨机,为四轮驱动方式，发动机功率强劲，牵引力大；2、行走系统配有液压差速锁，保证直行不打滑，适应各种艰难路况；3、有可靠的行车制动和驻车制动功能，保证坡上行驶、驻车安全；4、具有强劲的驱。
宏大HD1000型铣刨机,铣刨宽度mm1100铣刨深度mm0～150铣刨转子刀具数量把96铣刨转子直径（含刀具）mm750铣刨转子驱动方式全液压机架升降方式4立柱全液压升降发动机制造商二汽CU。
宝马格BM100030铣刨机,"铣刨宽度:1m铣刨深度:0320mm重量:19,200kg发动机功率:205kW。"
宏大HD2000super型铣刨机,项目HD2000Super型路面铣刨机铣刨宽度mm2000铣刨深度mm0～320铣刨转子刀间距mm15铣刨转子刀具数量把169铣刨转子直径（含刀具）。
北京加隆CLX1000型铣刨机,项目单位参数项目单位参数铣刨宽度mm1000爬坡能力%&gt;=12铣刨深度mm0150最小转度半径m&gt;=11刀头数量件87离地间隙mm135发动机额定功率kw132工作重。
筑邦ZP300D铣刨机,小型铣刨机ZP300D的优势：在施工现场电源不便的情况下，内燃（汽油）式铣刨机的优势非常明显，该款机型配备本田13马力汽油机，高密度120片刀片，另加25KG配重块，便于转向的3。
卡特彼勒PM102铣刨机,新型PM102集高产能、最佳作业性能及简便的维修于一体，即便在恶劣的铣刨工况下，仍然游刃有余。
鼎盛天工LXL1200F路面铣刨机,行走系统采用四轮全液压驱动，驱动力大。具有行走和铣刨两档速度，无级变速，根据铣刨压力调整行驶速度，充分利用发动机功率，提高工作效率。液压转向，转向灵活，转弯半径小。
天顺长城SM2000铣刨机,型号SM2000最大铣刨宽度2000mm铣刨深度0320mm发动机功率421kw565HP573PS冷却方式水冷燃油箱容积1310L发动机转速2100rmin工作速度0。
维特根W100CF冷铣刨机,"型号：W100CF型铣刨机发动机康明斯QSL9额定功率2,100min1248kW333HP337PS铣刨宽度1,000mm铣刨深度0330mm燃油箱。"
山联重科SLXB30铣刨机,型号SLXB300SLXB300E铣刨宽度（mm）295295铣鼓总成可换可换可选动力KOHLERCH64073020HP11KW铣刨深度(mm)1010铣削方式上切式上切式重量。
沃特VTSM220铣刨机,型号VTSM220铣刨宽度（mm）220220铣刨深度（mm）0505配套动力（kwhp）7.5.513.0HONDA13.0HONDA刀轴数量（支）66刀片数量（。
钢利科技G500型铣刨机,性能特点1路沿平铺石铺前切边铣刨作业2水泥桥面拉毛铣边作业3沥青路面挖补铣边作业4不同宽度的铣刨鼓随地任意更换。5跟随大型铣刨机铣刨边角轻松自如。6高速公路拦水铣刨效率超高。
筑邦ZP300H铣刨机,液压行走铣刨机ZP300H与手推式小型铣刨机不同，这是一款大功率的，能解决铣刨深度问题的小型铣刨机。
隆瑞机械RXB25铣刨机,一、概述：用于桥面铺设沥青或车间旧的混凝土地面重新摊铺混凝土之前，清楚水泥浮浆一级铲平拉毛，也用于清楚建筑施工中遗留的坚硬灰渣。
恒升LXH1000C铣刨机,一、主要技术参数序号项目性能参数1铣刨宽度mm10002铣刨深度mm0~1803铣刨工作速度mmin0~204运输行使速度kmh0~125最大爬坡度%206最小转弯半径mm60。
思拓瑞克STSM200铣刨机,应用范围：小型铣刨机是一款轻型地面施工机械，它是为弥补大型路面铣刨机之不足而产生的，主要适用于水泥、沥青表面小平面地坪拉毛、找平、清除表面覆盖物等，是一种高效率、低损坏的优秀机械。
恒泰HTCB200GHTCB200EHTCB260G铣刨机,用于桥面铺设沥青或混凝土地面，重新摊铺泥凝土之前铣平拉毛及清除水泥漂浆，也可用于清除建筑工地中遗留的坚硬灰渣，清除公路标线等。※工作效率高，操作平稳可靠。
徐工XM200Ⅱ路面铣刨机,整体结构。XM200路面铣刨机主要由机械驱动的铣削转子和两组皮带输送机组合而成。2、底盘。抗扭力强的底盘，全部由高强度型材、钢板制成，可在各种负载和地形条件下抵御变形。
卡特彼勒PM200铣刨机,重量单位:水箱为满时的工作重量30100.0kg水箱加满时前履带上的工作重量15600.0kg水箱加满时后履带上的工作重量14500.0kg水箱为空时的装运重量28000.。
山河智能SWM101铣刨机,主要参数整机尺寸4600x2190x3400(mm)整机重量14T最大卸料高度3200mm铣刨宽度1000mm最大铣刨深度150mm铣刨刀头数84把输送带宽度400mm发。
凯雷K1000F自行式滚切路面铣刨机,主要结构特点&lt;1&gt;总体结构K1000F型自行式滚切路面铣刨机采用整体焊接车架；机械驱动铣削转子；机械液压混合驱动行走系统；前桥为驱动转向桥，后轮随动，后轮安装在可上下。
北京加隆CLX1000型路面铣刨机,主要特点：CLX1000型路面铣刨机主要适用于公路、城市道路、机场、停车场、大型货场等沥青混凝土面层的铣刨破碎和清除；路面痈包、油浪、车辙、坑槽等的铣平修整；开挖路面沟槽以及对摩。
维特根W100铣刨机,装备6缸柴油发动机型号为道依茨BF6M2012C2300min1时额定功率:147kW197HP排放标准:EPACARBTIER2EU9768EG。
