标题,内容
山河智能SWFD35内燃平衡重式叉车,·更科学的人机工程设计—符合现代工业产品设计现代感和流畅感的独特外观造型—二级悬浮式车体设计使叉车减震性更好—仪表操纵台装饰设计使叉车更加整洁，尽显高贵豪华之气—集成电器中央控制 。
山河智能SWFD80内燃平衡重式叉车,·节能环保—液化气燃料使叉车使用更清洁、无污染—强劲可靠的动力匹配，保证叉车工作更加高效—排放符合国际标准·更科学的人机工程设计—符合现代工业产品设计现代感和流畅感的独特外观造 。
柳工CLG2160H内燃平衡重式叉车,·CUMMINS公司QSB6.7发动机，高性能、低油耗，低速大扭矩，储备功率大 。
柳工CPCD35内燃平衡重式叉车,·圆弧流线形车身，美观大方，视野开阔，重心低，安全性和可靠性高 。
鲁能YN625越野内燃叉车,★采用一拖东方红柴油机，动力强劲。单级三元件变矩器，动力换挡变速箱，结构简单，可靠性高。★单泵分流工作液压系统，节能效果显著。★双密封液压管路接头，解决了渗油漏油问题 。
华南重工HNF160S石材专用叉车,1.采用动力强劲的柴油发动机，工作可靠，经济性好。2.液力传动，行星式轮边减速器、无级变速，操作简单。3.采用进口重卡式高放大比制动系统确保重载制动，制动可靠 。
华南重工HNF150S石材专用叉车,1.采用动力强劲的柴油发动机，工作可靠，经济性好。2.液力传动，行星式轮边减速器、无级变速，操作简单。3.全液压转向系统，实现转向轻便，纯滚动转向，轮胎磨损小 。
美科斯FD10T/FD15T/FD18T型1-1.8吨柴油(汽油)内燃叉车,1.进口国产多款发动机可选，动力强劲、经济性好;2.简洁整齐的管路设计，软、硬管合理布局，减小了管路的压力;3.整车采用先进的人机工程技术的设计，发动机全浮式减震装置，转向桥 。
合力H2000系列小轴距1.5-3吨平衡重式内燃叉车,1.精确的设计定位专为高密度仓储而设计，是中国唯一的小轴距叉车 。
华南重工HNF350C集装箱重箱叉车,1.宽档货架叉车，液压货叉调节装置，易于操作。2.驾驶室宽敞明亮，视野好并带有安全天窗设计，舒适度高。3.集装箱专用货叉，坚实耐用 。
华南重工HNF350M集装箱重箱叉车,"1.离地间隙大，四轮驱动,提高了整机的越野性和通过性。2.驱动轮采用多功能胎，宽基、越野花纹，越野性能和机动性能较好 。"
龙工LG25DIII内燃叉车,1.流畅新颖的造型，具有汽车设计元素配重，个性坚韧、动感十足2.合理的油路布局和管路设计，降低了油压损耗，防止油温过高3.高强度整体式发动机机罩和一体冲压成型的安全架在操作中 。
美科斯FD230T/FD250T/FD280T/FD300T/FD320T型23-32吨柴油内燃叉车,1.配备全电控高压共轨燃油系统且符合欧Ⅲ排放标准的Cummins柴油发动机;2.配备多种控制程序的电控单元及故障诊断仪的ZF液力变速箱;3.配备多片全封闭的湿式制动器的驱动桥 。
龙工LG85DT内燃叉车,1.散热散热系统合理优化，冷却性能大幅提升，从而提高变速箱 。
龙工LG70DT内燃叉车,1.整车外形沿用龙工叉车统一的脸谱造型，外观新颖、整车线型简洁流畅、赏心悦目；2.采用国际领先人机工程和CAE技术，加大了操作空间，驾驶员更加舒适，有效提高作业效率和安全；3. 。
西林FD25A/FD30A/FD35A电动叉车,"1.2型号FD25AFD30AFD35A1.3驱动方式：电动（蓄电池）,柴油,汽油,燃气柴油柴油柴油1.4驾驶方式（手动,步行,站驾,坐驾,拣选）坐驾坐驾坐驾1.5额定载荷Q(k 。"
西林FG/FGY系列双燃料叉车,"1.2型号FG20A/FGY20AFG25A/FGY25AFG30A/FGY30AFG35A/FGY35A1.3驱动方式：电动（蓄电池）,柴油,汽油,燃气汽油/液化石油气汽油/液化 。"
合力H2000系列5-10吨平衡重式内燃叉车,1.环保动力整机配备的国产环保型发动机均符合GB20891-2007《非道路移动机械用柴油机排放限制及测量方法（中国Ⅰ、Ⅱ阶段）》标准的排放限制要求，可选配符合欧美现阶段排放法规 。
龙工FD30III内燃叉车,1.油门操纵结构优化，灵活轻便，操纵反馈及时，减少操纵疲劳。2.取消原滚轮设计，避免踏板及滚轮磨损，提高耐久性；新踏板强度更高，转动顺畅、灵活，可靠 。
诺力CPCD50-70内燃叉车,1KG=2.2LB1INCH=25.4MM概要型号unitCPCD50CPCD60CPCD60ACPCD70CPCD70A动力类型柴油额定负载Qkg/lb5000/11000 。
丰田7FDA50内燃平衡重式叉车,7FDA50型号7FDA50发动机型号14Z-II柴油额定负载公斤5000负载中心毫米600全宽A毫米1450转弯半径（外侧）B毫米2800护顶架高C毫米2235至货叉垂直面的长度 。
威肯3吨机械液力内燃平衡重式叉车,CPC30F系列内燃叉车选用国外知名品牌柴油机作为强大动力保证。变速传动系统采用高可靠机械变速或液力变速系统。外型结构采用箱体式车架结构，采用新型宽野门架，液压助力转向轻便灵活 。
威盛CPCD120B-J叉车,CPCD120B-J内燃平衡重式叉车采用大功率柴油机，具有良好的性能；变矩器，动力换挡变速箱，驱动桥，手制动系统采用专业厂家成熟产品；行车制动系统主要部件与东风EQ140通用，牵引 。
威盛CPCD120B叉车,CPCD120B内燃平衡重式叉车采用大功率柴油机，具有良好的性能；变矩器，动力换挡变速箱，驱动桥，手制动系统采用专业厂家成熟产品；行车制动系统主要部件与东风EQ140通用，牵引性能 。
威盛CPCD150叉车,CPCD150内燃平衡重式叉车采用大功率柴油机，具有良好的性能；液力传动，驱动桥，行星轮边减速器，手脚制动等与ZL40，ZL50轮式装载机通用，具有优良的牵引性能和配套性能，石线 。
威盛CPCD200叉车,CPCD200内燃平衡重式叉车，采用大功率柴油机，具有良好的动力性能，液力传动，驱动桥，行星轮边减速器，手、脚制动等ZL40、Zl50轮式装载机通用，具有优良的牵引性能和配套性能， 。
威盛CPCD70BT叉车,CPCD70BT型叉车采用直喷式柴油发动机，工作可靠，经济性好；液力传动，行星式轮边减速器、无级变速，操作简单；全液压转向系统和横置油缸转向桥，实现转向轻便，纯滚动转向，轮胎磨损小 。
摩纳凯FD20/FD20T内燃平衡重式叉车,FD20/FD20T主要技术参数特性型号FD20/FD20T额定载荷Kg2000载重中心距mm500动力形式柴油操作形式座式性能行驶速度km/h(满载/空载)液力17/ 。
福大FDM8350平衡重式叉车,FDM8350性能参数及外形尺寸全长无货叉6800mm门架倾角（前/后）12/10°有货叉8800mm整机重量40000kg全宽车轮宽3065mm无载最大起升速度300mm/s车 。
福大FDM8120平衡重式叉车,FDM8120技术性能参数概要制造福建福大机械有限公司型号FDM8120动力形式柴油额定载荷Kg12000载荷中心距mm700尺寸起升高度mm3000自由提升高度mm90货叉尺寸m 。
福大FDM8300A平衡重式叉车,FDM8300A性能参数及外形尺寸最大举升高度3000mm举升速度（满载）270mm/s额定起重量30000kg前悬距1020mm自重30000kg货叉尺寸1800*320*110 。
诺力CPC15/20内燃叉车,FD系列内燃叉车特点该系列内燃叉车秉承&ldquo;诺力&rdquo;产品一贯的&ldquo;以人为本&rdquo;的设计理念，融合国内外先进技术，精心设计制造 。
利得4吨内燃平衡重叉车,Leede平衡重式叉车系列产品秉承世界最先进设计开发理论 。
海斯特H135-155XL2内燃叉车,MONOTROLTM单一踏板控制前进、后退、加速，提高工作效率；发动机油耗低，输出动力和扭力大。排放干净，无污染;双速动力换档变速箱，前进－后退换向平稳，可控性好，寸动可靠性高 。
海斯特H1.5-3.5TX内燃叉车,MONOTROLTM单一踏板控制前进、后退、加速，提高工作效率约30%；发动机尾气排放达到Tier2（欧2号）标准；采用全隔离式动力链设计，将发动机和传动系统与车架、驱动轴完全隔离 。
鲁能LN615叉车,YN615越野叉车★四轮驱动，牵引力大，越野性能强；★全液压传动技术，结构简单，性能可靠；★单泵分流工作液压系统，节能效果显著；★双密封液压管路接头；解决了渗漏油问题；★ 。
中联重科FD20/25/30/35内燃平衡重式叉车,安全环保采用LED灯具，较传统车灯具有光效率高、环保无污染、节能、使用寿命长、低热、抗震、色纯度高等优点；门架采用独立的主侧滚轮导向结构设计，使门架起升过程中的可靠性和稳定性大幅度 。
台励福FDL/FD40~50内燃叉车,本系列5-10吨柴油液力叉车，是引进国外先进技术生产的最新型叉车系列，采用宽视野门架、全液压转向、液力传动及新型L系列组合仪表盘，整车重心低、操作自如轻便灵活、安全可靠、外形美观大 。
厦工XG5160-DT1内燃平衡重式叉车,标准配备上柴SC8D170柴油机，具有功率大，扭矩大、工作可靠、耗油低等显著特点●转向采用横置油缸式转向桥，全液压转向、具有转向灵活轻便，可靠性强等特点●双变（变速箱和变矩器）采用 。
合力H2000系列小8吨石材专用车,采用高进气方式，有效降低发动机进气阻力和灰尘进入，使发动机能在最佳状态下长期工作；2、车身、平衡重变窄，整车通过性好；3、提高门架的强度和刚度，增强了抗冲击能力；4、动力制动 。
合力αⅡ系列4-5吨平衡重式内燃叉车,采用机械传动，选配合力带泵同步器变速箱，性能先进，传动效率高。2、制动系统采用真空助力制动，操作轻便省力，制动可靠。3、专门设计的加强型门架强度高，司机视野开阔 。
大连叉车CPCD10柴油液力传动叉车,叉车型号：CPCD10设备代码:C-BBC-CBCD-ABCD-CBCD-EBCD-FB额定起重量(Kg)：1000最大起升高度(mm)：3000载荷中心距(mm)：5 。
大连叉车15吨轻型内燃平衡重叉车,叉车型号：CPCD150设备代码:CD-QBCD-QFB额定起重量(Kg)：15000最大起升高度(mm)：4000载荷中心距(mm)：600最大起升速度(满载)(mm/ 。
大连叉车CPCD50内燃平衡重叉车,叉车型号：CPCD50设备代码:CD-AA额定起重量(Kg)：5000最大起升高度(mm)：3000载荷中心距(mm)：600最大起升速度(满载)(mm/s)：满载：530 。
山推SF30叉车,产品特点：●工作装置滚轮式，“J”形内门架，“C”形外门架带自由提升、二级伸缩式门架，具有卓越的提升性能。●采用液力传动，前桥驱动，后桥转向，使该机具有优异的行驶、牵引性能 。
山推SF50叉车,产品特点：●引进国际先进技术，性能优越，质量可靠。●采用流线型曲面造型设计，整机美观大方。●智能化电子监控组合仪表，高可靠性，高准确度 。
靖江5-7吨E系列内燃叉车,"产品特点：■采用人机工程学设计,外观简洁、明快、大方。■大功率动力，低温启动性能卓越，噪音、震动，整机性能可靠、环保。■选用了新型液压动力转向，操纵更灵活 。"
靖江2-5吨E系列内燃叉车,"产品特点：■采用人机工程学设计,外观造型简洁、明快、大方。■大功率动力，低温启动性能卓越，低噪音、震动少，整机性能可靠、环保 。"
台励福FD/FG40~50内燃叉车,车架结构经世界顶尖实验室的ANSYS结构有限元素分析，及欧美同步的护顶设计，完全符合国际标准，美国ANSI等多项标准，结构强固 。
海斯特H3.5-5.0DX内燃叉车,低转速，大扭矩，燃油经济性好；MONOTROLTM单一踏板控制前进、后退、加速，提高工作效率约30%；车架采用有限元设计，具有良好的耐久性和负载平衡性；驾驶室安装在四个橡胶避震垫上 。
海斯特H36.00E~H48.00E内燃叉车,"独特的海斯特门架，使载荷均衡地分配到整车的各个结构；CumminsQSB发动机，动力清洁强劲，拥有平滑的扭矩曲线,极佳的加速性能和极低的油耗；尾气排放符合对NRMM的Tier2 。"
柳工CLG2070H内燃平衡重式叉车,多重“悬浮”结构：柳工叉车已经推出悬浮式驾驶室，宽的前座驾和高位后座驾能使整个驾驶室悬浮在底盘之上 。
海麟重工HL10-15柴油搬运车,额定起重量（kg）1000-1500载荷中心距（mm）340/500最大起升高度（mm）1500门架倾角前/后（°）6/12最小转弯半径（mm）2200发动机额定功率（kw）16. 。
海麟重工HL20柴油搬运车,额定起重量（kg）2000载荷中心距（mm）500最大起升高度（mm）1500-3000门架倾角前/后（°）6/12最小转弯半径（mm）2200发动机额定功率（kw）18.5外型尺 。
海麟重工HL30双燃汽(石油/液化汽),额定起重量（kg）3000载荷中心距（mm）500起升高度（mm）3000门架倾角前/后（°）6/12最小转弯半径（mm）2470发动机额定功率（kw）38发动机型号490外型尺寸 。
海麟重工HL35双燃汽(石油/液化汽),额定起重量（kg）3500载荷中心距（mm）500最大起升高度（mm）3000门架倾角前/后（°）6/12最小转弯半径（mm）2530发动机额定功率（kw）42发动机型号490外型 。
威盛CPCD90叉车,额定起重量：9000kg最大起升高度：3000mm载荷中心距：600mm发动机品牌：东方红发动机型号：LR6108整机工作质量：12100kg自由起升高度： 。
达力CPC(D)/CPQ(D)内燃叉车,概要1名称内燃机叉车2型号CPCQ(D)20ECPCQ(D)25E3动力形式柴油/汽油4额定载荷Kg200025005载荷中心距mm500尺寸6起升高度mm30007自由起升高度m 。
宝骊2-3.5吨内燃叉车,概要型号CPC(D)20CPQ(Y)D20CPC(D)25CPQ(Y)D25CPC(D)30CPQ(Y)D30CPC(D)35CPQ(Y)D35额定载荷kg200025003000 。
宝骊S系列CPC(D)30内燃平衡重式叉车,概要型号CPC(D)30额定载荷kg3000载荷中心距mm500尺寸起升高度Liftheightmm3000外形尺寸总长mm2740总宽mm1225门架不起升高度mm2080门 。
宝骊F系列2.0-3.5t内燃叉车,概要型号CPCD20FCPQ(Y)D20FCPCD25FCPQ(Y)D25FCPCD30FCPQ(Y)D30FCPCD35FCPQ(Y)D35F额定载荷kg200025003000 。
宝骊4.0-5.0吨内燃叉车,概要型号CPCD40CPCD45CPCD50额定载荷kg400045005000载荷中心距mm500尺寸起升高度mm3000外形尺寸总长mm309130913125总宽mm1485 。
宝骊CPCD40内燃叉车,概要型号CPCD40C额定载荷kg4000载荷中心距mm500尺寸起升高度mm3000外形尺寸总长mm2935总宽mm1410门架不起升高度mm2235安全架高度mm2190最小转 。
宝骊5.0-7.0吨内燃叉车,概要型号CPCD50CPCD60CPCD70额定载荷kg500060007000载荷中心距mm500尺寸起升高度mm3000外形尺寸总长mm34723592总宽mm1995门架不起 。
宝骊8-10吨内燃叉车,概要型号CPCD80-CCPCD80-WCPCD100-CCPCD100-W额定载荷kg800010000载荷中心距mm600尺寸起升高度mm3000外形尺寸总长mm3940425 。
中联重科FD30/35内燃平衡重式叉车,高品质车身广泛应用SMC新材料，较钢材相比在耐化学腐蚀、抗压程度、抗疲劳极限、使用寿命等方面具有明显优势；增加燃油、液压油过滤系统，延长发动机使用寿命及液压油的更换周期；创新实现门 。
现代CPCD50E/60E(07)柴油叉车,更宽阔的操作视野与前代产品相比，加宽20mm门架轨道间距离，方向盘中未装显示盘，从而拓宽了操作视野。防止门架急下降及防倾斜功能采用具有倾斜自锁功能的多路换向阀，防止停车时门架倾斜 。
大连叉车C系列5-7吨内燃平衡重叉车,"国产朝柴CY6102BG发动机，专有技术的定轴式啮合齿轮变速箱，自制重载压板式驱动桥,加强型辐板桥，型钢门架，小多路阀，真空增压制动 。"
海斯特H8.00~H16.00XM内燃叉车,海斯特Vista驾驶室，拥有舒适和人机化的作业环境，并安装在四个防振的橡胶垫上，可降低作业时的振动及噪音（低噪音达到74dB），大大减轻驾驶员的疲劳程度，从而提高作业的生产效率； 。
西林FD系列电动叉车,技术参数/型号FD20/FD20TFD25/FD25TFD30/FD30TFD35/FD35T额定起重量kg2000250030003500载荷中心mm500500500500最大 。
三菱GrendiaFD35AN内燃平衡重式叉车,技术参数：型号产地动力形式重量载荷中心距额定功率FD10N日本柴油1000(kg)500(mm)36/2500(kW/rpm)FG(E)10N日本液化气/双燃料1000 。
三菱GrendiaEXFD45N内燃平衡重式叉车,技术参数：型号负载能力负载中心距离外观尺寸转弯半径护顶架高度FD45N4500600总长3130总宽：141527302280 。
现代CPCD50F(07)柴油叉车,技术领先的现代叉车，给您轻松的操作环境强劲的发动机系统用直喷技术，具有优良的起动性能；2、具有油耗低、噪音低、动力性能好，且整机运行可靠；3、整机采用分部件油漆，外形美观大方；4、 。
福大FDM8250平衡重式叉车,技术性能参数概要制造福大机械型号FDM8250动力形式柴油Diesel额定载荷Kg25000载荷中心距mm900尺寸起升高度mm3000自由起升高度mm195货叉尺寸 。
福大FDM8160平衡重式叉车,技术性能参数概要制造福大机械型号FDM8160动力形式柴油Diesel额定载荷Kg16000载荷中心距mm800尺寸起升高度mm3000自由起升高度mm195货叉尺寸mm160 。
福大FDM890平衡重式叉车,技术性能参数概要制造福大机械型号FDM890动力形式柴油额定载荷Kg9000载荷中心距mm600尺寸起升高度mm3000自由起升高度mm195货叉尺寸mm1500×180×90货叉 。
海斯特H20.00F~H32.00F内燃叉车,坚固的海斯特门架，带有全自动2速提升系统，空载提升/下降速度是满载速度的2倍；CumminsQSC发动机，动力清洁强劲，拥有平滑的扭矩曲线和极佳的加速性能;低油耗，尾气排放符合 。
万力4吨内燃叉车,将国外先进技术与中国叉车设计制造经验相结合，使其更加完美是&ldquo;新一代&rdquo;叉车的设计原则 。
台励福FD/FG20~30内燃叉车,经由台湾台励福的研发团队，崭新设计而成。流线车体架，采用汽车模型方式一体成型，架体结构更合理、科学，充分发挥台励福研发团队美学设计 。
柳工CPC15内燃平衡重式叉车,可靠：传动系统采用带同步器的机械变速箱：同步器能使啮合的齿轮同步转动，在换档时避免齿轮撞击，尤其在前后换向时，可使换向平稳，爬坡性能更佳 。
合力α系列2-3.5t平衡重式内燃叉车,空气吸入系统空气吸入口安装在护顶架支柱的上方，这样可远离车轮产生的灰尘，发动机吸入了干净的空气，从而降低了噪音 。
中联重科FL30内燃平衡重式叉车,绿色环保使用过程中CD、HC和NOx的排放量明显下降，可大大减少废气排放，对环境保护有积极的作用。高效节能备用两种燃料，使该型叉车的工作时间提高一倍左右 。
柳工CLG2080H内燃平衡重式叉车,起升系统：采用转向优先系统，满载起升速度可达380mm/s，大大提高工作效率 。
厦工XG550-DT5C内燃平衡重式叉车,强化可靠1）散热系统采用大容量铝制散热器、大散热通道、优化导流罩，比同类车型散热性能提高20%，更适合连续工作 。
现代HC/HD25G柴油叉车,强劲的发动机系统选用久经市场考验，质量备受用户认可的HMCD4BB系列发动机。强劲的功率储备，无论多么恶劣的工况都从容应对 。
现代CPC(D)35G柴油叉车,强劲的发动机系统用直喷技术，具有优良的起动性能；2、具有油耗低、噪音低、动力性能好，且整机运行可靠；3、整机采用分部件油漆，外形美观大方；4、优质的售后服务和充足的配件供应，彻底为 。
海斯特H14.00~H18.00XM-12内燃叉车,驱动轴统一装置湿碟式制动，免维护，降低了叉车维护成本；Cummins发动机，动力清洁强劲，拥有平滑的扭矩曲线和极佳的加速性能，低油耗，尾气排放符合对NRMM的ISO8178和Ti 。
海斯特H3.00DX内燃叉车,日本原装进口洋马发动机，采用先进的点火技术，满足国际标准排放要求，油耗低；MONOTROLTM单一踏板控制前进、后退、加速，工作效率比普通踏板提高30%，同时简化了驾驶员操作，降低 。
凯斯588G内燃叉车,特性通过Tier3认证的凯斯发动机非常可靠在最恶劣环境中也可获得卓越的性能。可选装载控制装置有助于实现平稳操作，将链条张力降至最低，以节约保养成本 。
摩纳凯5-7吨内燃平衡重式叉车,特性型号FD50TFD60TFD70T额定载荷kg500060007000载重中心距mm600动力型式柴油操作型式座式传动方式液力性能行驶速度km/h(满载/空载)25/2724/ 。
威肯2.5吨机械液力内燃平衡重式叉车,威肯内燃叉车选用国外知名品牌柴油机作为强大动力保证。变速传动系统采用高可靠机械变速或液力变速系统。外型结构采用箱体式车架结构，采用新型宽野门架，液压助力转向轻便灵活 。
华南重工HNF120S石材专用叉车,项目单位设计参数全长无货叉mm4450有货叉5800全宽车轮宽mm2200车架宽2175高度不起升门架高度mm3300护顶架高度2570作业时最大高度（带挡货架）座椅面至护顶架距 。
威盛CPCD250叉车,项目单位CPCD250额定起重量kg25000自重kg34150标准货叉（长X宽X高）mm2400X310X110最小转弯半径mm5900整机外形尺寸mm8700X3000X386 。
华南重工HNF120G内燃叉车,项目单位设计参数全长无货叉mm4450有货叉5800全宽车轮宽mm2200车架宽2175高度不起升门架高度mm3300护顶架高度2570作业时最大高度（带挡货架）座椅面至护顶架距离 。
中联重科FD30/35/38内燃平衡重式叉车,效益之“王”在同等配置下，可操作性更强、载重能力更高、经济实用、维护成本低；液压系统高效节能，降低整车的燃油消耗；全系列发动机符合欧洲EC和美国EPA废气排放标准，达到最佳 。
上力重工4-4.5吨内燃平衡重式叉车,型号CPC40/CPCD40CPC45/CPCD45特性性能尺寸底盘驱动动力形式额定载荷载荷中心距起升高度货叉尺寸门架倾角前倾/后倾最小转弯半径最小离地间隙安全架高度前悬距 。
上力重工5-7吨内燃平衡重式叉车,型号CPCD50CPCD60CPCD70特性性能尺寸底盘驱动动力形式额定载荷载荷中心距起升高度货叉尺寸门架倾角前倾/后倾最小转弯半径最小离地间隙安全架高度前悬距最大行驶速度 。
上力重工8-10吨内燃平衡重式叉车,型号CPCD80CPCD100特性性能尺寸底盘驱动动力形式额定载荷载荷中心距起升高度货叉尺寸门架倾角前倾/后倾最小转弯半径最小离地间隙安全架高度前悬距最大行驶速度(满载)最 。
