华  B-NAME
佳  O
   O
。  O
上  O
力  O
重  O
工  O
4  O
-  O
4  O
.  O
5  O
吨  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
P  O
C  O
4  O
0  O
/  O
C  O
P  O
C  O
D  O
4  O
0  O
C  O
P  O
C  O
4  O
5  O
/  O
C  O
P  O
C  O
D  O
4  O
5  O
特  O
性  O
性  O
能  O
尺  O
寸  O
底  O
盘  O
驱  O
动  O
动  O
力  O
形  O
式  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
货  B-PAR
叉  I-PAR
尺  I-PAR
寸  E-PAR
门  O
架  O
倾  B-PAR
角  E-PAR
前  O
倾  O
/  O
后  O
倾  O
最  B-PAR
小  I-PAR
转  I-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
最  B-PAR
小  I-PAR
离  I-PAR
地  I-PAR
间  I-PAR
隙  E-PAR
安  B-PAR
全  I-PAR
架  I-PAR
高  I-PAR
度  E-PAR
前  O
悬  O
距  O
   O
。  O
上  O
力  O
重  O
工  O
5  O
-  O
7  O
吨  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
P  O
C  O
D  O
5  O
0  O
C  O
P  O
C  O
D  O
6  O
0  O
C  O
P  O
C  O
D  O
7  O
0  O
特  O
性  O
性  O
能  O
尺  O
寸  O
底  O
盘  O
驱  O
动  O
动  O
力  O
形  O
式  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
货  B-PAR
叉  I-PAR
尺  I-PAR
寸  E-PAR
门  O
架  O
倾  B-PAR
角  E-PAR
前  O
倾  O
/  O
后  O
倾  O
最  B-PAR
小  I-PAR
转  I-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
最  B-PAR
小  I-PAR
离  I-PAR
地  I-PAR
间  I-PAR
隙  E-PAR
安  B-PAR
全  I-PAR
架  I-PAR
高  I-PAR
度  E-PAR
前  O
悬  O
距  O
最  B-PAR
大  I-PAR
行  I-PAR
驶  I-PAR
速  I-PAR
度  E-PAR
   O
。  O
上  O
力  O
重  O
工  O
8  O
-  O
1  O
0  O
吨  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
P  O
C  O
D  O
8  O
0  O
C  O
P  O
C  O
D  O
1  O
0  O
0  O
特  O
性  O
性  O
能  O
尺  O
寸  O
底  O
盘  O
驱  O
动  O
动  O
力  O
形  O
式  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
货  B-PAR
叉  I-PAR
尺  I-PAR
寸  E-PAR
门  O
架  O
倾  B-PAR
角  E-PAR
前  O
倾  O
/  O
后  O
倾  O
最  B-PAR
小  I-PAR
转  I-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
最  B-PAR
小  I-PAR
离  I-PAR
地  I-PAR
间  I-PAR
隙  E-PAR
安  B-PAR
全  I-PAR
架  I-PAR
高  I-PAR
度  E-PAR
前  O
悬  O
距  O
最  B-PAR
大  I-PAR
行  I-PAR
驶  I-PAR
速  I-PAR
度  E-PAR
(  O
满  O
载  O
)  O
最  O
   O
。  O
三  B-NAME
菱  I-NAME
G  I-NAME
r  I-NAME
e  I-NAME
n  I-NAME
d  I-NAME
i  I-NAME
a  I-NAME
F  I-NAME
D  I-NAME
1  I-NAME
5  I-NAME
N  E-NAME
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
产  O
地  O
动  O
力  O
形  O
式  O
重  O
量  O
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
额  O
定  O
功  B-PAR
率  E-PAR
F  O
D  O
1  O
0  O
N  O
日  O
本  O
柴  O
油  O
1  O
0  O
0  O
0  O
(  O
k  O
g  O
)  O
5  O
0  O
0  O
(  O
m  O
m  O
)  O
3  O
6  O
/  O
2  O
5  O
0  O
0  O
(  O
k  O
W  O
/  O
r  O
p  O
m  O
)  O
F  O
G  O
(  O
E  O
)  O
1  O
0  O
N  O
日  O
本  O
液  O
化  O
气  O
/  O
双  O
燃  O
料  O
1  O
0  O
0  O
0  O
(  O
k  O
g  O
)  O
5  O
   O
。  O
江  B-NAME
淮  I-NAME
重  I-NAME
工  I-NAME
C  I-NAME
P  I-NAME
C  I-NAME
3  I-NAME
0  I-NAME
H  E-NAME
内  B-CATE
燃  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
、  O
规  B-PAR
格  E-PAR
液  B-OUT
力  I-OUT
传  I-OUT
动  E-OUT
C  O
P  O
C  O
D  O
3  O
0  O
H  O
机  O
械  O
传  O
动  O
C  O
P  O
C  O
3  O
0  O
H  O
动  O
力  O
形  O
式  O
柴  O
油  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
k  O
g  O
3  O
0  O
0  O
0  O
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
m  O
m  O
5  O
0  O
0  O
标  O
准  O
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
m  O
m  O
3  O
0  O
0  O
0  O
车  B-PAR
体  I-PAR
长  I-PAR
度  E-PAR
(  O
无  O
货  O
叉  O
）  O
m  O
m  O
2  O
6  O
8  O
0  O
车  B-PAR
体  I-PAR
宽  I-PAR
度  E-PAR
m  O
m  O
1  O
2  O
2  O
5  O
总  O
   O
。  O
丰  O
田  O
5  O
F  O
D  O
5  O
0  O
-  O
6  O
0  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
5  O
F  O
D  O
5  O
0  O
5  O
F  O
D  O
6  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
4  O
Z  O
-  O
I  O
I  O
柴  O
油  O
1  O
4  O
Z  O
-  O
I  O
I  O
柴  O
油  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
5  O
0  O
0  O
0  O
6  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
0  O
6  O
0  O
0  O
全  B-PAR
宽  I-PAR
A  I-PAR
毫  I-PAR
米  E-PAR
1  O
9  O
9  O
5  O
1  O
9  O
9  O
5  O
转  B-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
（  O
外  O
侧  O
）  O
B  B-PAR
毫  I-PAR
米  E-PAR
3  O
3  O
5  O
0  O
3  O
3  O
5  O
   O
。  O
丰  B-NAME
田  I-NAME
5  I-NAME
F  I-NAME
D  I-NAME
7  I-NAME
0  E-NAME
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
5  O
F  O
D  O
7  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
4  O
Z  O
-  O
I  O
I  O
柴  O
油  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
7  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
0  O
全  B-PAR
宽  I-PAR
A  I-PAR
毫  I-PAR
米  E-PAR
1  O
9  O
9  O
5  O
转  B-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
（  O
外  O
侧  O
）  O
B  B-PAR
毫  I-PAR
米  E-PAR
3  O
4  O
0  O
0  O
护  O
顶  O
架  O
高  O
C  O
毫  O
米  O
2  O
4  O
4  O
0  O
至  O
货  O
叉  O
垂  O
直  O
面  O
的  O
长  O
度  O
D  O
毫  O
米  O
3  O
5  O
8  O
5  O
   O
。  O
丰  O
田  O
5  O
F  O
G  O
5  O
0  O
-  O
6  O
0  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
5  O
F  O
G  O
5  O
0  O
5  O
F  O
G  O
6  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
F  O
Z  O
-  O
E  O
汽  O
油  O
1  O
F  O
Z  O
-  O
E  O
汽  O
油  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
5  O
0  O
0  O
0  O
6  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
0  O
6  O
0  O
0  O
全  B-PAR
宽  I-PAR
A  I-PAR
毫  I-PAR
米  E-PAR
1  O
9  O
9  O
5  O
1  O
9  O
9  O
5  O
转  B-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
（  O
外  O
侧  O
）  O
B  B-PAR
毫  I-PAR
米  E-PAR
3  O
3  O
5  O
0  O
3  O
3  O
5  O
0  O
护  O
   O
。  O
丰  O
田  O
6  O
0  O
-  O
5  O
F  O
D  O
8  O
0  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
6  O
0  O
-  O
5  O
F  O
D  O
8  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
4  O
Z  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
8  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
0  O
全  B-PAR
宽  I-PAR
A  I-PAR
毫  I-PAR
米  E-PAR
2  O
1  O
6  O
0  O
转  B-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
（  O
外  O
侧  O
）  O
B  B-PAR
毫  I-PAR
米  E-PAR
3  O
7  O
0  O
0  O
护  O
顶  O
架  O
高  O
C  O
毫  O
米  O
2  O
6  O
1  O
5  O
至  O
货  O
叉  O
垂  O
直  O
面  O
的  O
长  O
度  O
D  O
毫  O
米  O
3  O
9  O
3  O
0  O
   O
。  O
丰  O
田  O
7  O
F  O
D  O
3  O
5  O
-  O
4  O
5  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
7  O
F  O
D  O
3  O
5  O
7  O
F  O
D  O
4  O
0  O
7  O
F  O
D  O
4  O
5  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
4  O
Z  O
-  O
I  O
I  O
柴  O
油  O
1  O
4  O
Z  O
-  O
I  O
I  O
柴  O
油  O
1  O
4  O
Z  O
-  O
I  O
I  O
柴  O
油  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
3  O
5  O
0  O
0  O
(  O
4  O
0  O
0  O
0  O
)  O
4  O
0  O
0  O
0  O
(  O
4  O
5  O
0  O
0  O
)  O
4  O
5  O
0  O
0  O
(  O
5  O
0  O
0  O
0  O
)  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
   O
。  O
丰  O
田  O
7  O
F  O
G  O
3  O
5  O
-  O
4  O
5  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
7  O
F  O
G  O
3  O
5  O
7  O
F  O
G  O
4  O
0  O
7  O
F  O
G  O
4  O
5  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
F  O
Z  O
-  O
E  O
汽  O
油  O
1  O
F  O
Z  O
-  O
E  O
汽  O
油  O
1  O
F  O
Z  O
-  O
E  O
汽  O
油  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
3  O
5  O
0  O
0  O
(  O
4  O
0  O
0  O
0  O
)  O
4  O
0  O
0  O
0  O
(  O
4  O
5  O
0  O
0  O
)  O
4  O
5  O
0  O
0  O
(  O
5  O
0  O
0  O
0  O
)  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
0  O
(  O
5  O
   O
。  O
丰  B-NAME
田  I-NAME
7  I-NAME
F  I-NAME
G  I-NAME
A  I-NAME
5  I-NAME
0  E-NAME
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
7  O
F  O
G  O
A  O
5  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
F  O
Z  O
-  O
E  O
汽  O
油  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
5  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
6  O
0  O
0  O
全  B-PAR
宽  I-PAR
A  I-PAR
毫  I-PAR
米  E-PAR
1  O
4  O
5  O
0  O
转  B-PAR
弯  I-PAR
半  I-PAR
径  E-PAR
（  O
外  O
侧  O
）  O
B  B-PAR
毫  I-PAR
米  E-PAR
2  O
8  O
0  O
0  O
护  O
顶  O
架  O
高  O
C  O
毫  O
米  O
2  O
2  O
3  O
5  O
至  O
货  O
叉  O
垂  O
直  O
面  O
的  O
长  O
度  O
D  O
毫  O
米  O
3  O
1  O
7  O
0  O
   O
。  O
丰  O
田  O
8  O
F  O
D  O
N  O
1  O
5  O
-  O
3  O
0  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
8  O
F  O
D  O
N  O
1  O
5  O
8  O
F  O
D  O
N  O
2  O
0  O
8  O
F  O
D  O
N  O
2  O
5  O
8  O
F  O
D  O
N  O
3  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
1  O
D  O
Z  O
-  O
Ⅱ  O
1  O
D  O
Z  O
-  O
Ⅱ  O
,  O
2  O
Z  O
1  O
D  O
Z  O
-  O
Ⅱ  O
,  O
2  O
Z  O
1  O
D  O
Z  O
-  O
Ⅱ  O
,  O
2  O
Z  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
1  O
5  O
0  O
0  O
2  O
0  O
0  O
0  O
2  O
5  O
0  O
0  O
3  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
5  O
0  O
   O
。  O
丰  O
田  O
8  O
F  O
G  O
N  O
1  O
5  O
-  O
3  O
0  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
8  O
F  O
G  O
N  O
1  O
5  O
8  O
F  O
G  O
N  O
2  O
0  O
8  O
F  O
G  O
N  O
2  O
5  O
8  O
F  O
G  O
N  O
3  O
0  O
发  O
动  O
机  O
型  B-PAR
号  E-PAR
4  O
Y  O
4  O
Y  O
4  O
Y  O
4  O
Y  O
额  B-PAR
定  I-PAR
负  I-PAR
载  I-PAR
公  I-PAR
斤  E-PAR
1  O
5  O
0  O
0  O
2  O
0  O
0  O
0  O
2  O
5  O
0  O
0  O
3  O
0  O
0  O
0  O
负  B-PAR
载  I-PAR
中  I-PAR
心  I-PAR
毫  I-PAR
米  E-PAR
5  O
0  O
0  O
5  O
0  O
0  O
5  O
0  O
0  O
5  O
0  O
0  O
全  B-PAR
宽  I-PAR
A  I-PAR
毫  I-PAR
米  E-PAR
1  O
0  O
7  O
0  O
1  O
1  O
   O
。  O
曼  O
尼  O
通  O
1  O
.  O
5  O
T  O
/  O
1  O
.  O
8  O
T  O
内  B-CATE
燃  I-CATE
平  I-CATE
衡  I-CATE
重  I-CATE
式  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
D  O
1  O
5  O
P  O
C  O
G  O
1  O
5  O
P  O
C  O
D  O
1  O
8  O
P  O
C  O
G  O
1  O
8  O
P  O
动  O
力  O
形  O
式  O
柴  O
油  O
汽  O
油  O
/  O
液  O
化  O
气  O
柴  O
油  O
汽  O
油  O
/  O
液  O
化  O
气  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
k  O
g  O
1  O
5  O
0  O
0  O
1  O
5  O
0  O
0  O
1  O
8  O
0  O
0  O
1  O
8  O
0  O
0  O
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
m  O
m  O
3  O
3  O
0  O
0  O
3  O
3  O
0  O
0  O
3  O
3  O
5  O
5  O
3  O
3  O
0  O
0  O
门  O
架  O
倾  B-PAR
角  E-PAR
   O
。  O
江  B-NAME
淮  I-NAME
重  I-NAME
工  I-NAME
C  I-NAME
P  I-NAME
C  I-NAME
4  I-NAME
2  I-NAME
H  E-NAME
内  B-CATE
燃  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
P  O
C  O
4  O
2  O
H  O
动  O
力  O
形  O
式  O
柴  O
油  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
k  O
g  O
4  O
2  O
0  O
0  O
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
m  O
m  O
5  O
0  O
0  O
标  O
准  O
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
m  O
m  O
3  O
0  O
0  O
0  O
车  B-PAR
体  I-PAR
长  I-PAR
度  E-PAR
(  O
无  O
货  O
叉  O
）  O
m  O
m  O
3  O
0  O
9  O
9  O
车  B-PAR
体  I-PAR
宽  I-PAR
度  E-PAR
m  O
m  O
1  O
5  O
0  O
0  O
总  B-PAR
高  E-PAR
m  O
m  O
2  O
2  O
6  O
0  O
发  O
动  O
机  O
新  O
昌  O
A  O
4  O
9  O
8  O
B  O
P  O
   O
。  O
江  O
淮  O
重  O
工  O
C  O
P  O
C  O
（  O
D  O
）  O
4  O
5  O
H  O
内  B-CATE
燃  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
P  O
C  O
4  O
5  O
H  O
C  O
P  O
C  O
D  O
4  O
5  O
H  O
动  O
力  O
形  O
式  O
柴  O
油  O
柴  O
油  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
k  O
g  O
4  O
5  O
0  O
0  O
4  O
5  O
0  O
0  O
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
m  O
m  O
5  O
0  O
0  O
5  O
0  O
0  O
标  O
准  O
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
m  O
m  O
3  O
0  O
0  O
0  O
3  O
0  O
0  O
0  O
车  B-PAR
体  I-PAR
长  I-PAR
度  E-PAR
(  O
无  O
货  O
叉  O
）  O
m  O
m  O
4  O
2  O
6  O
9  O
4  O
1  O
7  O
0  O
车  B-PAR
体  I-PAR
宽  I-PAR
度  E-PAR
m  O
   O
。  O
江  B-NAME
淮  I-NAME
重  I-NAME
工  I-NAME
C  I-NAME
P  I-NAME
C  I-NAME
D  I-NAME
1  I-NAME
0  I-NAME
0  I-NAME
H  E-NAME
内  B-CATE
燃  I-CATE
叉  I-CATE
车  E-CATE
，  O
型  B-PAR
号  E-PAR
C  O
P  O
C  O
D  O
1  O
0  O
0  O
H  O
规  B-PAR
格  E-PAR
液  B-OUT
力  I-OUT
传  I-OUT
动  E-OUT
动  O
力  O
形  O
式  O
柴  O
油  O
额  B-PAR
定  I-PAR
载  I-PAR
荷  E-PAR
k  O
g  O
1  O
0  O
0  O
0  O
0  O
载  B-PAR
荷  I-PAR
中  I-PAR
心  I-PAR
距  E-PAR
m  O
m  O
6  O
0  O
0  O
标  O
准  O
起  B-PAR
升  I-PAR
高  I-PAR
度  E-PAR
m  O
m  O
3  O
0  O
0  O
0  O
车  B-PAR
体  I-PAR
长  I-PAR
度  E-PAR
(  O
